event,event details,timestamp
started,,1681974046.205394
filter,removed fixations less than 100,1681974048.8682292
filter,removed fixations greater than 1000,1681974050.0055401
selected,algorithm Attach,1681974068.058909
auto_moving, fixation 0 moved from x:704.7602563999999 y:232.9612821 to x:704.7602563999999 y:224.5,1681974075.419159
filter,removed fixations greater than 1000,1681974140.60939
filter,removed fixations less than 100,1681974142.052958
filter,removed fixations less than 100,1681974143.012563
filter,removed fixations less than 100,1681974144.002469
filter,removed fixations less than 100,1681974144.9934132
auto_moving, fixation 1 moved from x:638.3038462000001 y:174.08589740000002 to x:638.3038462000001 y:183.0,1681974218.4621792
auto_moving, fixation 2 moved from x:693.2267742 y:176.2406452 to x:693.2267742 y:183.0,1681974220.1323562
auto_moving, fixation 3 moved from x:721.4728205 y:230.8912821 to x:721.4728205 y:224.5,1681974221.7565818
auto_moving, fixation 4 moved from x:688.8660000000001 y:246.76171430000002 to x:688.8660000000001 y:266.5,1681974223.31859
auto_moving, fixation 5 moved from x:680.5135484 y:254.073871 to x:680.5135484 y:266.5,1681974224.918647
auto_moving, fixation 6 moved from x:786.2310345 y:233.31103450000003 to x:786.2310345 y:224.5,1681974227.003978
auto_moving, fixation 7 moved from x:731.2768627 y:227.23078430000004 to x:731.2768627 y:224.5,1681974237.6929889
auto_moving, fixation 8 moved from x:737.3142307999999 y:226.5896154 to x:737.3142307999999 y:224.5,1681974239.45293
auto_moving, fixation 9 moved from x:777.4155 y:256.923 to x:777.4155 y:266.5,1681974241.958826
auto_moving, fixation 10 moved from x:804.9082352999999 y:251.8047059 to x:804.9082352999999 y:266.5,1681974251.335202
auto_moving, fixation 11 moved from x:787.5497058999999 y:215.57147059999997 to x:787.5497058999999 y:224.5,1681974253.6031349
auto_moving, fixation 12 moved from x:787.9787342 y:221.4739241 to x:787.9787342 y:224.5,1681974255.3193831
auto_moving, fixation 13 moved from x:794.5273529 y:225.3852941 to x:794.5273529 y:224.5,1681974257.037398
auto_moving, fixation 14 moved from x:691.5638235 y:271.8982353 to x:691.5638235 y:266.5,1681974258.709763
auto_moving, fixation 15 moved from x:716.6536585 y:372.90170730000006 to x:716.6536585 y:391.5,1681974260.3275678
auto_moving, fixation 16 moved from x:781.6534286 y:372.48800000000006 to x:781.6534286 y:391.5,1681974286.219808
auto_moving, fixation 17 moved from x:783.4164516 y:375.416129 to x:783.4164516 y:391.5,1681974288.103955
auto_moving, fixation 18 moved from x:749.0838462 y:421.74192310000007 to x:749.0838462 y:435.5,1681974304.806767
auto_moving, fixation 19 moved from x:717.2813332999999 y:524.9491111000001 to x:717.2813332999999 y:520.5,1681974306.562345
auto_moving, fixation 20 moved from x:886.5957778 y:525.1548889 to x:886.5957778 y:520.5,1681974308.6305149
auto_moving, fixation 21 moved from x:965.0711765000001 y:520.1809804 to x:965.0711765000001 y:520.5,1681974310.444575
auto_moving, fixation 22 moved from x:975.7024706 y:514.5076471 to x:975.7024706 y:520.5,1681974312.088625
auto_moving, fixation 23 moved from x:990.6198182 y:520.8889091 to x:990.6198182 y:520.5,1681974313.680574
auto_moving, fixation 24 moved from x:1085.852222 y:526.9069444 to x:1085.852222 y:520.5,1681974315.222671
auto_moving, fixation 25 moved from x:1057.417778 y:520.517037 to x:1057.417778 y:520.5,1681974316.783603
auto_moving, fixation 26 moved from x:1083.161667 y:511.566 to x:1083.161667 y:520.5,1681974318.3235211
auto_moving, fixation 27 moved from x:1083.509697 y:527.5427273 to x:1083.509697 y:520.5,1681974319.8710651
auto_moving, fixation 28 moved from x:1085.3061109999999 y:517.4866666999999 to x:1085.3061109999999 y:520.5,1681974321.440846
auto_moving, fixation 29 moved from x:908.8077551000001 y:517.5955102 to x:908.8077551000001 y:520.5,1681974323.006826
auto_moving, fixation 30 moved from x:740.1636585 y:521.7509756000001 to x:740.1636585 y:520.5,1681974324.4289129
auto_moving, fixation 31 moved from x:972.7456817999999 y:523.7320455 to x:972.7456817999999 y:520.5,1681974326.0653188
auto_moving, fixation 32 moved from x:1120.804286 y:541.1942857 to x:1120.804286 y:520.5,1681974328.402967
auto_moving, fixation 33 moved from x:1064.4235939999999 y:521.4640625 to x:1064.4235939999999 y:520.5,1681974330.127098
auto_moving, fixation 34 moved from x:1050.46129 y:544.0570968 to x:1050.46129 y:562.5,1681974332.913308
auto_moving, fixation 35 moved from x:1055.2157140000002 y:540.8377142999999 to x:1055.2157140000002 y:520.5,1681974334.4812238
auto_moving, fixation 36 moved from x:1054.445614 y:547.184386 to x:1054.445614 y:562.5,1681974336.2553668
auto_moving, fixation 37 moved from x:1052.2710339999999 y:543.0324138 to x:1052.2710339999999 y:562.5,1681974339.3713531
auto_moving, fixation 38 moved from x:1053.735185 y:543.2546296 to x:1053.735185 y:562.5,1681974341.071407
auto_moving, fixation 39 moved from x:1054.5151019999998 y:549.61 to x:1054.5151019999998 y:562.5,1681974342.71738
auto_moving, fixation 40 moved from x:1060.74 y:529.712963 to x:1060.74 y:520.5,1681974345.4098759
auto_moving, fixation 41 moved from x:1065.207317 y:515.9485366 to x:1065.207317 y:520.5,1681974347.039655
auto_moving, fixation 42 moved from x:1033.3041460000002 y:544.1373171 to x:1033.3041460000002 y:562.5,1681974348.729707
auto_moving, fixation 43 moved from x:983.4962857 y:524.9462857 to x:983.4962857 y:520.5,1681974350.377759
auto_moving, fixation 44 moved from x:971.4222 y:529.1416 to x:971.4222 y:520.5,1681974351.895735
auto_moving, fixation 45 moved from x:969.9683871 y:525.7651613 to x:969.9683871 y:520.5,1681974353.8316832
auto_moving, fixation 46 moved from x:1011.019756 y:518.7831706999999 to x:1011.019756 y:520.5,1681974355.557718
auto_moving, fixation 47 moved from x:959.065 y:522.4517857 to x:959.065 y:520.5,1681974357.253632
auto_moving, fixation 48 moved from x:949.1196153999999 y:521.1269231000001 to x:949.1196153999999 y:520.5,1681974361.340037
auto_moving, fixation 49 moved from x:950.1982051000001 y:543.135641 to x:950.1982051000001 y:562.5,1681974363.066118
auto_moving, fixation 50 moved from x:957.033125 y:551.3296875 to x:957.033125 y:562.5,1681974364.716274
auto_moving, fixation 51 moved from x:957.47625 y:548.666875 to x:957.47625 y:562.5,1681974366.414481
auto_moving, fixation 52 moved from x:1004.2903230000001 y:567.5203226 to x:1004.2903230000001 y:562.5,1681974367.992231
auto_moving, fixation 53 moved from x:1096.321875 y:560.78 to x:1096.321875 y:562.5,1681974369.580211
auto_moving, fixation 54 moved from x:1085.433824 y:562.2541176 to x:1085.433824 y:562.5,1681974371.168889
auto_moving, fixation 55 moved from x:1084.865192 y:568.0657692000001 to x:1084.865192 y:562.5,1681974372.702367
auto_moving, fixation 56 moved from x:1080.809928 y:589.3080576 to x:1080.809928 y:604.5,1681974374.210359
auto_moving, fixation 57 moved from x:1075.264231 y:600.7034615 to x:1075.264231 y:604.5,1681974375.798453
auto_moving, fixation 58 moved from x:1080.679038 y:591.9815384999999 to x:1080.679038 y:604.5,1681974377.3627148
auto_moving, fixation 59 moved from x:1013.1747439999999 y:565.6130768999999 to x:1013.1747439999999 y:562.5,1681974379.002086
auto_moving, fixation 60 moved from x:1011.3710000000001 y:555.2263333 to x:1011.3710000000001 y:562.5,1681974380.5887759
auto_moving, fixation 61 moved from x:1018.165278 y:587.5672222000001 to x:1018.165278 y:604.5,1681974382.09259
auto_moving, fixation 62 moved from x:1015.911639 y:592.3303279 to x:1015.911639 y:604.5,1681974383.810935
auto_moving, fixation 63 moved from x:1012.1378789999999 y:600.0872727000001 to x:1012.1378789999999 y:604.5,1681974385.258657
auto_moving, fixation 64 moved from x:1011.0138460000001 y:607.6189744 to x:1011.0138460000001 y:604.5,1681974387.13093
auto_moving, fixation 65 moved from x:1007.02525 y:609.2959999999999 to x:1007.02525 y:604.5,1681974390.764904
auto_moving, fixation 66 moved from x:1000.415067 y:625.736 to x:1000.415067 y:604.5,1681974392.416946
auto_moving, fixation 67 moved from x:1005.435701 y:632.8811215 to x:1005.435701 y:647.5,1681974394.414034
auto_moving, fixation 68 moved from x:1009.6639470000001 y:637.2947368 to x:1009.6639470000001 y:647.5,1681974396.3829381
auto_moving, fixation 69 moved from x:1011.196786 y:642.4482142999999 to x:1011.196786 y:647.5,1681974398.045227
auto_moving, fixation 70 moved from x:1006.558889 y:648.0081481000001 to x:1006.558889 y:647.5,1681974399.563214
auto_moving, fixation 71 moved from x:1008.8170269999999 y:644.4345946000001 to x:1008.8170269999999 y:647.5,1681974401.0591779
auto_moving, fixation 72 moved from x:729.4110417 y:673.9741667000001 to x:729.4110417 y:689.5,1681974403.319123
auto_moving, fixation 73 moved from x:737.7095 y:674.086 to x:737.7095 y:689.5,1681974405.23788
auto_moving, fixation 74 moved from x:732.7076087 y:680.7819565000001 to x:732.7076087 y:689.5,1681974406.8453271
auto_moving, fixation 75 moved from x:734.572623 y:687.9673769999999 to x:734.572623 y:689.5,1681974408.4884741
auto_moving, fixation 76 moved from x:735.0221429 y:692.4982143 to x:735.0221429 y:689.5,1681974410.0495832
auto_moving, fixation 77 moved from x:755.41 y:695.6641935 to x:755.41 y:689.5,1681974411.819888
auto_moving, fixation 78 moved from x:683.7427273 y:693.6321212 to x:683.7427273 y:689.5,1681974413.399492
auto_moving, fixation 79 moved from x:776.2403704 y:679.3762962999999 to x:776.2403704 y:689.5,1681974414.981686
auto_moving, fixation 80 moved from x:885.0771428999999 y:692.4408929 to x:885.0771428999999 y:689.5,1681974416.211709
auto_moving, fixation 81 moved from x:944.0419355 y:681.7703226 to x:944.0419355 y:689.5,1681974417.462579
auto_moving, fixation 82 moved from x:1070.045714 y:683.2135714 to x:1070.045714 y:689.5,1681974418.771708
auto_moving, fixation 83 moved from x:1114.611892 y:679.4086486000001 to x:1114.611892 y:689.5,1681974420.033847
auto_moving, fixation 84 moved from x:868.2626316 y:559.4773683999999 to x:868.2626316 y:562.5,1681974421.25391
auto_moving, fixation 85 moved from x:906.5637837999999 y:516.5313514 to x:906.5637837999999 y:520.5,1681974422.627701
auto_moving, fixation 86 moved from x:710.885 y:272.9542105 to x:710.885 y:266.5,1681974424.56602
auto_moving, fixation 87 moved from x:701.7807895 y:352.825 to x:701.7807895 y:351.5,1681974426.750817
auto_moving, fixation 88 moved from x:1045.4878130000002 y:673.8003125 to x:1045.4878130000002 y:689.5,1681974428.2636642
auto_moving, fixation 89 moved from x:730.3106452000001 y:582.7080645 to x:730.3106452000001 y:562.5,1681974433.2663412
auto_moving, fixation 90 moved from x:731.9003332999999 y:553.7263333 to x:731.9003332999999 y:562.5,1681974435.700272
auto_moving, fixation 91 moved from x:699.9605263 y:527.5610526 to x:699.9605263 y:520.5,1681974437.693553
