event,event details,timestamp
started,,1682132948.31334
filter,removed fixations greater than 1000,1682132948.885539
filter,removed fixations less than 100,1682132949.703989
filter,removed fixations less than 100,1682132950.25761
selected,algorithm Attach,1682132951.615792
filter,removed fixations greater than 1000,1682132956.135034
filter,removed fixations greater than 1000,1682132957.09763
filter,removed fixations less than 100,1682132958.008737
filter,removed fixations less than 100,1682132958.923729
filter,removed fixations less than 100,1682132959.877693
filter,removed fixations less than 100,1682132960.8092911
filter,removed fixations less than 100,1682132961.724719
filter,removed fixations less than 100,1682132962.63385
filter,removed fixations less than 100,1682132963.537814
filter,removed fixations less than 100,1682132964.449499
filter,removed fixations less than 100,1682132965.353299
filter,removed fixations less than 100,1682132966.265971
selected,algorithm Chain,1682132985.582912
selected,algorithm Attach,1682132988.2059011
filter,removed fixations greater than 1000,1682133000.561651
filter,removed fixations less than 100,1682133001.501128
filter,removed fixations less than 100,1682133002.4359958
auto_moving, fixation 0 moved from x:645.8157692000001 y:228.20846150000003 to x:645.8157692000001 y:232.5,1682133007.525922
auto_moving, fixation 1 moved from x:697.74 y:234.23892859999998 to x:697.74 y:232.5,1682133008.5762281
auto_moving, fixation 2 moved from x:764.3426316 y:235.20605260000002 to x:764.3426316 y:232.5,1682133009.625397
auto_moving, fixation 3 moved from x:821.9948 y:262.2448 to x:821.9948 y:269.5,1682133010.678839
auto_moving, fixation 4 moved from x:823.9603571 y:265.6410714 to x:823.9603571 y:269.5,1682133011.729009
auto_moving, fixation 5 moved from x:810.1480644999999 y:250.0132258 to x:810.1480644999999 y:232.5,1682133012.777269
auto_moving, fixation 6 moved from x:775.729697 y:254.9543939 to x:775.729697 y:269.5,1682133013.842035
auto_moving, fixation 7 moved from x:775.729697 y:254.9543939 to x:775.729697 y:269.5,1682133014.89182
auto_moving, fixation 8 moved from x:786.5208332999999 y:239.6233333 to x:786.5208332999999 y:232.5,1682133015.943655
auto_moving, fixation 9 moved from x:759.690625 y:238.6921875 to x:759.690625 y:232.5,1682133017.110202
auto_moving, fixation 10 moved from x:795.9275 y:234.98875 to x:795.9275 y:232.5,1682133018.2303438
auto_moving, fixation 11 moved from x:729.7733333 y:217.26907409999998 to x:729.7733333 y:232.5,1682133019.3055658
auto_moving, fixation 12 moved from x:743.3162963 y:228.93925930000003 to x:743.3162963 y:232.5,1682133020.540521
auto_moving, fixation 13 moved from x:798.1234694 y:230.1487755 to x:798.1234694 y:232.5,1682133022.1763241
manual_moving, fixation 5 moved from x:810.1480644999999 y:232.5 to x:808.908400087124 y:263.8363059086638,1682133026.6949959
manual_moving, fixation 5 moved from x:808.908400087124 y:263.8363059086638 to x:814.7967268812746 y:269.72463270281435,1682133028.529315
auto_moving, fixation 14 moved from x:841.1182143 y:263.2771429 to x:841.1182143 y:269.5,1682133030.6073668
auto_moving, fixation 15 moved from x:807.5131428999999 y:262.8774286 to x:807.5131428999999 y:269.5,1682133031.856661
auto_moving, fixation 16 moved from x:726.2182353 y:253.55352940000003 to x:726.2182353 y:269.5,1682133032.909666
auto_moving, fixation 17 moved from x:879.9 y:266.46527779999997 to x:879.9 y:269.5,1682133033.964424
auto_moving, fixation 18 moved from x:893.0729825 y:277.22 to x:893.0729825 y:269.5,1682133035.0239391
auto_moving, fixation 19 moved from x:844.6714286 y:272.61485710000005 to x:844.6714286 y:269.5,1682133036.07636
auto_moving, fixation 20 moved from x:842.9447222000001 y:271.5422222 to x:842.9447222000001 y:269.5,1682133037.131495
auto_moving, fixation 21 moved from x:814.2805172000001 y:267.7915517 to x:814.2805172000001 y:269.5,1682133038.187087
auto_moving, fixation 22 moved from x:932.4730000000001 y:267.001 to x:932.4730000000001 y:269.5,1682133039.238985
auto_moving, fixation 23 moved from x:910.7940777000001 y:267.0658252 to x:910.7940777000001 y:269.5,1682133040.294166
auto_moving, fixation 24 moved from x:734.0152941 y:266.915098 to x:734.0152941 y:269.5,1682133041.356357
auto_moving, fixation 25 moved from x:699.068 y:237.1337143 to x:699.068 y:232.5,1682133042.4101079
auto_moving, fixation 26 moved from x:742.4966667 y:232.2295833 to x:742.4966667 y:232.5,1682133043.463182
auto_moving, fixation 27 moved from x:740.0913333 y:265.10400000000004 to x:740.0913333 y:269.5,1682133044.52384
auto_moving, fixation 28 moved from x:741.1219444 y:273.2672222 to x:741.1219444 y:269.5,1682133045.5807538
auto_moving, fixation 29 moved from x:741.3347826 y:293.00152169999996 to x:741.3347826 y:305.5,1682133046.639582
auto_moving, fixation 30 moved from x:774.8843243 y:298.2783784 to x:774.8843243 y:305.5,1682133047.69903
auto_moving, fixation 31 moved from x:725.8387755 y:302.66408160000003 to x:725.8387755 y:305.5,1682133048.758646
auto_moving, fixation 32 moved from x:724.8408333 y:298.3933333 to x:724.8408333 y:305.5,1682133049.8201978
auto_moving, fixation 33 moved from x:797.4556863 y:289.3164706 to x:797.4556863 y:305.5,1682133051.021367
auto_moving, fixation 34 moved from x:797.3049382999999 y:293.1130864 to x:797.3049382999999 y:305.5,1682133052.120416
auto_moving, fixation 35 moved from x:731.2080000000001 y:300.7647692 to x:731.2080000000001 y:305.5,1682133053.1812558
auto_moving, fixation 36 moved from x:815.4175 y:289.95461539999997 to x:815.4175 y:305.5,1682133054.2418282
auto_moving, fixation 37 moved from x:947.4659259 y:311.5703704 to x:947.4659259 y:305.5,1682133055.298868
auto_moving, fixation 38 moved from x:998.8072549000001 y:305.64450980000004 to x:998.8072549000001 y:305.5,1682133056.9113421
auto_moving, fixation 39 moved from x:982.8972727 y:305.4821818 to x:982.8972727 y:305.5,1682133058.7114282
auto_moving, fixation 40 moved from x:938.1763265000001 y:308.0130612 to x:938.1763265000001 y:305.5,1682133059.772463
auto_moving, fixation 41 moved from x:909.1098076999999 y:311.4836538 to x:909.1098076999999 y:305.5,1682133060.836975
auto_moving, fixation 42 moved from x:869.8164062999999 y:304.1582813 to x:869.8164062999999 y:305.5,1682133061.89856
auto_moving, fixation 43 moved from x:1047.267742 y:302.23548389999996 to x:1047.267742 y:305.5,1682133062.9619431
auto_moving, fixation 44 moved from x:1040.858438 y:302.388125 to x:1040.858438 y:305.5,1682133064.0231712
auto_moving, fixation 45 moved from x:1025.1183330000001 y:296.3411111 to x:1025.1183330000001 y:305.5,1682133066.897782
auto_moving, fixation 46 moved from x:1060.1864 y:298.0626 to x:1060.1864 y:305.5,1682133067.9618309
auto_moving, fixation 47 moved from x:1131.017213 y:295.69081969999996 to x:1131.017213 y:305.5,1682133069.027789
auto_moving, fixation 48 moved from x:1098.6795710000001 y:300.48114289999995 to x:1098.6795710000001 y:305.5,1682133070.0905821
auto_moving, fixation 49 moved from x:743.713125 y:297.72625 to x:743.713125 y:305.5,1682133072.955894
auto_moving, fixation 50 moved from x:709.8764 y:295.7564 to x:709.8764 y:305.5,1682133074.509835
auto_moving, fixation 51 moved from x:731.7322857 y:252.79828569999998 to x:731.7322857 y:269.5,1682133076.545898
auto_moving, fixation 52 moved from x:688.6052941 y:235.015098 to x:688.6052941 y:232.5,1682133079.892121
auto_moving, fixation 53 moved from x:761.0706061000001 y:230.01303030000003 to x:761.0706061000001 y:232.5,1682133100.0473049
auto_moving, fixation 54 moved from x:719.6495161 y:261.9669355 to x:719.6495161 y:269.5,1682133101.6013818
auto_moving, fixation 55 moved from x:661.6268571 y:233.7491429 to x:661.6268571 y:232.5,1682133106.521672
auto_moving, fixation 56 moved from x:753.0373529 y:220.03058819999998 to x:753.0373529 y:232.5,1682133161.053272
auto_moving, fixation 57 moved from x:753.8686207000001 y:229.8448276 to x:753.8686207000001 y:232.5,1682133163.967272
auto_moving, fixation 58 moved from x:790.6447368 y:296.55964910000006 to x:790.6447368 y:305.5,1682133165.39549
auto_moving, fixation 59 moved from x:873.46625 y:302.0709375 to x:873.46625 y:305.5,1682133166.673318
auto_moving, fixation 60 moved from x:793.7082 y:324.1082 to x:793.7082 y:340.5,1682133167.742551
auto_moving, fixation 61 moved from x:820.992619 y:326.6907143 to x:820.992619 y:340.5,1682133168.8125901
auto_moving, fixation 62 moved from x:821.4384444 y:330.534 to x:821.4384444 y:340.5,1682133169.880528
auto_moving, fixation 63 moved from x:793.7898213999999 y:328.4007143 to x:793.7898213999999 y:340.5,1682133170.954272
auto_moving, fixation 64 moved from x:771.7633333 y:368.9872549 to x:771.7633333 y:377.5,1682133172.0276108
auto_moving, fixation 65 moved from x:780.9264582999999 y:411.8041667 to x:780.9264582999999 y:413.5,1682133173.1000562
auto_moving, fixation 66 moved from x:797.9332787000001 y:428.8886885 to x:797.9332787000001 y:413.5,1682133174.17177
auto_moving, fixation 67 moved from x:797.9332787000001 y:428.8886885 to x:797.9332787000001 y:413.5,1682133175.249242
auto_moving, fixation 68 moved from x:770.4488763999999 y:429.94831460000006 to x:770.4488763999999 y:413.5,1682133176.3209631
auto_moving, fixation 69 moved from x:937.8237255000001 y:503.32470589999997 to x:937.8237255000001 y:487.0,1682133177.3921201
auto_moving, fixation 70 moved from x:927.5539394 y:512.1690909 to x:927.5539394 y:522.5,1682133178.4631932
auto_moving, fixation 71 moved from x:996.3622321 y:507.5101786 to x:996.3622321 y:522.5,1682133179.5661492
manual_moving, fixation 69 moved from x:937.8237255000001 y:487.0 to x:940.8069202760955 y:517.0343580571356,1682133181.888503
manual_moving, fixation 69 moved from x:940.8069202760955 y:517.0343580571356 to x:943.1622509937556 y:521.745019492456,1682133183.6248388
auto_moving, fixation 72 moved from x:1019.913846 y:511.1303846 to x:1019.913846 y:522.5,1682133185.361911
auto_moving, fixation 73 moved from x:1016.643158 y:506.3138158 to x:1016.643158 y:522.5,1682133186.7281
auto_moving, fixation 74 moved from x:992.1082759 y:511.8598276000001 to x:992.1082759 y:522.5,1682133188.0120552
auto_moving, fixation 75 moved from x:1015.2934039999999 y:509.4176596 to x:1015.2934039999999 y:522.5,1682133189.18809
