event,event details,timestamp
started,,1681524074.97832
selected,algorithm Attach,1681524090.7734468
filter,removed fixations greater than 1000,1681524094.650916
filter,removed fixations less than 100,1681524095.871704
filter,removed fixations greater than 1000,1681524101.753939
filter,removed fixations less than 100,1681524102.629932
filter,removed fixations less than 100,1681524104.358305
filter,removed fixations less than 100,1681524105.224555
filter,removed fixations less than 100,1681524106.218
filter,removed fixations greater than 1000,1681524110.902231
filter,removed fixations less than 100,1681524112.244312
auto_moving, fixation 0 moved from x:733.1189655000001 y:327.522069 to x:733.1189655000001 y:330.5,1681524119.938582
auto_moving, fixation 1 moved from x:981.375625 y:321.0428125 to x:981.375625 y:330.5,1681524121.0646908
auto_moving, fixation 2 moved from x:943.6992308 y:331.1201923 to x:943.6992308 y:330.5,1681524122.340661
auto_moving, fixation 3 moved from x:888.1963332999999 y:339.3256667 to x:888.1963332999999 y:330.5,1681524123.594932
auto_moving, fixation 4 moved from x:969.8281081 y:329.91405410000004 to x:969.8281081 y:330.5,1681524124.686805
auto_moving, fixation 5 moved from x:1021.199697 y:336.2533333 to x:1021.199697 y:330.5,1681524125.844914
auto_moving, fixation 6 moved from x:1008.7527779999999 y:325.6638889 to x:1008.7527779999999 y:330.5,1681524127.1789188
auto_moving, fixation 7 moved from x:764.57 y:400.2396429 to x:764.57 y:414.5,1681524128.490873
auto_moving, fixation 8 moved from x:759.3654054 y:402.23054049999996 to x:759.3654054 y:414.5,1681524129.693096
auto_moving, fixation 9 moved from x:808.5939999999999 y:521.4171111 to x:808.5939999999999 y:540.0,1681524131.1210182
auto_moving, fixation 10 moved from x:918.5083332999999 y:525.1258333000001 to x:918.5083332999999 y:540.0,1681524132.625174
auto_moving, fixation 11 moved from x:989.6167391000001 y:528.2613043 to x:989.6167391000001 y:540.0,1681524133.786974
auto_moving, fixation 12 moved from x:1108.131458 y:533.1741666999999 to x:1108.131458 y:540.0,1681524134.872967
auto_moving, fixation 13 moved from x:1006.550682 y:577.2570455 to x:1006.550682 y:584.0,1681524136.165293
auto_moving, fixation 14 moved from x:1018.1167859999999 y:585.6064286000001 to x:1018.1167859999999 y:584.0,1681524137.369178
auto_moving, fixation 15 moved from x:712.3696552 y:609.9875862 to x:712.3696552 y:626.0,1681524138.495276
auto_moving, fixation 16 moved from x:844.2007692 y:611.7757692000001 to x:844.2007692 y:626.0,1681524139.737194
auto_moving, fixation 17 moved from x:1014.6264289999999 y:619.625 to x:1014.6264289999999 y:626.0,1681524140.867306
auto_moving, fixation 18 moved from x:980.0654286 y:612.2157143 to x:980.0654286 y:626.0,1681524142.013292
auto_moving, fixation 19 moved from x:780.33525 y:450.2795 to x:780.33525 y:455.5,1681524143.109459
auto_moving, fixation 20 moved from x:732.635 y:531.93625 to x:732.635 y:540.0,1681524144.26442
auto_moving, fixation 21 moved from x:730.0110526000001 y:523.0875438999999 to x:730.0110526000001 y:540.0,1681524145.305521
auto_moving, fixation 22 moved from x:729.1846875 y:536.72375 to x:729.1846875 y:540.0,1681524146.55339
auto_moving, fixation 23 moved from x:1158.302 y:612.5842222 to x:1158.302 y:626.0,1681524147.953541
auto_moving, fixation 24 moved from x:1021.3192310000001 y:586.42 to x:1021.3192310000001 y:584.0,1681524149.2095602
auto_moving, fixation 25 moved from x:1122.8102939999999 y:615.5820587999999 to x:1122.8102939999999 y:626.0,1681524150.357549
auto_moving, fixation 26 moved from x:1203.8036359999999 y:612.1183636 to x:1203.8036359999999 y:626.0,1681524151.437568
auto_moving, fixation 27 moved from x:1140.130385 y:605.6061538 to x:1140.130385 y:626.0,1681524152.689601
