event,event details,timestamp
started,,1681521579.618173
filter,removed fixations greater than 1000,1681521588.696662
filter,removed fixations less than 100,1681521590.665827
selected,algorithm Attach,1681521594.463348
auto_moving, fixation 0 moved from x:726.3857142999999 y:95.77 to x:726.3857142999999 y:108.0,1681521603.2054138
auto_moving, fixation 1 moved from x:768.3846667 y:66.99666667 to x:768.3846667 y:66.0,1681521604.976109
auto_moving, fixation 2 moved from x:769.1467568 y:65.00783784 to x:769.1467568 y:66.0,1681521606.784079
auto_moving, fixation 3 moved from x:770.6221569 y:64.54058824 to x:770.6221569 y:66.0,1681521608.600519
auto_moving, fixation 4 moved from x:696.8551723999999 y:220.2931034 to x:696.8551723999999 y:214.0,1681521610.6419399
auto_moving, fixation 5 moved from x:743.47 y:137.8777143 to x:743.47 y:150.0,1681521612.808222
auto_moving, fixation 6 moved from x:715.9673171000001 y:134.5212195 to x:715.9673171000001 y:150.0,1681521614.6201038
auto_moving, fixation 7 moved from x:783.0945455 y:127.13675320000002 to x:783.0945455 y:108.0,1681521616.852117
auto_moving, fixation 8 moved from x:784.4059459 y:116.47945949999999 to x:784.4059459 y:108.0,1681521618.42764
auto_moving, fixation 9 moved from x:903.0473332999999 y:106.03200000000001 to x:903.0473332999999 y:108.0,1681521620.444124
auto_moving, fixation 10 moved from x:775.1764865 y:249.77405409999997 to x:775.1764865 y:256.0,1681521622.605952
auto_moving, fixation 11 moved from x:883.3552632000001 y:155.7821053 to x:883.3552632000001 y:150.0,1681521624.661912
auto_moving, fixation 12 moved from x:949.6637931 y:158.8534483 to x:949.6637931 y:150.0,1681521626.570184
auto_moving, fixation 13 moved from x:721.1511111000001 y:249.0316667 to x:721.1511111000001 y:256.0,1681521628.770933
auto_moving, fixation 14 moved from x:709.0321428999999 y:70.115 to x:709.0321428999999 y:66.0,1681521630.608612
auto_moving, fixation 15 moved from x:785.0437142999999 y:293.9474286 to x:785.0437142999999 y:298.0,1681521632.519218
auto_moving, fixation 16 moved from x:873.0270968 y:154.63838710000002 to x:873.0270968 y:150.0,1681521634.2881029
auto_moving, fixation 17 moved from x:707.2964286 y:143.06428569999997 to x:707.2964286 y:150.0,1681521636.3955069
auto_moving, fixation 18 moved from x:728.2528571 y:113.58571429999999 to x:728.2528571 y:108.0,1681521638.477296
auto_moving, fixation 19 moved from x:833.6931707 y:106.22268290000001 to x:833.6931707 y:108.0,1681521640.387625
auto_moving, fixation 20 moved from x:895.1766667000002 y:111.8015152 to x:895.1766667000002 y:108.0,1681521642.392336
auto_moving, fixation 21 moved from x:713.0773912999999 y:135.9980435 to x:713.0773912999999 y:150.0,1681521644.305813
auto_moving, fixation 22 moved from x:808.8098276000001 y:107.6574138 to x:808.8098276000001 y:108.0,1681521646.14974
auto_moving, fixation 23 moved from x:713.0219999999999 y:134.51375 to x:713.0219999999999 y:150.0,1681521647.8624718
auto_moving, fixation 24 moved from x:773.9233333 y:290.4796667 to x:773.9233333 y:298.0,1681521649.803591
auto_moving, fixation 25 moved from x:777.6558332999999 y:292.44555560000003 to x:777.6558332999999 y:298.0,1681521651.8486578
auto_moving, fixation 26 moved from x:878.8513462000001 y:281.6409615 to x:878.8513462000001 y:298.0,1681521653.734887
auto_moving, fixation 27 moved from x:839.1275 y:250.5634091 to x:839.1275 y:256.0,1681521655.565034
auto_moving, fixation 28 moved from x:774.4477778 y:240.83694440000002 to x:774.4477778 y:256.0,1681521657.420741
auto_moving, fixation 29 moved from x:876.9405556 y:295.1463889 to x:876.9405556 y:298.0,1681521659.2481449
auto_moving, fixation 30 moved from x:828.4575 y:324.60464289999993 to x:828.4575 y:340.0,1681521660.923844
auto_moving, fixation 31 moved from x:812.2358571000001 y:348.54242860000005 to x:812.2358571000001 y:340.0,1681521662.923178
auto_moving, fixation 32 moved from x:837.9554286 y:347.67571430000004 to x:837.9554286 y:340.0,1681521664.700499
auto_moving, fixation 33 moved from x:888.9248649 y:146.4889189 to x:888.9248649 y:150.0,1681521666.604623
auto_moving, fixation 34 moved from x:708.0928261 y:88.85978261 to x:708.0928261 y:108.0,1681521668.551859
auto_moving, fixation 35 moved from x:954.2222222000001 y:513.4725 to x:954.2222222000001 y:531.0,1681521670.458346
auto_moving, fixation 36 moved from x:797.1219149 y:564.157234 to x:797.1219149 y:573.0,1681521672.3475132
auto_moving, fixation 37 moved from x:845.5115385 y:552.4376923 to x:845.5115385 y:573.0,1681521674.183917
auto_moving, fixation 38 moved from x:846.2370832999999 y:555.6372222 to x:846.2370832999999 y:573.0,1681521676.029972
auto_moving, fixation 39 moved from x:899.6407142999999 y:561.2696429 to x:899.6407142999999 y:573.0,1681521677.671319
auto_moving, fixation 40 moved from x:897.9310667000001 y:560.3896 to x:897.9310667000001 y:573.0,1681521679.5118232
auto_moving, fixation 41 moved from x:846.3101471000001 y:560.6067647000001 to x:846.3101471000001 y:573.0,1681521681.163879
auto_moving, fixation 42 moved from x:906.8690741 y:564.3796296 to x:906.8690741 y:573.0,1681521683.032964
auto_moving, fixation 43 moved from x:899.4370369999999 y:556.2 to x:899.4370369999999 y:573.0,1681521684.993676
auto_moving, fixation 44 moved from x:871.7716393 y:560.8391803 to x:871.7716393 y:573.0,1681521686.942216
auto_moving, fixation 45 moved from x:955.0026316 y:559.7028947000001 to x:955.0026316 y:573.0,1681521688.7106729
auto_moving, fixation 46 moved from x:958.8040741000001 y:561.4514815 to x:958.8040741000001 y:573.0,1681521690.564729
auto_moving, fixation 47 moved from x:905.7029630000001 y:560.0092592999999 to x:905.7029630000001 y:573.0,1681521692.396579
auto_moving, fixation 48 moved from x:975.4353125 y:560.170625 to x:975.4353125 y:573.0,1681521694.2002938
auto_moving, fixation 49 moved from x:1041.044242 y:569.3563636 to x:1041.044242 y:573.0,1681521696.0802329
auto_moving, fixation 50 moved from x:1027.37809 y:559.5652809 to x:1027.37809 y:573.0,1681521697.8732228
auto_moving, fixation 51 moved from x:1060.7213789999998 y:562.4105172000001 to x:1060.7213789999998 y:573.0,1681521699.6611059
auto_moving, fixation 52 moved from x:1025.035 y:567.6988462 to x:1025.035 y:573.0,1681521701.417821
auto_moving, fixation 53 moved from x:839.1365 y:560.9835 to x:839.1365 y:573.0,1681521703.208517
auto_moving, fixation 54 moved from x:1001.236042 y:560.994375 to x:1001.236042 y:573.0,1681521704.9526908
auto_moving, fixation 55 moved from x:1058.9486539999998 y:551.9838462 to x:1058.9486539999998 y:531.0,1681521706.7080681
auto_moving, fixation 56 moved from x:995.1438889000001 y:486.9297222 to x:995.1438889000001 y:488.0,1681521708.432989
auto_moving, fixation 57 moved from x:1077.0147220000001 y:553.1061111 to x:1077.0147220000001 y:573.0,1681521710.1482859
auto_moving, fixation 58 moved from x:1158.5023210000002 y:537.8871429 to x:1158.5023210000002 y:531.0,1681521711.899704
auto_moving, fixation 59 moved from x:1134.053171 y:538.6387804999999 to x:1134.053171 y:531.0,1681521713.463628
auto_moving, fixation 60 moved from x:1193.828966 y:533.5437931 to x:1193.828966 y:531.0,1681521715.12742
auto_moving, fixation 61 moved from x:900.7417857 y:582.5275 to x:900.7417857 y:573.0,1681521716.7600489
auto_moving, fixation 62 moved from x:1056.832128 y:583.3695745 to x:1056.832128 y:573.0,1681521718.297685
auto_moving, fixation 63 moved from x:1040.265273 y:581.1725455 to x:1040.265273 y:573.0,1681521719.981952
auto_moving, fixation 64 moved from x:1129.7271150000001 y:577.0915385 to x:1129.7271150000001 y:573.0,1681521737.520598
auto_moving, fixation 65 moved from x:1244.8852630000001 y:658.7371052999999 to x:1244.8852630000001 y:658.0,1681521739.0627992
auto_moving, fixation 66 moved from x:1249.881951 y:656.7995122000001 to x:1249.881951 y:658.0,1681521743.350243
auto_moving, fixation 67 moved from x:759.6890698 y:724.4886047 to x:759.6890698 y:742.0,1681521744.887894
auto_moving, fixation 68 moved from x:876.4235294 y:748.1876470999999 to x:876.4235294 y:742.0,1681521746.4835122
auto_moving, fixation 69 moved from x:847.2970968000001 y:750.6274194 to x:847.2970968000001 y:742.0,1681521748.096562
auto_moving, fixation 70 moved from x:975.8853571000001 y:748.5308928999999 to x:975.8853571000001 y:742.0,1681521749.650505
auto_moving, fixation 71 moved from x:721.1080392000001 y:834.3866667000001 to x:721.1080392000001 y:848.0,1681521751.230103
auto_moving, fixation 72 moved from x:820.5848214 y:845.0294643 to x:820.5848214 y:848.0,1681521753.481863
auto_moving, fixation 73 moved from x:901.1394642999999 y:837.8935713999999 to x:901.1394642999999 y:848.0,1681521755.777327
auto_moving, fixation 74 moved from x:1001.0522810000001 y:838.3942105000001 to x:1001.0522810000001 y:848.0,1681521758.215269
auto_moving, fixation 75 moved from x:890.9358064999999 y:885.8209677000001 to x:890.9358064999999 y:889.5,1681521760.204522
auto_moving, fixation 76 moved from x:892.5214706 y:886.1255882000002 to x:892.5214706 y:889.5,1681521789.1489549
auto_moving, fixation 77 moved from x:1082.443448 y:892.5941379000001 to x:1082.443448 y:889.5,1681521790.999071
auto_moving, fixation 78 moved from x:1081.625161 y:896.3980644999999 to x:1081.625161 y:889.5,1681521792.838316
auto_moving, fixation 79 moved from x:1158.894179 y:890.0591791000002 to x:1158.894179 y:889.5,1681521795.042329
auto_moving, fixation 80 moved from x:1248.4124 y:894.7669999999999 to x:1248.4124 y:889.5,1681521797.356671
auto_moving, fixation 81 moved from x:1232.470179 y:887.6846429 to x:1232.470179 y:889.5,1681521799.255473
auto_moving, fixation 82 moved from x:766.1247826 y:936.96 to x:766.1247826 y:932.5,1681521801.191585
auto_moving, fixation 83 moved from x:918.0800943 y:930.4848112999999 to x:918.0800943 y:932.5,1681521803.342287
auto_moving, fixation 84 moved from x:952.9070968000001 y:933.7664516000001 to x:952.9070968000001 y:932.5,1681521805.292023
auto_moving, fixation 85 moved from x:925.3766667000001 y:936.5154167000002 to x:925.3766667000001 y:932.5,1681521807.368753
auto_moving, fixation 86 moved from x:916.3876471000001 y:934.2566667000001 to x:916.3876471000001 y:932.5,1681521809.4030888
auto_moving, fixation 87 moved from x:936.3486111 y:829.1725 to x:936.3486111 y:848.0,1681521811.2409039
auto_moving, fixation 88 moved from x:876.1869231000001 y:496.00833330000006 to x:876.1869231000001 y:488.0,1681521813.2677708
auto_moving, fixation 89 moved from x:832.6394382 y:844.8526966 to x:832.6394382 y:848.0,1681521815.274328
auto_moving, fixation 90 moved from x:932.0641176000001 y:847.7155882000001 to x:932.0641176000001 y:848.0,1681521817.067879
auto_moving, fixation 91 moved from x:1010.5707689999999 y:851.8334615 to x:1010.5707689999999 y:848.0,1681521818.9052129
auto_moving, fixation 92 moved from x:1163.8575 y:868.6630556 to x:1163.8575 y:848.0,1681521820.7633438
auto_moving, fixation 93 moved from x:1132.499167 y:880.6641667000001 to x:1132.499167 y:889.5,1681521822.606154
auto_moving, fixation 0 moved from x:726.3857142999999 y:108.0 to x:726.3857142999999 y:108.0,1681521824.4640179
auto_moving, fixation 1 moved from x:768.3846667 y:66.0 to x:768.3846667 y:66.0,1681521826.315115
auto_moving, fixation 2 moved from x:769.1467568 y:66.0 to x:769.1467568 y:66.0,1681521828.001118
auto_moving, fixation 3 moved from x:770.6221569 y:66.0 to x:770.6221569 y:66.0,1681521829.698509
auto_moving, fixation 4 moved from x:696.8551723999999 y:214.0 to x:696.8551723999999 y:214.0,1681521831.4358
auto_moving, fixation 5 moved from x:743.47 y:150.0 to x:743.47 y:150.0,1681521833.039781
auto_moving, fixation 6 moved from x:715.9673171000001 y:150.0 to x:715.9673171000001 y:150.0,1681521834.83934
auto_moving, fixation 7 moved from x:783.0945455 y:108.0 to x:783.0945455 y:108.0,1681521836.555558
auto_moving, fixation 8 moved from x:784.4059459 y:108.0 to x:784.4059459 y:108.0,1681521838.1470778
auto_moving, fixation 9 moved from x:903.0473332999999 y:108.0 to x:903.0473332999999 y:108.0,1681521839.7581599
auto_moving, fixation 10 moved from x:775.1764865 y:256.0 to x:775.1764865 y:256.0,1681521841.285581
auto_moving, fixation 11 moved from x:883.3552632000001 y:150.0 to x:883.3552632000001 y:150.0,1681521842.810313
auto_moving, fixation 12 moved from x:949.6637931 y:150.0 to x:949.6637931 y:150.0,1681521844.391625
auto_moving, fixation 13 moved from x:721.1511111000001 y:256.0 to x:721.1511111000001 y:256.0,1681521846.008713
auto_moving, fixation 14 moved from x:709.0321428999999 y:66.0 to x:709.0321428999999 y:66.0,1681521847.5405009
auto_moving, fixation 15 moved from x:785.0437142999999 y:298.0 to x:785.0437142999999 y:298.0,1681521849.050842
auto_moving, fixation 16 moved from x:873.0270968 y:150.0 to x:873.0270968 y:150.0,1681521850.620873
auto_moving, fixation 17 moved from x:707.2964286 y:150.0 to x:707.2964286 y:150.0,1681521852.1866062
auto_moving, fixation 18 moved from x:728.2528571 y:108.0 to x:728.2528571 y:108.0,1681521853.710099
auto_moving, fixation 19 moved from x:833.6931707 y:108.0 to x:833.6931707 y:108.0,1681521855.257368
auto_moving, fixation 20 moved from x:895.1766667000002 y:108.0 to x:895.1766667000002 y:108.0,1681521856.8090281
auto_moving, fixation 21 moved from x:713.0773912999999 y:150.0 to x:713.0773912999999 y:150.0,1681521858.366803
auto_moving, fixation 22 moved from x:808.8098276000001 y:108.0 to x:808.8098276000001 y:108.0,1681521859.881474
auto_moving, fixation 23 moved from x:713.0219999999999 y:150.0 to x:713.0219999999999 y:150.0,1681521861.448989
auto_moving, fixation 24 moved from x:773.9233333 y:298.0 to x:773.9233333 y:298.0,1681521863.0174458
auto_moving, fixation 25 moved from x:777.6558332999999 y:298.0 to x:777.6558332999999 y:298.0,1681521864.588614
auto_moving, fixation 26 moved from x:878.8513462000001 y:298.0 to x:878.8513462000001 y:298.0,1681521866.155401
auto_moving, fixation 27 moved from x:839.1275 y:256.0 to x:839.1275 y:256.0,1681521867.706424
Saved,Date 2023-04-14 Trial Nametrial_2_participant_54_vehicle_java_CORRECTED.json File Path /Users/vega/Desktop/FIX8/golden_set/EMIP_90/stimulus_vehicle_java/vehicle_java.png Duration 296.7428140640259,1681521876.363124
Saved,Date 2023-04-14 Trial Nametrial_2_participant_54_vehicle_java_CORRECTED.json File Path /Users/vega/Desktop/FIX8/golden_set/EMIP_90/stimulus_vehicle_java/vehicle_java.png Duration 296.97943902015686,1681521876.597696
