event,event details,timestamp
started,,1682139938.88242
filter,removed fixations greater than 1000,1682139940.866123
filter,removed fixations greater than 1000,1682139941.647247
filter,removed fixations less than 100,1682139942.1638458
filter,removed fixations less than 100,1682139942.699276
selected,algorithm Attach,1682139944.48711
auto_moving, fixation 0 moved from x:783.7126923 y:376.0738462 to x:783.7126923 y:387.0,1682139948.784072
auto_moving, fixation 1 moved from x:753.5936508 y:144.6307937 to x:753.5936508 y:151.0,1682139949.805963
auto_moving, fixation 2 moved from x:916.7417241 y:192.472069 to x:916.7417241 y:188.0,1682139950.8267698
auto_moving, fixation 3 moved from x:949.1637142999999 y:279.57085710000007 to x:949.1637142999999 y:278.0,1682139951.858644
auto_moving, fixation 4 moved from x:948.9061537999999 y:270.84038460000005 to x:948.9061537999999 y:278.0,1682139952.880073
auto_moving, fixation 5 moved from x:869.3023332999999 y:301.233 to x:869.3023332999999 y:314.0,1682139953.896019
auto_moving, fixation 6 moved from x:756.3451852000001 y:155.38962959999998 to x:756.3451852000001 y:151.0,1682139954.912469
auto_moving, fixation 7 moved from x:761.03 y:152.22810810000001 to x:761.03 y:151.0,1682139955.932299
auto_moving, fixation 8 moved from x:842.8290625 y:155.583125 to x:842.8290625 y:151.0,1682139956.9500108
auto_moving, fixation 9 moved from x:842.8290625 y:155.583125 to x:842.8290625 y:151.0,1682139957.969321
auto_moving, fixation 10 moved from x:754.4856097999999 y:188.0185366 to x:754.4856097999999 y:188.0,1682139958.989203
auto_moving, fixation 11 moved from x:875.6255556 y:187.15555559999999 to x:875.6255556 y:188.0,1682139966.326852
auto_moving, fixation 12 moved from x:908.2214706 y:187.3741176 to x:908.2214706 y:188.0,1682139967.353407
auto_moving, fixation 13 moved from x:789.9461765 y:188.89029409999998 to x:789.9461765 y:188.0,1682139968.372521
auto_moving, fixation 14 moved from x:835.0145714 y:167.90428569999997 to x:835.0145714 y:151.0,1682140027.364428
auto_moving, fixation 15 moved from x:779.6203571000001 y:218.0835714 to x:779.6203571000001 y:224.0,1682140028.866603
auto_moving, fixation 16 moved from x:904.9889473999999 y:179.88350880000002 to x:904.9889473999999 y:188.0,1682140029.901757
auto_moving, fixation 17 moved from x:830.1709677 y:227.08903230000004 to x:830.1709677 y:224.0,1682140031.318968
auto_moving, fixation 18 moved from x:761.6296 y:226.7592 to x:761.6296 y:224.0,1682140032.344414
auto_moving, fixation 19 moved from x:726.339375 y:220.4990625 to x:726.339375 y:224.0,1682140033.3662982
auto_moving, fixation 20 moved from x:911.0132353 y:219.99647059999998 to x:911.0132353 y:224.0,1682140034.390553
auto_moving, fixation 21 moved from x:962.6986111 y:220.2666667 to x:962.6986111 y:224.0,1682140035.411398
auto_moving, fixation 22 moved from x:832.8753846 y:276.66307689999996 to x:832.8753846 y:278.0,1682140036.4390368
auto_moving, fixation 23 moved from x:928.4184783 y:267.5713043 to x:928.4184783 y:278.0,1682140037.4601002
auto_moving, fixation 24 moved from x:1015.997586 y:266.5365517 to x:1015.997586 y:278.0,1682140038.483401
auto_moving, fixation 25 moved from x:1016.2275 y:274.585 to x:1016.2275 y:278.0,1682140039.515498
auto_moving, fixation 26 moved from x:1103.4185710000002 y:262.3621429 to x:1103.4185710000002 y:278.0,1682140040.5444129
auto_moving, fixation 27 moved from x:1106.214286 y:267.6125 to x:1106.214286 y:278.0,1682140041.5868192
auto_moving, fixation 28 moved from x:1157.1146939999999 y:268.0216327 to x:1157.1146939999999 y:278.0,1682140042.612426
auto_moving, fixation 29 moved from x:844.2060713999999 y:187.47321430000002 to x:844.2060713999999 y:188.0,1682140043.6410801
auto_moving, fixation 30 moved from x:847.2987879000001 y:174.1227273 to x:847.2987879000001 y:188.0,1682140044.669496
auto_moving, fixation 31 moved from x:922.9391176000001 y:188.4423529 to x:922.9391176000001 y:188.0,1682140045.69519
auto_moving, fixation 32 moved from x:922.9391176000001 y:188.4423529 to x:922.9391176000001 y:188.0,1682140046.727156
auto_moving, fixation 33 moved from x:842.4913889000001 y:262.5313889 to x:842.4913889000001 y:278.0,1682140047.75857
auto_moving, fixation 34 moved from x:818.049 y:296.2475 to x:818.049 y:314.0,1682140048.782269
auto_moving, fixation 35 moved from x:926.105814 y:304.6489535 to x:926.105814 y:314.0,1682140049.813359
auto_moving, fixation 36 moved from x:928.682549 y:315.68843139999996 to x:928.682549 y:314.0,1682140050.84888
auto_moving, fixation 37 moved from x:832.5728916 y:343.1036145 to x:832.5728916 y:351.0,1682140051.884544
auto_moving, fixation 38 moved from x:944.8619564999999 y:382.6580435 to x:944.8619564999999 y:387.0,1682140052.9145432
auto_moving, fixation 39 moved from x:944.8619564999999 y:382.6580435 to x:944.8619564999999 y:387.0,1682140053.946002
auto_moving, fixation 40 moved from x:843.37 y:425.5645455 to x:843.37 y:423.0,1682140054.979161
auto_moving, fixation 41 moved from x:824.0723404 y:421.7544681 to x:824.0723404 y:423.0,1682140056.011195
auto_moving, fixation 42 moved from x:1111.934286 y:274.10714289999993 to x:1111.934286 y:278.0,1682140057.0572941
auto_moving, fixation 43 moved from x:988.1994545 y:278.0321818 to x:988.1994545 y:278.0,1682140058.0877702
auto_moving, fixation 44 moved from x:844.2304762 y:420.63928569999996 to x:844.2304762 y:423.0,1682140059.113678
auto_moving, fixation 45 moved from x:803.5335 y:221.019 to x:803.5335 y:224.0,1682140060.1489751
auto_moving, fixation 46 moved from x:805.7420588 y:213.0547059 to x:805.7420588 y:224.0,1682140061.1841412
auto_moving, fixation 47 moved from x:801.4721739 y:276.4930435 to x:801.4721739 y:278.0,1682140062.2203782
auto_moving, fixation 48 moved from x:746.047907 y:273.784186 to x:746.047907 y:278.0,1682140063.257662
auto_moving, fixation 49 moved from x:941.8848837000002 y:408.9951163 to x:941.8848837000002 y:423.0,1682140064.297987
auto_moving, fixation 50 moved from x:865.45125 y:402.9109375 to x:865.45125 y:387.0,1682140065.343168
auto_moving, fixation 51 moved from x:868.6573076999999 y:423.8096154 to x:868.6573076999999 y:423.0,1682140068.7457862
auto_moving, fixation 52 moved from x:949.4734286 y:411.66714289999993 to x:949.4734286 y:423.0,1682140069.785451
manual_moving, fixation 50 moved from x:865.45125 y:387.0 to x:862.5242421356195 y:420.50832914383886,1682140073.914837
auto_moving, fixation 53 moved from x:789.5203226 y:521.3948387 to x:789.5203226 y:514.0,1682140076.272396
auto_moving, fixation 54 moved from x:784.7124137999999 y:516.9031034 to x:784.7124137999999 y:514.0,1682140077.645844
auto_moving, fixation 55 moved from x:908.2731034 y:505.7213793000001 to x:908.2731034 y:514.0,1682140078.684577
auto_moving, fixation 56 moved from x:984.2436364 y:514.0612121 to x:984.2436364 y:514.0,1682140079.7248
auto_moving, fixation 57 moved from x:983.6423077 y:517.8080769 to x:983.6423077 y:514.0,1682140081.672402
auto_moving, fixation 58 moved from x:885.7306667000001 y:538.0946667000001 to x:885.7306667000001 y:550.0,1682140082.712397
auto_moving, fixation 59 moved from x:887.6270832999999 y:547.4291667 to x:887.6270832999999 y:550.0,1682140083.74794
auto_moving, fixation 60 moved from x:979.3495122000002 y:555.3497561 to x:979.3495122000002 y:550.0,1682140084.786471
auto_moving, fixation 61 moved from x:1019.7177140000001 y:554.7282857000001 to x:1019.7177140000001 y:550.0,1682140085.832101
auto_moving, fixation 62 moved from x:1019.7177140000001 y:554.7282857000001 to x:1019.7177140000001 y:550.0,1682140086.874942
auto_moving, fixation 63 moved from x:830.5832653 y:540.2671429 to x:830.5832653 y:550.0,1682140087.909855
auto_moving, fixation 64 moved from x:769.7014634 y:534.4112195 to x:769.7014634 y:550.0,1682140089.179785
auto_moving, fixation 65 moved from x:854.7654762 y:585.4564286 to x:854.7654762 y:586.0,1682140090.249998
auto_moving, fixation 66 moved from x:998.6769231000001 y:576.7511538 to x:998.6769231000001 y:586.0,1682140091.292039
auto_moving, fixation 67 moved from x:1079.7184619999998 y:591.0261538 to x:1079.7184619999998 y:586.0,1682140092.333508
auto_moving, fixation 68 moved from x:897.9658621 y:568.3882758999999 to x:897.9658621 y:586.0,1682140093.379905
auto_moving, fixation 69 moved from x:823.5065789 y:533.0660526 to x:823.5065789 y:550.0,1682140094.426049
auto_moving, fixation 70 moved from x:905.5351724 y:519.6110345 to x:905.5351724 y:514.0,1682140095.4743931
auto_moving, fixation 71 moved from x:1061.235152 y:557.2515152000001 to x:1061.235152 y:550.0,1682140098.796577
auto_moving, fixation 72 moved from x:1153.135385 y:530.5015384999999 to x:1153.135385 y:514.0,1682140099.847882
auto_moving, fixation 73 moved from x:1079.952857 y:533.6035714 to x:1079.952857 y:550.0,1682140100.89285
manual_moving, fixation 72 moved from x:1153.135385 y:514.0 to x:1155.3039472054957 y:548.1302518666055,1682140104.826078
auto_moving, fixation 74 moved from x:971.2639999999999 y:533.3406666999999 to x:971.2639999999999 y:550.0,1682140107.0833228
auto_moving, fixation 75 moved from x:1044.489286 y:551.0642857 to x:1044.489286 y:550.0,1682140108.126762
auto_moving, fixation 76 moved from x:1122.56129 y:528.9196774000001 to x:1122.56129 y:514.0,1682140109.1700559
manual_moving, fixation 76 moved from x:1122.56129 y:514.0 to x:1123.7738251210474 y:543.6259487116843,1682140113.933654
manual_moving, fixation 76 moved from x:1123.7738251210474 y:543.6259487116843 to x:1123.7738251210474 y:545.1273830966579,1682140116.757918
manual_moving, fixation 76 moved from x:1123.7738251210474 y:545.1273830966579 to x:1132.7824314308898 y:549.6316862515791,1682140118.9000719
auto_moving, fixation 77 moved from x:1184.833778 y:538.9855556 to x:1184.833778 y:550.0,1682140120.575252
auto_moving, fixation 78 moved from x:872.5217142999999 y:662.7077142999999 to x:872.5217142999999 y:659.0,1682140121.62868
auto_moving, fixation 79 moved from x:900.8514286000001 y:647.0954286 to x:900.8514286000001 y:659.0,1682140122.672948
auto_moving, fixation 80 moved from x:1037.11878 y:648.332439 to x:1037.11878 y:659.0,1682140123.7203991
auto_moving, fixation 81 moved from x:1050.595769 y:666.9326923 to x:1050.595769 y:659.0,1682140124.772465
auto_moving, fixation 82 moved from x:1115.144762 y:579.2507142999999 to x:1115.144762 y:586.0,1682140125.823457
auto_moving, fixation 83 moved from x:948.5944444 y:541.5868889 to x:948.5944444 y:550.0,1682140126.869837
