event,event details,timestamp
started,,1681523822.091826
selected,algorithm Attach,1681523848.818295
auto_moving, fixation 0 moved from x:770.49 y:292.74194439999997 to x:770.49 y:298.5,1681523887.271569
auto_moving, fixation 1 moved from x:837.118125 y:291.5 to x:837.118125 y:298.5,1681523889.261753
auto_moving, fixation 2 moved from x:844.7165625 y:291.9209375 to x:844.7165625 y:298.5,1681523890.7836149
auto_moving, fixation 3 moved from x:844.7165625 y:291.9209375 to x:844.7165625 y:298.5,1681523892.537924
auto_moving, fixation 4 moved from x:914.81375 y:280.3895833 to x:914.81375 y:298.5,1681523894.658043
auto_moving, fixation 5 moved from x:777.5507142999999 y:220.5603571 to x:777.5507142999999 y:233.5,1681523896.241884
auto_moving, fixation 6 moved from x:765.0581817999999 y:221.5745455 to x:765.0581817999999 y:233.5,1681523897.887985
auto_moving, fixation 7 moved from x:743.1734615 y:280.42038460000003 to x:743.1734615 y:298.5,1681523899.229865
auto_moving, fixation 8 moved from x:742.763125 y:288.141875 to x:742.763125 y:298.5,1681523900.645935
auto_moving, fixation 9 moved from x:933.9052941 y:280.6623529 to x:933.9052941 y:298.5,1681523917.45242
auto_moving, fixation 10 moved from x:877.07 y:284.5606667 to x:877.07 y:298.5,1681523920.004569
auto_moving, fixation 11 moved from x:865.0202857 y:284.4142857 to x:865.0202857 y:298.5,1681523921.42799
auto_moving, fixation 12 moved from x:923.7387097000001 y:290.5129032 to x:923.7387097000001 y:298.5,1681523922.750874
filter,removed fixations greater than 1000,1681523925.8987079
filter,removed fixations less than 100,1681523927.175523
auto_moving, fixation 0 moved from x:770.49 y:298.5 to x:770.49 y:298.5,1681523933.971116
auto_moving, fixation 1 moved from x:844.7165625 y:298.5 to x:844.7165625 y:298.5,1681523934.9780312
auto_moving, fixation 2 moved from x:844.7165625 y:298.5 to x:844.7165625 y:298.5,1681523935.983882
auto_moving, fixation 3 moved from x:777.5507142999999 y:233.5 to x:777.5507142999999 y:233.5,1681523936.986805
auto_moving, fixation 4 moved from x:765.0581817999999 y:233.5 to x:765.0581817999999 y:233.5,1681523937.995451
auto_moving, fixation 5 moved from x:743.1734615 y:298.5 to x:743.1734615 y:298.5,1681523939.00419
auto_moving, fixation 6 moved from x:933.9052941 y:298.5 to x:933.9052941 y:298.5,1681523940.0082161
auto_moving, fixation 7 moved from x:865.0202857 y:298.5 to x:865.0202857 y:298.5,1681523941.014803
auto_moving, fixation 8 moved from x:923.7387097000001 y:298.5 to x:923.7387097000001 y:298.5,1681523942.021207
auto_moving, fixation 9 moved from x:1001.3305449999999 y:285.80400000000003 to x:1001.3305449999999 y:298.5,1681523943.024842
auto_moving, fixation 10 moved from x:937.1928889000001 y:298.9262222 to x:937.1928889000001 y:298.5,1681523944.031272
auto_moving, fixation 11 moved from x:790.6919048 y:327.5597619 to x:790.6919048 y:340.5,1681523945.038429
auto_moving, fixation 12 moved from x:866.2460465 y:319.965814 to x:866.2460465 y:340.5,1681523946.0513642
auto_moving, fixation 13 moved from x:849.3092308 y:307.95589739999997 to x:849.3092308 y:298.5,1681523947.055849
auto_moving, fixation 14 moved from x:787.112973 y:363.7189189 to x:787.112973 y:383.5,1681523948.067331
auto_moving, fixation 15 moved from x:816.8237975 y:363.25481010000004 to x:816.8237975 y:383.5,1681523949.076684
auto_moving, fixation 16 moved from x:766.4070732000001 y:376.40560980000004 to x:766.4070732000001 y:383.5,1681523954.239639
auto_moving, fixation 17 moved from x:837.5977551 y:383.9316327 to x:837.5977551 y:383.5,1681523955.651673
auto_moving, fixation 18 moved from x:818.4087804999999 y:387.0878049 to x:818.4087804999999 y:383.5,1681523956.7537532
auto_moving, fixation 19 moved from x:803.3951429 y:336.65085710000005 to x:803.3951429 y:340.5,1681523957.8681128
auto_moving, fixation 20 moved from x:784.5436232000001 y:418.263913 to x:784.5436232000001 y:425.5,1681523959.1098921
auto_moving, fixation 21 moved from x:827.7716667000001 y:331.415 to x:827.7716667000001 y:340.5,1681523960.1519842
auto_moving, fixation 22 moved from x:800.7311538 y:340.39653849999996 to x:800.7311538 y:340.5,1681523961.341727
auto_moving, fixation 23 moved from x:796.0836957 y:422.3441303999999 to x:796.0836957 y:425.5,1681523962.569877
auto_moving, fixation 24 moved from x:831.4655172 y:430.31172410000005 to x:831.4655172 y:425.5,1681523963.6778188
auto_moving, fixation 25 moved from x:949.9497674 y:512.4297674 to x:949.9497674 y:531.0,1681523964.6912482
auto_moving, fixation 26 moved from x:834.2122727000001 y:555.7836364 to x:834.2122727000001 y:573.0,1681523965.816148
auto_moving, fixation 27 moved from x:992.2046512000001 y:551.7381395 to x:992.2046512000001 y:531.0,1681523967.120151
manual_moving, fixation 26 moved from x:834.2122727000001 y:573.0 to x:833.8510037259704 y:528.4246815720151,1681523977.2650821
auto_moving, fixation 28 moved from x:1136.966364 y:551.6596969999999 to x:1136.966364 y:531.0,1681523980.318408
manual_moving, fixation 28 moved from x:1136.966364 y:531.0 to x:1148.2460084433642 y:570.87464001487,1681523987.695439
