event,event details,timestamp
started,,1682376812.0465686
selected,algorithm Warp,1682376815.3598173
filter,removed fixations greater than 1000,1682376818.253835
filter,removed fixations less than 100,1682376821.3745077
auto_moving, fixation 0 moved from x:678.8362216166586 y:16.151183235766222 to x:678.8362216166586 y:21.0,1682376871.7970686
auto_moving, fixation 1 moved from x:967.6165121045519 y:1.9009147642132747 to x:967.6165121045519 y:21.0,1682376874.1671221
auto_moving, fixation 2 moved from x:697.3055946733339 y:60.71398565191853 to x:697.3055946733339 y:87.0,1682376876.2715335
auto_moving, fixation 3 moved from x:751.9880805706335 y:58.831787276242835 to x:751.9880805706335 y:87.0,1682376878.181133
manual_moving, fixation 4 moved from x:729.4422648275977 y:61.07738042992101 to x:737.2110372786989 y:87.49120530463625,1682376882.3541021
auto_moving, fixation 4 moved from x:737.2110372786989 y:87.49120530463625 to x:737.2110372786989 y:87.0,1682376884.1824539
manual_moving, fixation 5 moved from x:882.1229083143197 y:64.53480155038703 to x:875.1385036913712 y:87.49120530463625,1682376888.6574545
auto_moving, fixation 5 moved from x:875.1385036913712 y:87.49120530463625 to x:875.1385036913712 y:87.0,1682376890.8423028
manual_moving, fixation 6 moved from x:882.1229083143197 y:64.53480155038703 to x:875.1385036913712 y:87.49120530463625,1682376895.035754
auto_moving, fixation 6 moved from x:875.1385036913712 y:87.49120530463625 to x:875.1385036913712 y:87.0,1682376897.097573
auto_moving, fixation 7 moved from x:960.8554507763689 y:65.07393623727302 to x:960.8554507763689 y:87.0,1682376899.2422936
auto_moving, fixation 8 moved from x:1000.470389724378 y:63.991616863295626 to x:1000.470389724378 y:87.0,1682376925.7968469
manual_moving, fixation 9 moved from x:856.2533669979749 y:61.20103750634124 to x:847.801528366337 y:86.86991041088544,1682376937.4078615
auto_moving, fixation 9 moved from x:847.801528366337 y:86.86991041088544 to x:847.801528366337 y:87.0,1682376943.3248892
manual_moving, fixation 10 moved from x:856.2533669979749 y:61.20103750634124 to x:845.3163487913339 y:85.62732062338392,1682376947.5991385
auto_moving, fixation 10 moved from x:845.3163487913339 y:85.62732062338392 to x:845.3163487913339 y:87.0,1682376949.5543578
manual_moving, fixation 11 moved from x:883.0288758115355 y:65.28823858099783 to x:875.1385036913712 y:85.00602572963311,1682376954.0149143
auto_moving, fixation 11 moved from x:875.1385036913712 y:85.00602572963311 to x:875.1385036913712 y:87.0,1682376955.930283
auto_moving, fixation 12 moved from x:971.0540737517659 y:66.69482105188519 to x:971.0540737517659 y:87.0,1682376974.5828035
auto_moving, fixation 13 moved from x:971.0540737517659 y:66.69482105188519 to x:971.0540737517659 y:87.0,1682376976.3893845
manual_moving, fixation 14 moved from x:1037.4343540804673 y:75.93197674077366 to x:1027.9770475540622 y:85.62732062338392,1682376980.9229167
auto_moving, fixation 14 moved from x:1027.9770475540622 y:85.62732062338392 to x:1027.9770475540622 y:87.0,1682376983.1181667
manual_moving, fixation 15 moved from x:1037.4343540804673 y:75.93197674077366 to x:1027.3557526603113 y:86.86991041088544,1682376987.3741481
auto_moving, fixation 15 moved from x:1027.3557526603113 y:86.86991041088544 to x:1027.3557526603113 y:87.0,1682376989.2924812
auto_moving, fixation 16 moved from x:1075.6980560232657 y:77.9249052984625 to x:1075.6980560232657 y:87.0,1682376991.2968173
auto_moving, fixation 17 moved from x:973.8724331628865 y:76.30703063589075 to x:973.8724331628865 y:87.0,1682376993.4022453
auto_moving, fixation 18 moved from x:973.8724331628865 y:76.30703063589075 to x:973.8724331628865 y:87.0,1682376995.2167082
auto_moving, fixation 19 moved from x:940.9419743591717 y:79.27469235940868 to x:940.9419743591717 y:87.0,1682376997.224383
auto_moving, fixation 20 moved from x:709.7532341668854 y:108.15095177265877 to x:709.7532341668854 y:117.0,1682376999.3009212
auto_moving, fixation 21 moved from x:812.9868017329267 y:109.58122044385772 to x:812.9868017329267 y:117.0,1682377003.6532726
auto_moving, fixation 22 moved from x:812.9868017329267 y:109.58122044385772 to x:812.9868017329267 y:117.0,1682377005.4138684
auto_moving, fixation 23 moved from x:895.0253420459907 y:109.96712797499403 to x:895.0253420459907 y:117.0,1682377007.289457
auto_moving, fixation 24 moved from x:942.2075975900816 y:104.63799982385382 to x:942.2075975900816 y:117.0,1682377008.6996672
auto_moving, fixation 25 moved from x:865.6367562667826 y:110.39567977955817 to x:865.6367562667826 y:117.0,1682377010.3378408
auto_moving, fixation 26 moved from x:899.2147335087383 y:115.4124979249873 to x:899.2147335087383 y:117.0,1682377012.87695
auto_moving, fixation 27 moved from x:899.2147335087383 y:115.4124979249873 to x:899.2147335087383 y:117.0,1682377014.81007
auto_moving, fixation 28 moved from x:596.1208641435219 y:138.23309072164193 to x:596.1208641435219 y:153.0,1682377016.9107604
auto_moving, fixation 29 moved from x:678.1307484239776 y:139.00545684657806 to x:678.1307484239776 y:153.0,1682377019.0147336
auto_moving, fixation 30 moved from x:787.6170430649124 y:140.29052792127314 to x:787.6170430649124 y:153.0,1682377021.1008651
auto_moving, fixation 31 moved from x:910.7539687092963 y:143.30872754178765 to x:910.7539687092963 y:153.0,1682377023.1557255
manual_moving, fixation 32 moved from x:865.2446433738348 y:147.2625019982428 to x:872.0320292226173 y:152.10587425471695,1682377029.070404
auto_moving, fixation 32 moved from x:872.0320292226173 y:152.10587425471695 to x:872.0320292226173 y:153.0,1682377031.2513862
