event,event details,timestamp
started,,1682892740.438731
filter,removed fixations greater than 1000,1682892742.749204
filter,removed fixations less than 100,1682892748.035228
selected,algorithm Warp,1682892750.853387
manual_moving, fixation 0 moved from x:1713.8 y:494.7 to x:1291.5033731314088 y:490.1303912655735,1682892764.352923
manual_moving, fixation 1 moved from x:836.9 y:511.4 to x:847.2795739885253 y:491.2112277598384,1682892769.689697
auto_moving, fixation 2 moved from x:656.0 y:507.0 to x:656.0 y:491.0,1682892780.851821
auto_moving, fixation 3 moved from x:621.0 y:512.8 to x:621.0 y:491.0,1682892782.547285
auto_moving, fixation 4 moved from x:819.4 y:527.7 to x:819.4 y:491.0,1682892784.608278
auto_moving, fixation 5 moved from x:700.4 y:521.4 to x:700.4 y:491.0,1682892788.201718
auto_moving, fixation 6 moved from x:656.6 y:511.9 to x:656.6 y:491.0,1682892789.8304949
auto_moving, fixation 7 moved from x:762.8 y:540.7 to x:762.8 y:491.0,1682892791.706817
auto_moving, fixation 8 moved from x:840.4 y:535.4 to x:840.4 y:491.0,1682892803.230046
auto_moving, fixation 9 moved from x:900.5 y:520.2 to x:900.5 y:491.0,1682892805.0366669
auto_moving, fixation 10 moved from x:1083.8 y:522.0 to x:1083.8 y:491.0,1682892806.782876
auto_moving, fixation 11 moved from x:1023.1 y:519.0 to x:1023.1 y:491.0,1682892808.336682
auto_moving, fixation 12 moved from x:1104.0 y:517.4 to x:1104.0 y:491.0,1682892809.839457
auto_moving, fixation 13 moved from x:1185.5 y:511.2 to x:1185.5 y:491.0,1682892812.973266
auto_moving, fixation 14 moved from x:1121.6 y:514.3 to x:1121.6 y:491.0,1682892814.433275
manual_moving, fixation 15 moved from x:570.9 y:581.4 to x:568.423758468175 y:556.0614174157338,1682892821.3181329
manual_moving, fixation 16 moved from x:695.0 y:593.8 to x:691.6391188143762 y:554.9805809214689,1682892830.5961149
manual_moving, fixation 17 moved from x:958.5 y:584.8 to x:955.3632234150175 y:553.8997444272039,1682892838.546732
manual_moving, fixation 18 moved from x:897.1 y:582.1 to x:898.0788892189767 y:556.0614174157338,1682892843.487782
manual_moving, fixation 19 moved from x:909.1 y:578.6 to x:918.6147826100103 y:556.0614174157338,1682892847.9482791
manual_moving, fixation 20 moved from x:1191.1 y:579.6 to x:1185.5813966934463 y:553.8997444272039,1682892854.07113
manual_moving, fixation 21 moved from x:1272.0 y:585.1 to x:1278.5333352002297 y:557.1422539099988,1682892859.429124
manual_moving, fixation 22 moved from x:1355.6 y:580.1 to x:1350.9493803159796 y:556.0614174157338,1682892864.8290188
auto_moving, fixation 23 moved from x:532.8 y:597.4 to x:532.8 y:557.0,1682892871.979464
auto_moving, fixation 24 moved from x:620.8 y:575.5 to x:620.8 y:557.0,1682892873.485207
auto_moving, fixation 25 moved from x:695.0 y:592.2 to x:695.0 y:557.0,1682892874.902625
auto_moving, fixation 26 moved from x:798.1 y:584.1 to x:798.1 y:557.0,1682892876.26511
auto_moving, fixation 27 moved from x:907.2 y:569.2 to x:907.2 y:557.0,1682892877.624309
auto_moving, fixation 28 moved from x:955.3 y:567.8 to x:955.3 y:557.0,1682892879.038722
auto_moving, fixation 29 moved from x:1011.7 y:566.6 to x:1011.7 y:557.0,1682892880.3974981
auto_moving, fixation 30 moved from x:862.9 y:560.3 to x:862.9 y:557.0,1682892881.9793978
auto_moving, fixation 31 moved from x:810.8 y:561.8 to x:810.8 y:557.0,1682892883.584519
auto_moving, fixation 32 moved from x:880.1 y:560.6 to x:880.1 y:557.0,1682892885.0595179
auto_moving, fixation 33 moved from x:921.7 y:567.1 to x:921.7 y:557.0,1682892886.657231
auto_moving, fixation 34 moved from x:967.3 y:569.3 to x:967.3 y:557.0,1682892888.0289521
auto_moving, fixation 35 moved from x:1089.0 y:565.2 to x:1089.0 y:557.0,1682892889.4363542
auto_moving, fixation 36 moved from x:1178.4 y:573.9 to x:1178.4 y:557.0,1682892890.8536918
auto_moving, fixation 37 moved from x:1204.8 y:573.8 to x:1204.8 y:557.0,1682892892.331002
auto_moving, fixation 38 moved from x:1298.9 y:586.1 to x:1298.9 y:557.0,1682892893.8459032
auto_moving, fixation 39 moved from x:1368.8 y:597.4 to x:1368.8 y:557.0,1682892895.3560052
manual_moving, fixation 40 moved from x:1015.7 y:504.7 to x:1012.6475576110586 y:491.2112277598384,1682892899.2571762
manual_moving, fixation 41 moved from x:811.9 y:523.5 to x:801.8844412293984 y:487.96871827704365,1682892904.834269
manual_moving, fixation 42 moved from x:1191.1 y:510.4 to x:1190.9855791647708 y:489.0495547713085,1682892910.049758
Saved,Date 2023-04-30 Trial Name002_chinese_multi_1_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Chinese/MediumFont/multi/002_chinese_multi_1_MediumFont/002_chinese_multi_1.jpg Duration 174.99340796470642,1682892915.432211
Saved,Date 2023-04-30 Trial Name002_chinese_multi_1_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Chinese/MediumFont/multi/002_chinese_multi_1_MediumFont/002_chinese_multi_1.jpg Duration 175.60987186431885,1682892916.048637
