event,event details,timestamp
started,,1682891301.0768461
filter,removed fixations greater than 1000,1682891308.865077
filter,removed fixations less than 100,1682891310.923584
selected,algorithm Warp,1682891313.712655
auto_moving, fixation 0 moved from x:548.4 y:462.6 to x:548.4 y:478.0,1682891327.217083
auto_moving, fixation 1 moved from x:350.0 y:469.5 to x:350.0 y:478.0,1682891328.8260229
auto_moving, fixation 2 moved from x:248.5 y:470.4 to x:248.5 y:478.0,1682891330.30302
auto_moving, fixation 3 moved from x:501.3 y:450.0 to x:501.3 y:478.0,1682891331.93178
auto_moving, fixation 4 moved from x:745.3 y:477.1 to x:745.3 y:478.0,1682891333.335903
auto_moving, fixation 5 moved from x:789.6 y:488.8 to x:789.6 y:478.0,1682891334.699928
auto_moving, fixation 6 moved from x:1056.5 y:473.5 to x:1056.5 y:478.0,1682891336.266855
auto_moving, fixation 7 moved from x:1085.1 y:480.2 to x:1085.1 y:478.0,1682891337.650341
auto_moving, fixation 8 moved from x:1268.2 y:475.7 to x:1268.2 y:478.0,1682891338.9644558
auto_moving, fixation 9 moved from x:1259.0 y:481.7 to x:1259.0 y:478.0,1682891340.301718
auto_moving, fixation 10 moved from x:1330.1 y:472.0 to x:1330.1 y:478.0,1682891341.7637482
auto_moving, fixation 11 moved from x:1422.3 y:465.6 to x:1422.3 y:478.0,1682891343.3145778
manual_moving, fixation 11 moved from x:1422.3 y:478.0 to x:1448.2629471145437 y:479.73728042872335,1682891351.212563
auto_moving, fixation 12 moved from x:1581.5 y:461.9 to x:1581.5 y:478.0,1682891355.359918
auto_moving, fixation 13 moved from x:1525.8 y:467.7 to x:1525.8 y:478.0,1682891356.781367
auto_moving, fixation 14 moved from x:1638.3 y:459.6 to x:1638.3 y:478.0,1682891358.205911
auto_moving, fixation 15 moved from x:1720.4 y:449.8 to x:1720.4 y:478.0,1682891359.7807958
auto_moving, fixation 16 moved from x:1717.8 y:456.2 to x:1717.8 y:478.0,1682891360.686808
manual_moving, fixation 15 moved from x:1720.4 y:478.0 to x:1676.6213121907444 y:478.2919743206462,1682891374.675498
manual_moving, fixation 16 moved from x:1717.8 y:478.0 to x:1678.0666182988216 y:479.73728042872335,1682891382.173582
auto_moving, fixation 17 moved from x:366.5 y:589.9 to x:366.5 y:564.0,1682891386.47201
auto_moving, fixation 18 moved from x:325.9 y:574.3 to x:325.9 y:564.0,1682891387.9326642
auto_moving, fixation 19 moved from x:422.2 y:588.9 to x:422.2 y:564.0,1682891389.2823339
auto_moving, fixation 20 moved from x:510.4 y:579.6 to x:510.4 y:564.0,1682891390.89057
auto_moving, fixation 21 moved from x:609.1 y:544.0 to x:609.1 y:564.0,1682891392.200702
auto_moving, fixation 22 moved from x:694.3 y:562.9 to x:694.3 y:564.0,1682891393.516831
