event,event details,timestamp
started,,1682891463.173357
filter,removed fixations greater than 1000,1682891465.7014668
filter,removed fixations less than 100,1682891470.847611
selected,algorithm Warp,1682891477.820936
auto_moving, fixation 0 moved from x:346.8 y:166.3 to x:346.8 y:134.0,1682891483.8595898
auto_moving, fixation 1 moved from x:308.4 y:134.0 to x:308.4 y:134.0,1682891485.447077
auto_moving, fixation 2 moved from x:309.2 y:157.5 to x:309.2 y:134.0,1682891487.156467
auto_moving, fixation 3 moved from x:537.5 y:150.8 to x:537.5 y:134.0,1682891488.621999
auto_moving, fixation 4 moved from x:531.3 y:129.4 to x:531.3 y:134.0,1682891490.366189
auto_moving, fixation 5 moved from x:443.8 y:140.1 to x:443.8 y:134.0,1682891494.658813
auto_moving, fixation 6 moved from x:702.5 y:136.7 to x:702.5 y:134.0,1682891496.184133
auto_moving, fixation 7 moved from x:895.7 y:163.8 to x:895.7 y:134.0,1682891499.7811682
auto_moving, fixation 8 moved from x:1067.2 y:151.4 to x:1067.2 y:134.0,1682891501.155117
auto_moving, fixation 9 moved from x:919.3 y:146.4 to x:919.3 y:134.0,1682891502.663785
auto_moving, fixation 10 moved from x:1159.7 y:140.0 to x:1159.7 y:134.0,1682891505.947498
manual_moving, fixation 10 moved from x:1159.7 y:134.0 to x:1180.1772142221216 y:136.69685764094356,1682891513.818858
manual_moving, fixation 10 moved from x:1180.1772142221216 y:136.69685764094356 to x:1187.743069681976 y:137.77769413520844,1682891517.74661
manual_moving, fixation 10 moved from x:1187.743069681976 y:137.77769413520844 to x:1185.5813966934463 y:131.29267516961897,1682891526.680244
auto_moving, fixation 11 moved from x:1241.1 y:148.7 to x:1241.1 y:134.0,1682891528.607114
auto_moving, fixation 12 moved from x:1411.7 y:141.7 to x:1411.7 y:134.0,1682891531.0894442
manual_moving, fixation 12 moved from x:1411.7 y:134.0 to x:1441.7396458342332 y:133.45434815814883,1682891542.596766
auto_moving, fixation 13 moved from x:1542.3 y:133.1 to x:1542.3 y:134.0,1682891547.718026
auto_moving, fixation 14 moved from x:1482.3 y:138.3 to x:1482.3 y:134.0,1682891549.49735
