event,event details,timestamp
started,,1682893674.931384
filter,removed fixations greater than 1000,1682893684.131945
filter,removed fixations less than 100,1682893687.463288
selected,algorithm Warp,1682893701.523909
manual_moving, fixation 0 moved from x:652.7 y:421.0 to x:644.5761880495456 y:404.1662933758846,1682893712.438234
auto_moving, fixation 1 moved from x:265.4 y:406.3 to x:265.4 y:404.0,1682893715.958347
auto_moving, fixation 2 moved from x:313.9 y:377.1 to x:313.9 y:404.0,1682893717.31635
auto_moving, fixation 3 moved from x:458.5 y:417.5 to x:458.5 y:404.0,1682893718.5259311
auto_moving, fixation 4 moved from x:599.4 y:405.2 to x:599.4 y:404.0,1682893719.804384
auto_moving, fixation 5 moved from x:644.1 y:410.7 to x:644.1 y:404.0,1682893721.024532
auto_moving, fixation 6 moved from x:813.0 y:412.3 to x:813.0 y:404.0,1682893722.599248
manual_moving, fixation 6 moved from x:813.0 y:404.0 to x:824.3520695962078 y:405.11248222613017,1682893725.825352
auto_moving, fixation 7 moved from x:858.4 y:398.6 to x:858.4 y:404.0,1682893727.9751198
manual_moving, fixation 7 moved from x:858.4 y:404.0 to x:844.2220354513652 y:402.27391567539337,1682893733.195682
auto_moving, fixation 8 moved from x:755.1 y:417.0 to x:755.1 y:404.0,1682893735.7225752
auto_moving, fixation 9 moved from x:862.4 y:409.2 to x:862.4 y:404.0,1682893738.304249
auto_moving, fixation 10 moved from x:951.5 y:417.3 to x:951.5 y:404.0,1682893740.045743
auto_moving, fixation 11 moved from x:956.0 y:425.4 to x:956.0 y:404.0,1682893741.205827
auto_moving, fixation 12 moved from x:1073.4 y:423.7 to x:1073.4 y:404.0,1682893742.42956
auto_moving, fixation 13 moved from x:1030.0 y:416.4 to x:1030.0 y:404.0,1682893743.8972301
auto_moving, fixation 14 moved from x:1176.0 y:408.3 to x:1176.0 y:404.0,1682893745.104107
auto_moving, fixation 15 moved from x:1271.8 y:458.3 to x:1271.8 y:404.0,1682893746.2204359
auto_moving, fixation 16 moved from x:1413.6 y:419.5 to x:1413.6 y:404.0,1682893747.470687
auto_moving, fixation 17 moved from x:1540.4 y:412.3 to x:1540.4 y:404.0,1682893748.870938
auto_moving, fixation 18 moved from x:1656.2 y:402.5 to x:1656.2 y:404.0,1682893752.2359612
auto_moving, fixation 19 moved from x:249.4 y:467.8 to x:249.4 y:454.0,1682893753.4372962
auto_moving, fixation 20 moved from x:200.1 y:470.2 to x:200.1 y:454.0,1682893754.587517
auto_moving, fixation 21 moved from x:295.5 y:464.4 to x:295.5 y:454.0,1682893756.004243
auto_moving, fixation 22 moved from x:411.7 y:482.8 to x:411.7 y:454.0,1682893757.05886
auto_moving, fixation 23 moved from x:352.6 y:491.0 to x:352.6 y:454.0,1682893758.2044532
auto_moving, fixation 24 moved from x:352.3 y:479.6 to x:352.3 y:454.0,1682893759.338401
auto_moving, fixation 25 moved from x:452.9 y:460.7 to x:452.9 y:454.0,1682893760.353674
manual_moving, fixation 25 moved from x:452.9 y:454.0 to x:461.0155511019012 y:453.3681135886552,1682893763.753283
auto_moving, fixation 26 moved from x:521.8 y:453.4 to x:521.8 y:454.0,1682893766.927037
auto_moving, fixation 27 moved from x:728.8 y:456.7 to x:728.8 y:454.0,1682893777.573859
auto_moving, fixation 28 moved from x:663.6 y:462.2 to x:663.6 y:454.0,1682893778.736877
auto_moving, fixation 29 moved from x:829.5 y:443.0 to x:829.5 y:454.0,1682893779.90799
auto_moving, fixation 30 moved from x:963.2 y:466.5 to x:963.2 y:454.0,1682893787.1268961
auto_moving, fixation 31 moved from x:1219.0 y:465.3 to x:1219.0 y:454.0,1682893788.2869172
auto_moving, fixation 32 moved from x:1138.2 y:455.7 to x:1138.2 y:454.0,1682893789.3931892
auto_moving, fixation 33 moved from x:1370.4 y:467.0 to x:1370.4 y:454.0,1682893790.4479969
auto_moving, fixation 34 moved from x:1302.4 y:471.8 to x:1302.4 y:454.0,1682893791.539955
auto_moving, fixation 35 moved from x:1373.2 y:478.6 to x:1373.2 y:454.0,1682893792.597631
auto_moving, fixation 36 moved from x:1527.2 y:470.6 to x:1527.2 y:454.0,1682893793.603679
manual_moving, fixation 36 moved from x:1527.2 y:454.0 to x:1535.8860849808914 y:454.31430243890077,1682893796.672172
auto_moving, fixation 37 moved from x:1637.0 y:458.7 to x:1637.0 y:454.0,1682893798.487542
manual_moving, fixation 38 moved from x:1748.5 y:452.7 to x:1700.522944923624 y:454.31430243890077,1682893803.106955
manual_moving, fixation 39 moved from x:1740.6 y:428.8 to x:1701.4691337738695 y:453.3681135886552,1682893810.606884
manual_moving, fixation 40 moved from x:1757.2 y:442.9 to x:1689.1686787206768 y:453.3681135886552,1682893815.846868
auto_moving, fixation 41 moved from x:331.5 y:518.6 to x:331.5 y:504.0,1682893820.319424
auto_moving, fixation 42 moved from x:320.1 y:502.7 to x:320.1 y:504.0,1682893821.570534
auto_moving, fixation 43 moved from x:569.6 y:522.1 to x:569.6 y:504.0,1682893822.922676
auto_moving, fixation 44 moved from x:499.8 y:515.0 to x:499.8 y:504.0,1682893823.985773
auto_moving, fixation 45 moved from x:914.8 y:514.4 to x:914.8 y:504.0,1682893825.073278
auto_moving, fixation 46 moved from x:1107.3 y:515.4 to x:1107.3 y:504.0,1682893826.076421
auto_moving, fixation 47 moved from x:1339.0 y:524.7 to x:1339.0 y:504.0,1682893827.146682
auto_moving, fixation 48 moved from x:1273.3 y:519.4 to x:1273.3 y:504.0,1682893828.226927
auto_moving, fixation 49 moved from x:1424.3 y:523.7 to x:1424.3 y:504.0,1682893829.269055
auto_moving, fixation 50 moved from x:1639.3 y:512.4 to x:1639.3 y:504.0,1682893830.2540202
