event,event details,timestamp
started,,1682899685.529572
filter,removed fixations greater than 1000,1682899687.878759
filter,removed fixations less than 100,1682899689.337748
selected,algorithm Stretch,1682899691.905292
auto_moving, fixation 0 moved from x:872.3 y:549.3 to x:872.3 y:529.0,1682899718.790832
auto_moving, fixation 1 moved from x:831.1 y:552.8 to x:831.1 y:529.0,1682899720.6487098
auto_moving, fixation 2 moved from x:877.2 y:548.7 to x:877.2 y:529.0,1682899722.1217742
auto_moving, fixation 3 moved from x:849.8 y:547.9 to x:849.8 y:529.0,1682899723.629481
auto_moving, fixation 4 moved from x:814.3 y:538.7 to x:814.3 y:529.0,1682899725.1771781
manual_moving, fixation 4 moved from x:814.3 y:529.0 to x:824.5820076089619 y:529.0405050591107,1682899729.4656498
auto_moving, fixation 5 moved from x:887.7 y:533.6 to x:887.7 y:529.0,1682899731.529548
auto_moving, fixation 6 moved from x:928.4 y:531.1 to x:928.4 y:529.0,1682899732.965476
auto_moving, fixation 7 moved from x:994.7 y:524.9 to x:994.7 y:529.0,1682899734.3213701
auto_moving, fixation 8 moved from x:994.8 y:521.4 to x:994.8 y:529.0,1682899735.770924
auto_moving, fixation 9 moved from x:1056.8 y:510.9 to x:1056.8 y:529.0,1682899737.150023
manual_moving, fixation 10 moved from x:960.8 y:519.6 to x:969.4140978404616 y:530.1213415533757,1682899742.621141
Saved,Date 2023-04-30 Trial Name002_chinese_single_1_SmallFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Chinese/SmallFont/single/002_chinese_single_1_SmallFont/002_chinese_single_1.jpg Duration 66.59423112869263,1682899752.123882
