event,event details,timestamp
started,,1682892625.001581
filter,removed fixations greater than 1000,1682892627.832234
filter,removed fixations less than 100,1682892629.694453
selected,algorithm Warp,1682892632.7931688
manual_moving, fixation 0 moved from x:891.6 y:524.3 to x:881.8663418050028 y:522.5554860935212,1682892643.790219
manual_moving, fixation 1 moved from x:809.8 y:510.0 to x:817.0161521491073 y:519.3129766107264,1682892649.467807
auto_moving, fixation 2 moved from x:694.2 y:519.0 to x:694.2 y:521.0,1682892654.033473
auto_moving, fixation 3 moved from x:795.0 y:531.5 to x:795.0 y:521.0,1682892655.665069
auto_moving, fixation 4 moved from x:877.9 y:528.4 to x:877.9 y:521.0,1682892657.2846751
auto_moving, fixation 5 moved from x:917.6 y:530.2 to x:917.6 y:521.0,1682892658.7756019
auto_moving, fixation 6 moved from x:977.1 y:512.5 to x:977.1 y:521.0,1682892660.202553
auto_moving, fixation 7 moved from x:980.3 y:507.2 to x:980.3 y:521.0,1682892661.697823
manual_moving, fixation 8 moved from x:1027.7 y:514.1 to x:1009.4050481282636 y:521.4746495992563,1682892666.947883
auto_moving, fixation 9 moved from x:1159.0 y:518.3 to x:1159.0 y:521.0,1682892671.533309
auto_moving, fixation 10 moved from x:1141.2 y:510.5 to x:1141.2 y:521.0,1682892672.964919
auto_moving, fixation 11 moved from x:1146.5 y:529.6 to x:1146.5 y:521.0,1682892674.3716
auto_moving, fixation 12 moved from x:1205.1 y:528.8 to x:1205.1 y:521.0,1682892675.815104
auto_moving, fixation 13 moved from x:1244.5 y:526.4 to x:1244.5 y:521.0,1682892677.392159
manual_moving, fixation 13 moved from x:1244.5 y:521.0 to x:1236.3807119238977 y:520.3938131049913,1682892680.45094
auto_moving, fixation 14 moved from x:827.4 y:522.2 to x:827.4 y:521.0,1682892682.232128
auto_moving, fixation 15 moved from x:971.3 y:547.7 to x:971.3 y:521.0,1682892684.306258
Saved,Date 2023-04-30 Trial Name002_chinese_single_4_LargeFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Chinese/LargeFont/single/002_chinese_single_4_LargeFont/002_chinese_single_4.jpg Duration 61.78282189369202,1682892686.784451
