event,event details,timestamp
started,,1682902806.3003461
filter,removed fixations greater than 1000,1682902808.781474
filter,removed fixations less than 100,1682902810.6456058
selected,algorithm Warp,1682902813.281079
auto_moving, fixation 0 moved from x:347.1 y:534.3 to x:347.1 y:531.0,1682902817.527254
auto_moving, fixation 1 moved from x:265.5 y:528.5 to x:265.5 y:531.0,1682902819.334219
auto_moving, fixation 2 moved from x:343.0 y:534.7 to x:343.0 y:531.0,1682902820.796588
auto_moving, fixation 3 moved from x:420.0 y:545.7 to x:420.0 y:531.0,1682902822.180009
auto_moving, fixation 4 moved from x:568.0 y:539.1 to x:568.0 y:531.0,1682902823.5755389
auto_moving, fixation 5 moved from x:661.8 y:534.4 to x:661.8 y:531.0,1682902824.976732
auto_moving, fixation 6 moved from x:616.2 y:533.8 to x:616.2 y:531.0,1682902826.790205
auto_moving, fixation 7 moved from x:701.9 y:528.5 to x:701.9 y:531.0,1682902831.06266
auto_moving, fixation 8 moved from x:702.6 y:538.6 to x:702.6 y:531.0,1682902832.5754619
auto_moving, fixation 9 moved from x:840.1 y:543.4 to x:840.1 y:531.0,1682902840.173588
auto_moving, fixation 10 moved from x:916.3 y:546.6 to x:916.3 y:531.0,1682902841.7924402
auto_moving, fixation 11 moved from x:891.5 y:550.0 to x:891.5 y:531.0,1682902843.6818402
auto_moving, fixation 12 moved from x:980.8 y:540.2 to x:980.8 y:531.0,1682902845.136022
auto_moving, fixation 13 moved from x:1100.0 y:538.7 to x:1100.0 y:531.0,1682902846.6607711
auto_moving, fixation 14 moved from x:1166.1 y:536.4 to x:1166.1 y:531.0,1682902848.0517912
auto_moving, fixation 15 moved from x:1297.7 y:542.7 to x:1297.7 y:531.0,1682902849.79689
auto_moving, fixation 16 moved from x:1392.0 y:540.4 to x:1392.0 y:531.0,1682902851.5486531
auto_moving, fixation 17 moved from x:1486.7 y:546.0 to x:1486.7 y:531.0,1682902853.413097
auto_moving, fixation 18 moved from x:1615.1 y:548.3 to x:1615.1 y:531.0,1682902854.948556
Saved,Date 2023-04-30 Trial Name001_english_multi_2_SmallFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/English/SmallFont/multi/001_english_multi_2_SmallFont/001_english_multi_2.jpg Duration 51.6177499294281,1682902857.918154
