event,event details,timestamp
started,,1682902366.157896
filter,removed fixations greater than 1000,1682902369.4995651
filter,removed fixations less than 100,1682902372.41887
selected,algorithm Warp,1682902376.866713
auto_moving, fixation 0 moved from x:261.0 y:288.9 to x:261.0 y:296.0,1682902410.641022
auto_moving, fixation 1 moved from x:225.1 y:302.6 to x:225.1 y:296.0,1682902412.112433
auto_moving, fixation 2 moved from x:300.9 y:300.0 to x:300.9 y:296.0,1682902413.4851992
auto_moving, fixation 3 moved from x:398.2 y:305.1 to x:398.2 y:296.0,1682902415.0822558
auto_moving, fixation 4 moved from x:545.3 y:301.7 to x:545.3 y:296.0,1682902416.5799239
auto_moving, fixation 5 moved from x:612.5 y:305.7 to x:612.5 y:296.0,1682902418.1609979
auto_moving, fixation 6 moved from x:699.0 y:293.4 to x:699.0 y:296.0,1682902419.581606
auto_moving, fixation 7 moved from x:769.8 y:289.2 to x:769.8 y:296.0,1682902420.99683
auto_moving, fixation 8 moved from x:888.9 y:300.8 to x:888.9 y:296.0,1682902422.495786
auto_moving, fixation 9 moved from x:1085.7 y:292.0 to x:1085.7 y:296.0,1682902423.980351
auto_moving, fixation 10 moved from x:1032.6 y:289.0 to x:1032.6 y:296.0,1682902425.4537432
auto_moving, fixation 11 moved from x:1124.6 y:291.4 to x:1124.6 y:296.0,1682902428.062901
auto_moving, fixation 12 moved from x:1190.0 y:294.0 to x:1190.0 y:296.0,1682902429.7001128
auto_moving, fixation 13 moved from x:1292.6 y:291.4 to x:1292.6 y:296.0,1682902431.2692611
auto_moving, fixation 14 moved from x:1407.5 y:293.0 to x:1407.5 y:296.0,1682902433.766552
auto_moving, fixation 15 moved from x:1512.2 y:304.2 to x:1512.2 y:296.0,1682902435.227366
auto_moving, fixation 16 moved from x:1605.8 y:318.4 to x:1605.8 y:296.0,1682902436.6298811
auto_moving, fixation 17 moved from x:1693.6 y:327.3 to x:1693.6 y:296.0,1682902438.3280032
auto_moving, fixation 18 moved from x:221.6 y:375.1 to x:221.6 y:362.0,1682902439.9619699
auto_moving, fixation 19 moved from x:322.6 y:380.4 to x:322.6 y:362.0,1682902441.395371
auto_moving, fixation 20 moved from x:387.6 y:381.0 to x:387.6 y:362.0,1682902442.778189
auto_moving, fixation 21 moved from x:531.4 y:378.6 to x:531.4 y:362.0,1682902444.207229
auto_moving, fixation 22 moved from x:500.4 y:378.5 to x:500.4 y:362.0,1682902445.8444428
auto_moving, fixation 23 moved from x:584.8 y:367.1 to x:584.8 y:362.0,1682902447.312431
auto_moving, fixation 24 moved from x:736.0 y:360.6 to x:736.0 y:362.0,1682902448.978348
auto_moving, fixation 25 moved from x:790.3 y:364.4 to x:790.3 y:362.0,1682902450.513963
auto_moving, fixation 26 moved from x:742.2 y:359.1 to x:742.2 y:362.0,1682902451.941893
auto_moving, fixation 27 moved from x:791.1 y:360.6 to x:791.1 y:362.0,1682902453.463947
auto_moving, fixation 28 moved from x:865.0 y:368.2 to x:865.0 y:362.0,1682902455.655082
auto_moving, fixation 29 moved from x:834.7 y:373.5 to x:834.7 y:362.0,1682902457.1683252
auto_moving, fixation 30 moved from x:1010.8 y:375.2 to x:1010.8 y:362.0,1682902459.991096
auto_moving, fixation 31 moved from x:976.9 y:377.9 to x:976.9 y:362.0,1682902461.886636
auto_moving, fixation 32 moved from x:1199.6 y:363.4 to x:1199.6 y:362.0,1682902463.560777
auto_moving, fixation 33 moved from x:1360.1 y:373.3 to x:1360.1 y:362.0,1682902464.8780968
auto_moving, fixation 34 moved from x:1405.5 y:377.6 to x:1405.5 y:362.0,1682902466.404994
auto_moving, fixation 35 moved from x:1502.4 y:372.5 to x:1502.4 y:362.0,1682902467.8656929
auto_moving, fixation 36 moved from x:1506.0 y:373.2 to x:1506.0 y:362.0,1682902470.9948301
auto_moving, fixation 37 moved from x:1658.5 y:384.1 to x:1658.5 y:362.0,1682902473.0787761
auto_moving, fixation 38 moved from x:1728.0 y:391.9 to x:1728.0 y:362.0,1682902474.601269
auto_moving, fixation 39 moved from x:1684.3 y:389.0 to x:1684.3 y:362.0,1682902476.5444422
auto_moving, fixation 40 moved from x:218.7 y:438.3 to x:218.7 y:428.0,1682902478.169652
auto_moving, fixation 41 moved from x:262.8 y:444.6 to x:262.8 y:428.0,1682902479.5008729
