event,event details,timestamp
started,,1682901051.721777
filter,removed fixations greater than 1000,1682901054.8263948
filter,removed fixations less than 100,1682901056.107575
selected,algorithm Warp,1682901058.948693
auto_moving, fixation 0 moved from x:336.2 y:114.3 to x:336.2 y:137.0,1682901063.209789
auto_moving, fixation 1 moved from x:436.9 y:121.5 to x:436.9 y:137.0,1682901064.8153
auto_moving, fixation 2 moved from x:542.3 y:124.9 to x:542.3 y:137.0,1682901066.192794
auto_moving, fixation 3 moved from x:661.4 y:118.7 to x:661.4 y:137.0,1682901067.543819
auto_moving, fixation 4 moved from x:851.4 y:123.0 to x:851.4 y:137.0,1682901068.8098009
auto_moving, fixation 5 moved from x:982.8 y:131.3 to x:982.8 y:137.0,1682901070.150058
auto_moving, fixation 6 moved from x:1036.7 y:134.0 to x:1036.7 y:137.0,1682901071.582069
auto_moving, fixation 7 moved from x:1153.2 y:132.8 to x:1153.2 y:137.0,1682901072.971037
auto_moving, fixation 8 moved from x:1222.5 y:129.7 to x:1222.5 y:137.0,1682901074.28383
auto_moving, fixation 9 moved from x:1374.2 y:125.1 to x:1374.2 y:137.0,1682901075.625442
auto_moving, fixation 10 moved from x:1354.6 y:132.6 to x:1354.6 y:137.0,1682901077.028815
auto_moving, fixation 11 moved from x:1208.4 y:130.8 to x:1208.4 y:137.0,1682901078.409298
auto_moving, fixation 12 moved from x:1370.0 y:130.5 to x:1370.0 y:137.0,1682901079.8506088
auto_moving, fixation 13 moved from x:1497.0 y:140.5 to x:1497.0 y:137.0,1682901082.648309
auto_moving, fixation 14 moved from x:1505.4 y:148.9 to x:1505.4 y:137.0,1682901084.1818051
manual_moving, fixation 14 moved from x:1505.4 y:137.0 to x:1519.5598734213077 y:137.77769413520844,1682901088.1115541
manual_moving, fixation 15 moved from x:1607.1 y:160.8 to x:1620.0776673879454 y:134.5351846524137,1682901091.4024599
auto_moving, fixation 16 moved from x:1688.3 y:154.8 to x:1688.3 y:137.0,1682901096.425469
auto_moving, fixation 17 moved from x:1455.4 y:145.8 to x:1455.4 y:137.0,1682901098.5133262
auto_moving, fixation 18 moved from x:1516.3 y:152.5 to x:1516.3 y:137.0,1682901100.130008
auto_moving, fixation 19 moved from x:1117.3 y:142.8 to x:1117.3 y:137.0,1682901101.897291
auto_moving, fixation 20 moved from x:1018.9 y:144.8 to x:1018.9 y:137.0,1682901103.4919722
auto_moving, fixation 21 moved from x:1123.6 y:141.5 to x:1123.6 y:137.0,1682901105.06986
auto_moving, fixation 22 moved from x:1651.3 y:143.3 to x:1651.3 y:137.0,1682901106.648105
auto_moving, fixation 23 moved from x:1699.8 y:168.0 to x:1699.8 y:137.0,1682901108.175265
auto_moving, fixation 24 moved from x:277.6 y:229.7 to x:277.6 y:223.0,1682901109.9308212
auto_moving, fixation 25 moved from x:397.9 y:229.2 to x:397.9 y:223.0,1682901120.6629272
auto_moving, fixation 26 moved from x:368.8 y:227.8 to x:368.8 y:223.0,1682901122.391191
