event,event details,timestamp
started,,1682902142.270997
filter,removed fixations greater than 1000,1682902143.894329
filter,removed fixations less than 100,1682902144.663761
selected,algorithm Warp,1682902146.736862
auto_moving, fixation 0 moved from x:685.4 y:501.3 to x:685.4 y:524.0,1682902152.448182
auto_moving, fixation 1 moved from x:802.4 y:523.9 to x:802.4 y:524.0,1682902154.355863
auto_moving, fixation 2 moved from x:858.0 y:538.5 to x:858.0 y:524.0,1682902164.7005088
auto_moving, fixation 3 moved from x:1055.6 y:535.7 to x:1055.6 y:524.0,1682902166.650422
auto_moving, fixation 4 moved from x:1194.8 y:526.0 to x:1194.8 y:524.0,1682902172.115874
manual_moving, fixation 5 moved from x:667.2 y:518.3 to x:657.0523509978987 y:525.797995576316,1682902180.098731
auto_moving, fixation 6 moved from x:761.9 y:519.3 to x:761.9 y:524.0,1682902187.937391
manual_moving, fixation 7 moved from x:877.8 y:537.8 to x:891.5938702533872 y:523.6363225877861,1682902193.5843031
auto_moving, fixation 8 moved from x:1076.7 y:540.1 to x:1076.7 y:524.0,1682902198.092569
Saved,Date 2023-04-30 Trial Name001_english_single_1_LargeFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/English/LargeFont/single/001_english_single_1_LargeFont/001_english_single_1.jpg Duration 59.67146396636963,1682902201.942542
