event,event details,timestamp
started,,1682904013.481185
filter,removed fixations greater than 1000,1682904015.6424892
filter,removed fixations less than 100,1682904017.0777652
selected,algorithm Stretch,1682904019.1494222
selected,algorithm Warp,1682904020.964589
auto_moving, fixation 0 moved from x:748.5 y:519.7 to x:748.5 y:531.0,1682904024.060798
auto_moving, fixation 1 moved from x:714.0 y:517.8 to x:714.0 y:531.0,1682904025.398298
auto_moving, fixation 2 moved from x:800.2 y:525.3 to x:800.2 y:531.0,1682904026.738286
auto_moving, fixation 3 moved from x:858.8 y:529.2 to x:858.8 y:531.0,1682904028.563583
auto_moving, fixation 4 moved from x:834.2 y:532.4 to x:834.2 y:531.0,1682904030.083928
auto_moving, fixation 5 moved from x:948.0 y:531.9 to x:948.0 y:531.0,1682904031.503687
auto_moving, fixation 6 moved from x:1019.6 y:544.1 to x:1019.6 y:531.0,1682904032.988493
auto_moving, fixation 7 moved from x:1083.0 y:550.2 to x:1083.0 y:531.0,1682904034.3351748
auto_moving, fixation 8 moved from x:1164.6 y:556.5 to x:1164.6 y:531.0,1682904035.666634
Saved,Date 2023-04-30 Trial Name001_english_single_6_SmallFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/English/SmallFont/single/001_english_single_6_SmallFont/001_english_single_6.jpg Duration 24.628695964813232,1682904038.109917
