event,event details,timestamp
started,,1682903517.0973089
filter,removed fixations less than 100,1682903519.48625
filter,removed fixations greater than 1000,1682903521.864071
selected,algorithm Warp,1682903525.4370492
auto_moving, fixation 0 moved from x:289.3 y:410.5 to x:289.3 y:406.0,1682903537.2842188
auto_moving, fixation 1 moved from x:231.0 y:410.6 to x:231.0 y:406.0,1682903538.6076312
auto_moving, fixation 2 moved from x:194.9 y:410.2 to x:194.9 y:406.0,1682903539.855448
auto_moving, fixation 3 moved from x:228.0 y:404.1 to x:228.0 y:406.0,1682903541.0408692
auto_moving, fixation 4 moved from x:226.8 y:415.7 to x:226.8 y:406.0,1682903542.219383
auto_moving, fixation 5 moved from x:281.6 y:407.2 to x:281.6 y:406.0,1682903543.335207
auto_moving, fixation 6 moved from x:335.7 y:388.4 to x:335.7 y:406.0,1682903544.379415
auto_moving, fixation 7 moved from x:331.0 y:395.2 to x:331.0 y:406.0,1682903545.461644
auto_moving, fixation 8 moved from x:358.8 y:376.6 to x:358.8 y:406.0,1682903546.488645
auto_moving, fixation 9 moved from x:429.4 y:381.3 to x:429.4 y:406.0,1682903547.620669
auto_moving, fixation 10 moved from x:455.0 y:391.7 to x:455.0 y:406.0,1682903548.698188
auto_moving, fixation 11 moved from x:528.2 y:395.5 to x:528.2 y:406.0,1682903549.715193
auto_moving, fixation 12 moved from x:518.6 y:399.8 to x:518.6 y:406.0,1682903550.8414788
auto_moving, fixation 13 moved from x:533.3 y:380.0 to x:533.3 y:406.0,1682903551.962564
auto_moving, fixation 14 moved from x:611.5 y:389.6 to x:611.5 y:406.0,1682903552.974798
auto_moving, fixation 15 moved from x:697.4 y:396.5 to x:697.4 y:406.0,1682903554.03706
auto_moving, fixation 16 moved from x:643.0 y:406.6 to x:643.0 y:406.0,1682903555.787361
auto_moving, fixation 17 moved from x:610.8 y:407.6 to x:610.8 y:406.0,1682903556.928684
auto_moving, fixation 18 moved from x:677.3 y:412.3 to x:677.3 y:406.0,1682903558.071797
auto_moving, fixation 19 moved from x:708.1 y:413.1 to x:708.1 y:406.0,1682903559.178345
manual_moving, fixation 20 moved from x:706.4 y:422.3 to x:719.3077871431693 y:405.4568110025357,1682903565.323416
auto_moving, fixation 21 moved from x:740.8 y:413.4 to x:740.8 y:406.0,1682903568.617419
auto_moving, fixation 22 moved from x:808.6 y:413.6 to x:808.6 y:406.0,1682903569.739576
auto_moving, fixation 23 moved from x:887.7 y:422.7 to x:887.7 y:406.0,1682903570.846739
auto_moving, fixation 24 moved from x:938.2 y:419.9 to x:938.2 y:406.0,1682903571.9033751
auto_moving, fixation 25 moved from x:933.7 y:427.1 to x:933.7 y:406.0,1682903573.090131
auto_moving, fixation 26 moved from x:929.1 y:424.6 to x:929.1 y:406.0,1682903574.206281
auto_moving, fixation 27 moved from x:786.8 y:426.0 to x:786.8 y:406.0,1682903575.2455559
auto_moving, fixation 28 moved from x:712.6 y:428.6 to x:712.6 y:406.0,1682903576.412668
auto_moving, fixation 29 moved from x:692.6 y:426.6 to x:692.6 y:406.0,1682903577.532521
auto_moving, fixation 30 moved from x:1067.9 y:440.3 to x:1067.9 y:406.0,1682903578.623602
auto_moving, fixation 31 moved from x:1009.2 y:433.9 to x:1009.2 y:406.0,1682903579.678946
auto_moving, fixation 32 moved from x:1077.9 y:434.8 to x:1077.9 y:406.0,1682903580.729569
auto_moving, fixation 33 moved from x:1060.1 y:431.3 to x:1060.1 y:406.0,1682903581.820317
auto_moving, fixation 34 moved from x:1127.4 y:431.1 to x:1127.4 y:406.0,1682903582.830967
auto_moving, fixation 35 moved from x:1160.7 y:428.1 to x:1160.7 y:406.0,1682903583.850063
auto_moving, fixation 36 moved from x:1205.2 y:437.1 to x:1205.2 y:406.0,1682903584.862182
auto_moving, fixation 37 moved from x:1252.0 y:435.3 to x:1252.0 y:406.0,1682903585.882058
auto_moving, fixation 38 moved from x:1308.6 y:426.4 to x:1308.6 y:406.0,1682903586.894828
auto_moving, fixation 39 moved from x:1365.9 y:420.9 to x:1365.9 y:406.0,1682903587.891144
auto_moving, fixation 40 moved from x:1236.3 y:417.8 to x:1236.3 y:406.0,1682903588.912489
auto_moving, fixation 41 moved from x:1256.0 y:425.0 to x:1256.0 y:406.0,1682903589.9899662
auto_moving, fixation 42 moved from x:1366.5 y:432.1 to x:1366.5 y:406.0,1682903591.021729
auto_moving, fixation 43 moved from x:1313.7 y:425.6 to x:1313.7 y:406.0,1682903592.1286788
auto_moving, fixation 44 moved from x:1363.5 y:428.5 to x:1363.5 y:406.0,1682903593.228226
auto_moving, fixation 45 moved from x:1396.3 y:429.0 to x:1396.3 y:406.0,1682903594.351894
auto_moving, fixation 46 moved from x:1432.4 y:434.0 to x:1432.4 y:406.0,1682903595.445121
manual_moving, fixation 46 moved from x:1432.4 y:406.0 to x:1442.7714276561671 y:404.4247658662832,1682903600.927528
manual_moving, fixation 47 moved from x:1430.0 y:438.4 to x:1423.1625700673699 y:404.4247658662832,1682903605.998923
auto_moving, fixation 48 moved from x:1469.9 y:433.3 to x:1469.9 y:406.0,1682903609.978155
auto_moving, fixation 49 moved from x:1439.8 y:435.4 to x:1439.8 y:406.0,1682903612.26146
auto_moving, fixation 50 moved from x:1214.5 y:424.0 to x:1214.5 y:406.0,1682903613.500499
auto_moving, fixation 51 moved from x:1263.0 y:425.3 to x:1263.0 y:406.0,1682903614.678539
auto_moving, fixation 52 moved from x:1304.0 y:425.7 to x:1304.0 y:406.0,1682903615.7168682
auto_moving, fixation 53 moved from x:1565.0 y:425.9 to x:1565.0 y:406.0,1682903616.8622699
auto_moving, fixation 54 moved from x:1606.2 y:418.9 to x:1606.2 y:406.0,1682903617.8950012
auto_moving, fixation 55 moved from x:1545.6 y:428.4 to x:1545.6 y:406.0,1682903618.964324
auto_moving, fixation 56 moved from x:1592.8 y:428.9 to x:1592.8 y:406.0,1682903620.043775
auto_moving, fixation 57 moved from x:1651.7 y:420.6 to x:1651.7 y:406.0,1682903621.065732
auto_moving, fixation 58 moved from x:1719.0 y:414.3 to x:1719.0 y:406.0,1682903622.09747
auto_moving, fixation 59 moved from x:1718.2 y:417.7 to x:1718.2 y:406.0,1682903623.263196
auto_moving, fixation 60 moved from x:275.8 y:480.2 to x:275.8 y:456.0,1682903624.364671
auto_moving, fixation 61 moved from x:210.4 y:468.3 to x:210.4 y:456.0,1682903625.412488
auto_moving, fixation 62 moved from x:260.3 y:449.3 to x:260.3 y:456.0,1682903626.562071
auto_moving, fixation 63 moved from x:313.7 y:447.3 to x:313.7 y:456.0,1682903627.712238
auto_moving, fixation 64 moved from x:384.1 y:453.1 to x:384.1 y:456.0,1682903628.853415
auto_moving, fixation 65 moved from x:383.9 y:463.0 to x:383.9 y:456.0,1682903630.0163531
auto_moving, fixation 66 moved from x:431.3 y:454.0 to x:431.3 y:456.0,1682903631.0825331
auto_moving, fixation 67 moved from x:474.2 y:449.2 to x:474.2 y:456.0,1682903632.4183931
auto_moving, fixation 68 moved from x:434.6 y:459.9 to x:434.6 y:456.0,1682903633.6143491
auto_moving, fixation 69 moved from x:431.7 y:472.6 to x:431.7 y:456.0,1682903634.907637
auto_moving, fixation 70 moved from x:456.9 y:457.4 to x:456.9 y:456.0,1682903635.984697
auto_moving, fixation 71 moved from x:523.5 y:460.8 to x:523.5 y:456.0,1682903637.389974
auto_moving, fixation 72 moved from x:628.8 y:468.5 to x:628.8 y:456.0,1682903638.497577
auto_moving, fixation 73 moved from x:609.3 y:472.7 to x:609.3 y:456.0,1682903639.514795
auto_moving, fixation 74 moved from x:605.5 y:481.4 to x:605.5 y:456.0,1682903640.845862
auto_moving, fixation 75 moved from x:650.9 y:463.1 to x:650.9 y:456.0,1682903641.9342852
auto_moving, fixation 76 moved from x:445.5 y:463.7 to x:445.5 y:456.0,1682903643.2972171
auto_moving, fixation 77 moved from x:421.7 y:468.8 to x:421.7 y:456.0,1682903644.3875
auto_moving, fixation 78 moved from x:482.5 y:464.3 to x:482.5 y:456.0,1682903645.529237
auto_moving, fixation 79 moved from x:533.5 y:463.5 to x:533.5 y:456.0,1682903646.624765
auto_moving, fixation 80 moved from x:805.8 y:478.8 to x:805.8 y:456.0,1682903647.6662982
auto_moving, fixation 81 moved from x:754.4 y:462.2 to x:754.4 y:456.0,1682903648.746285
auto_moving, fixation 82 moved from x:820.6 y:464.6 to x:820.6 y:456.0,1682903649.8548539
auto_moving, fixation 83 moved from x:903.5 y:473.6 to x:903.5 y:456.0,1682903650.964639
auto_moving, fixation 84 moved from x:961.0 y:465.8 to x:961.0 y:456.0,1682903652.062072
auto_moving, fixation 85 moved from x:1029.4 y:464.8 to x:1029.4 y:456.0,1682903653.082935
auto_moving, fixation 86 moved from x:1081.3 y:464.5 to x:1081.3 y:456.0,1682903654.0827289
auto_moving, fixation 87 moved from x:1076.8 y:465.2 to x:1076.8 y:456.0,1682903655.166247
auto_moving, fixation 88 moved from x:995.6 y:462.5 to x:995.6 y:456.0,1682903656.1813161
auto_moving, fixation 89 moved from x:1131.5 y:460.9 to x:1131.5 y:456.0,1682903657.2278268
auto_moving, fixation 90 moved from x:1060.5 y:457.7 to x:1060.5 y:456.0,1682903658.256675
auto_moving, fixation 91 moved from x:1026.1 y:460.2 to x:1026.1 y:456.0,1682903659.349142
auto_moving, fixation 92 moved from x:1084.9 y:459.8 to x:1084.9 y:456.0,1682903660.368308
auto_moving, fixation 93 moved from x:1109.7 y:460.8 to x:1109.7 y:456.0,1682903661.4291441
auto_moving, fixation 94 moved from x:1076.7 y:459.6 to x:1076.7 y:456.0,1682903662.4809558
auto_moving, fixation 95 moved from x:1075.5 y:451.6 to x:1075.5 y:456.0,1682903663.594676
auto_moving, fixation 96 moved from x:1153.6 y:462.4 to x:1153.6 y:456.0,1682903664.595619
auto_moving, fixation 97 moved from x:1118.3 y:457.1 to x:1118.3 y:456.0,1682903665.652574
auto_moving, fixation 98 moved from x:1171.1 y:465.1 to x:1171.1 y:456.0,1682903666.6959171
auto_moving, fixation 99 moved from x:1167.6 y:458.4 to x:1167.6 y:456.0,1682903667.9143271
auto_moving, fixation 100 moved from x:1216.5 y:471.3 to x:1216.5 y:456.0,1682903668.915044
auto_moving, fixation 101 moved from x:1261.7 y:467.3 to x:1261.7 y:456.0,1682903669.95054
auto_moving, fixation 102 moved from x:1322.3 y:471.2 to x:1322.3 y:456.0,1682903670.979444
auto_moving, fixation 103 moved from x:1089.0 y:479.0 to x:1089.0 y:456.0,1682903672.014624
auto_moving, fixation 104 moved from x:1464.4 y:476.3 to x:1464.4 y:456.0,1682903673.104852
auto_moving, fixation 105 moved from x:1399.2 y:475.9 to x:1399.2 y:456.0,1682903674.121482
auto_moving, fixation 106 moved from x:1422.6 y:478.8 to x:1422.6 y:456.0,1682903675.1480691
auto_moving, fixation 107 moved from x:1474.9 y:481.2 to x:1474.9 y:456.0,1682903676.180106
auto_moving, fixation 108 moved from x:1522.0 y:480.5 to x:1522.0 y:456.0,1682903677.194885
auto_moving, fixation 109 moved from x:1520.6 y:477.4 to x:1520.6 y:456.0,1682903678.1460102
auto_moving, fixation 110 moved from x:1558.1 y:465.3 to x:1558.1 y:456.0,1682903679.1531892
auto_moving, fixation 111 moved from x:1597.4 y:484.1 to x:1597.4 y:456.0,1682903680.080999
auto_moving, fixation 112 moved from x:1679.2 y:471.7 to x:1679.2 y:456.0,1682903681.061711
auto_moving, fixation 113 moved from x:1716.3 y:466.0 to x:1716.3 y:456.0,1682903682.080171
auto_moving, fixation 114 moved from x:1674.0 y:471.8 to x:1674.0 y:456.0,1682903683.1117702
auto_moving, fixation 115 moved from x:1726.0 y:468.2 to x:1726.0 y:456.0,1682903684.1852958
auto_moving, fixation 116 moved from x:1160.2 y:490.1 to x:1160.2 y:456.0,1682903685.184709
auto_moving, fixation 117 moved from x:1207.0 y:480.9 to x:1207.0 y:456.0,1682903686.732003
auto_moving, fixation 118 moved from x:1279.1 y:488.7 to x:1279.1 y:456.0,1682903687.745939
auto_moving, fixation 119 moved from x:1339.8 y:488.1 to x:1339.8 y:456.0,1682903688.783148
auto_moving, fixation 120 moved from x:1341.4 y:487.3 to x:1341.4 y:456.0,1682903689.857676
auto_moving, fixation 121 moved from x:1692.2 y:483.6 to x:1692.2 y:456.0,1682903690.863999
auto_moving, fixation 122 moved from x:335.4 y:522.4 to x:335.4 y:506.0,1682903692.053219
auto_moving, fixation 123 moved from x:220.8 y:544.5 to x:220.8 y:506.0,1682903693.039358
auto_moving, fixation 124 moved from x:203.0 y:540.9 to x:203.0 y:506.0,1682903694.061731
auto_moving, fixation 125 moved from x:255.1 y:536.0 to x:255.1 y:506.0,1682903695.077825
auto_moving, fixation 126 moved from x:302.7 y:525.5 to x:302.7 y:506.0,1682903696.140448
auto_moving, fixation 127 moved from x:365.2 y:514.7 to x:365.2 y:506.0,1682903697.1525419
auto_moving, fixation 128 moved from x:429.3 y:507.6 to x:429.3 y:506.0,1682903698.182401
auto_moving, fixation 129 moved from x:428.0 y:520.5 to x:428.0 y:506.0,1682903699.2286348
auto_moving, fixation 130 moved from x:436.0 y:507.9 to x:436.0 y:506.0,1682903700.257518
auto_moving, fixation 131 moved from x:477.8 y:515.9 to x:477.8 y:506.0,1682903701.289332
auto_moving, fixation 132 moved from x:590.5 y:516.0 to x:590.5 y:506.0,1682903702.3060029
auto_moving, fixation 133 moved from x:658.5 y:516.5 to x:658.5 y:506.0,1682903703.338582
auto_moving, fixation 134 moved from x:654.4 y:520.1 to x:654.4 y:506.0,1682903704.3356822
auto_moving, fixation 135 moved from x:691.7 y:502.2 to x:691.7 y:506.0,1682903705.395481
auto_moving, fixation 136 moved from x:735.1 y:514.7 to x:735.1 y:506.0,1682903706.461567
auto_moving, fixation 137 moved from x:789.2 y:519.5 to x:789.2 y:506.0,1682903707.5031722
auto_moving, fixation 138 moved from x:835.7 y:527.3 to x:835.7 y:506.0,1682903708.546776
auto_moving, fixation 139 moved from x:770.9 y:538.3 to x:770.9 y:506.0,1682903709.611307
auto_moving, fixation 140 moved from x:817.5 y:532.5 to x:817.5 y:506.0,1682903710.610969
auto_moving, fixation 141 moved from x:889.2 y:523.2 to x:889.2 y:506.0,1682903711.712745
auto_moving, fixation 142 moved from x:887.0 y:527.7 to x:887.0 y:506.0,1682903712.786549
auto_moving, fixation 143 moved from x:943.1 y:516.8 to x:943.1 y:506.0,1682903713.845335
auto_moving, fixation 144 moved from x:984.0 y:522.8 to x:984.0 y:506.0,1682903714.9478972
auto_moving, fixation 145 moved from x:1025.5 y:525.2 to x:1025.5 y:506.0,1682903716.0109282
auto_moving, fixation 146 moved from x:1111.0 y:510.4 to x:1111.0 y:506.0,1682903717.033675
auto_moving, fixation 147 moved from x:1141.0 y:505.0 to x:1141.0 y:506.0,1682903718.17753
auto_moving, fixation 148 moved from x:1082.6 y:502.8 to x:1082.6 y:506.0,1682903719.297617
auto_moving, fixation 149 moved from x:1025.4 y:502.1 to x:1025.4 y:506.0,1682903720.3904362
auto_moving, fixation 150 moved from x:1101.6 y:503.9 to x:1101.6 y:506.0,1682903721.42203
auto_moving, fixation 151 moved from x:1151.2 y:509.5 to x:1151.2 y:506.0,1682903722.4567401
auto_moving, fixation 152 moved from x:1198.7 y:517.3 to x:1198.7 y:506.0,1682903723.485413
auto_moving, fixation 153 moved from x:1263.3 y:519.1 to x:1263.3 y:506.0,1682903724.5053859
auto_moving, fixation 154 moved from x:1328.5 y:518.1 to x:1328.5 y:506.0,1682903725.517944
auto_moving, fixation 155 moved from x:1384.0 y:522.2 to x:1384.0 y:506.0,1682903726.530577
auto_moving, fixation 156 moved from x:1414.3 y:526.5 to x:1414.3 y:506.0,1682903727.555839
auto_moving, fixation 157 moved from x:1118.1 y:524.3 to x:1118.1 y:506.0,1682903728.605691
auto_moving, fixation 158 moved from x:1144.7 y:533.0 to x:1144.7 y:506.0,1682903729.707299
auto_moving, fixation 159 moved from x:1176.6 y:524.8 to x:1176.6 y:506.0,1682903730.846529
auto_moving, fixation 160 moved from x:1424.3 y:531.0 to x:1424.3 y:506.0,1682903731.900112
auto_moving, fixation 161 moved from x:1382.0 y:534.4 to x:1382.0 y:506.0,1682903732.988354
auto_moving, fixation 162 moved from x:1331.6 y:541.2 to x:1331.6 y:506.0,1682903734.0387871
auto_moving, fixation 163 moved from x:1327.8 y:540.1 to x:1327.8 y:506.0,1682903735.121187
auto_moving, fixation 164 moved from x:1363.1 y:528.7 to x:1363.1 y:506.0,1682903736.198847
auto_moving, fixation 165 moved from x:1265.1 y:544.1 to x:1265.1 y:506.0,1682903737.2677
auto_moving, fixation 166 moved from x:1343.9 y:553.0 to x:1343.9 y:506.0,1682903738.382215
auto_moving, fixation 167 moved from x:1400.3 y:541.1 to x:1400.3 y:506.0,1682903739.45012
auto_moving, fixation 168 moved from x:1469.3 y:537.5 to x:1469.3 y:506.0,1682903740.5283499
auto_moving, fixation 169 moved from x:1541.4 y:538.2 to x:1541.4 y:506.0,1682903741.5493991
auto_moving, fixation 170 moved from x:1586.4 y:541.0 to x:1586.4 y:506.0,1682903742.647444
auto_moving, fixation 171 moved from x:1644.0 y:541.0 to x:1644.0 y:506.0,1682903743.7226582
auto_moving, fixation 172 moved from x:1690.3 y:540.0 to x:1690.3 y:506.0,1682903744.8108852
auto_moving, fixation 173 moved from x:1662.4 y:536.4 to x:1662.4 y:506.0,1682903745.931801
