event,event details,timestamp
started,,1684793600.4222589
filter,removed fixations greater than 1000,1684793602.422627
filter,removed fixations less than 100,1684793603.599631
selected,algorithm Warp,1684793606.619532
auto_moving, fixation 0 moved from x:430.3 y:491.0 to x:430.3 y:477.0,1684793610.481214
auto_moving, fixation 1 moved from x:385.3 y:489.8 to x:385.3 y:477.0,1684793611.8327239
auto_moving, fixation 2 moved from x:471.4 y:485.5 to x:471.4 y:477.0,1684793613.052266
auto_moving, fixation 3 moved from x:507.8 y:483.2 to x:507.8 y:477.0,1684793614.245664
auto_moving, fixation 4 moved from x:568.6 y:485.7 to x:568.6 y:477.0,1684793615.413169
auto_moving, fixation 5 moved from x:431.5 y:483.6 to x:431.5 y:477.0,1684793616.704455
auto_moving, fixation 6 moved from x:389.5 y:501.7 to x:389.5 y:477.0,1684793618.048995
auto_moving, fixation 7 moved from x:519.2 y:488.5 to x:519.2 y:477.0,1684793619.48239
auto_moving, fixation 8 moved from x:556.3 y:488.3 to x:556.3 y:477.0,1684793620.8084779
auto_moving, fixation 9 moved from x:609.7 y:487.1 to x:609.7 y:477.0,1684793622.09263
auto_moving, fixation 10 moved from x:657.7 y:484.8 to x:657.7 y:477.0,1684793623.35831
auto_moving, fixation 11 moved from x:738.3 y:474.8 to x:738.3 y:477.0,1684793624.6181078
auto_moving, fixation 12 moved from x:784.9 y:477.3 to x:784.9 y:477.0,1684793625.820201
auto_moving, fixation 13 moved from x:755.1 y:480.2 to x:755.1 y:477.0,1684793627.090781
auto_moving, fixation 14 moved from x:798.3 y:471.8 to x:798.3 y:477.0,1684793628.369356
auto_moving, fixation 15 moved from x:883.7 y:462.4 to x:883.7 y:477.0,1684793629.593157
auto_moving, fixation 16 moved from x:945.2 y:459.4 to x:945.2 y:477.0,1684793630.718068
auto_moving, fixation 17 moved from x:988.9 y:459.6 to x:988.9 y:477.0,1684793631.912351
auto_moving, fixation 18 moved from x:1065.3 y:462.8 to x:1065.3 y:477.0,1684793633.086047
auto_moving, fixation 19 moved from x:1175.6 y:457.3 to x:1175.6 y:477.0,1684793634.269644
auto_moving, fixation 20 moved from x:1244.0 y:460.8 to x:1244.0 y:477.0,1684793635.4741209
auto_moving, fixation 21 moved from x:1388.5 y:456.6 to x:1388.5 y:477.0,1684793636.703233
auto_moving, fixation 22 moved from x:1430.4 y:460.3 to x:1430.4 y:477.0,1684793637.992175
auto_moving, fixation 23 moved from x:1519.4 y:464.5 to x:1519.4 y:477.0,1684793639.2477639
auto_moving, fixation 24 moved from x:1529.7 y:470.2 to x:1529.7 y:477.0,1684793640.605921
auto_moving, fixation 25 moved from x:1554.5 y:469.9 to x:1554.5 y:477.0,1684793642.4067001
auto_moving, fixation 26 moved from x:526.2 y:567.9 to x:526.2 y:563.0,1684793643.858879
auto_moving, fixation 27 moved from x:457.8 y:569.0 to x:457.8 y:563.0,1684793645.087775
auto_moving, fixation 28 moved from x:541.6 y:566.2 to x:541.6 y:563.0,1684793646.2958488
auto_moving, fixation 29 moved from x:564.3 y:563.8 to x:564.3 y:563.0,1684793647.488874
auto_moving, fixation 30 moved from x:567.6 y:569.0 to x:567.6 y:563.0,1684793648.596868
auto_moving, fixation 31 moved from x:598.8 y:532.4 to x:598.8 y:563.0,1684793649.746145
auto_moving, fixation 32 moved from x:567.4 y:566.6 to x:567.4 y:563.0,1684793650.9011269
auto_moving, fixation 33 moved from x:626.5 y:561.9 to x:626.5 y:563.0,1684793652.048723
auto_moving, fixation 34 moved from x:690.2 y:558.8 to x:690.2 y:563.0,1684793653.183019
auto_moving, fixation 35 moved from x:751.9 y:556.2 to x:751.9 y:563.0,1684793654.353896
auto_moving, fixation 36 moved from x:816.3 y:555.0 to x:816.3 y:563.0,1684793655.538264
