event,event details,timestamp
started,,1684794918.936446
filter,removed fixations greater than 1000,1684794921.492241
filter,removed fixations less than 100,1684794923.46865
selected,algorithm Warp,1684794926.464895
auto_moving, fixation 0 moved from x:482.8 y:437.6 to x:482.8 y:404.0,1684794930.160782
auto_moving, fixation 1 moved from x:435.6 y:430.4 to x:435.6 y:404.0,1684794931.4198442
auto_moving, fixation 2 moved from x:417.7 y:435.9 to x:417.7 y:404.0,1684794932.763981
auto_moving, fixation 3 moved from x:479.6 y:421.5 to x:479.6 y:404.0,1684794934.114006
auto_moving, fixation 4 moved from x:437.8 y:416.0 to x:437.8 y:404.0,1684794935.424835
auto_moving, fixation 5 moved from x:473.2 y:415.8 to x:473.2 y:404.0,1684794936.699739
auto_moving, fixation 6 moved from x:491.6 y:419.4 to x:491.6 y:404.0,1684794937.832138
auto_moving, fixation 7 moved from x:520.5 y:420.0 to x:520.5 y:404.0,1684794938.982209
auto_moving, fixation 8 moved from x:537.6 y:416.9 to x:537.6 y:404.0,1684794940.069088
auto_moving, fixation 9 moved from x:580.2 y:417.4 to x:580.2 y:404.0,1684794941.040213
auto_moving, fixation 10 moved from x:650.7 y:414.8 to x:650.7 y:404.0,1684794942.2010481
auto_moving, fixation 11 moved from x:680.7 y:415.0 to x:680.7 y:404.0,1684794943.317191
auto_moving, fixation 12 moved from x:721.3 y:423.7 to x:721.3 y:404.0,1684794944.4510982
auto_moving, fixation 13 moved from x:768.7 y:421.8 to x:768.7 y:404.0,1684794945.593706
auto_moving, fixation 14 moved from x:783.4 y:416.7 to x:783.4 y:404.0,1684794946.788221
auto_moving, fixation 15 moved from x:820.6 y:409.9 to x:820.6 y:404.0,1684794947.997132
auto_moving, fixation 16 moved from x:858.8 y:410.7 to x:858.8 y:404.0,1684794949.148588
auto_moving, fixation 17 moved from x:855.7 y:418.0 to x:855.7 y:404.0,1684794950.542782
auto_moving, fixation 18 moved from x:861.1 y:408.6 to x:861.1 y:404.0,1684794951.976192
auto_moving, fixation 19 moved from x:891.0 y:414.4 to x:891.0 y:404.0,1684794953.307536
auto_moving, fixation 20 moved from x:733.4 y:425.8 to x:733.4 y:404.0,1684794954.8213341
auto_moving, fixation 21 moved from x:609.0 y:429.7 to x:609.0 y:404.0,1684794956.090852
auto_moving, fixation 22 moved from x:730.7 y:415.9 to x:730.7 y:404.0,1684794957.449068
auto_moving, fixation 23 moved from x:730.5 y:409.2 to x:730.5 y:404.0,1684794958.701132
auto_moving, fixation 24 moved from x:716.3 y:401.2 to x:716.3 y:404.0,1684794959.905571
auto_moving, fixation 25 moved from x:859.1 y:396.3 to x:859.1 y:404.0,1684794961.027436
auto_moving, fixation 26 moved from x:928.1 y:400.4 to x:928.1 y:404.0,1684794962.27042
auto_moving, fixation 27 moved from x:988.7 y:406.7 to x:988.7 y:404.0,1684794963.404638
auto_moving, fixation 28 moved from x:1062.9 y:406.9 to x:1062.9 y:404.0,1684794964.597737
auto_moving, fixation 29 moved from x:1096.2 y:405.3 to x:1096.2 y:404.0,1684794965.802075
auto_moving, fixation 30 moved from x:1132.9 y:407.0 to x:1132.9 y:404.0,1684794966.968554
auto_moving, fixation 31 moved from x:1109.7 y:408.3 to x:1109.7 y:404.0,1684794968.242951
auto_moving, fixation 32 moved from x:1160.9 y:412.8 to x:1160.9 y:404.0,1684794969.456778
auto_moving, fixation 33 moved from x:1204.0 y:411.8 to x:1204.0 y:404.0,1684794970.6493828
auto_moving, fixation 34 moved from x:1255.6 y:413.2 to x:1255.6 y:404.0,1684794971.772583
auto_moving, fixation 35 moved from x:969.7 y:408.6 to x:969.7 y:404.0,1684794972.954956
auto_moving, fixation 36 moved from x:1009.8 y:408.6 to x:1009.8 y:404.0,1684794974.182403
auto_moving, fixation 37 moved from x:1060.3 y:413.9 to x:1060.3 y:404.0,1684794975.367638
auto_moving, fixation 38 moved from x:1043.7 y:411.6 to x:1043.7 y:404.0,1684794976.555766
auto_moving, fixation 39 moved from x:1169.1 y:413.9 to x:1169.1 y:404.0,1684794977.788974
auto_moving, fixation 40 moved from x:1236.8 y:407.9 to x:1236.8 y:404.0,1684794979.004565
auto_moving, fixation 41 moved from x:1278.4 y:406.8 to x:1278.4 y:404.0,1684794980.210677
auto_moving, fixation 42 moved from x:1294.9 y:411.1 to x:1294.9 y:404.0,1684794981.409951
auto_moving, fixation 43 moved from x:1306.1 y:413.4 to x:1306.1 y:404.0,1684794982.683895
auto_moving, fixation 44 moved from x:1335.6 y:410.2 to x:1335.6 y:404.0,1684794983.923517
auto_moving, fixation 45 moved from x:1360.0 y:407.6 to x:1360.0 y:404.0,1684794985.201636
auto_moving, fixation 46 moved from x:1387.1 y:409.2 to x:1387.1 y:404.0,1684794986.424831
auto_moving, fixation 47 moved from x:1262.3 y:410.3 to x:1262.3 y:404.0,1684794987.8127549
auto_moving, fixation 48 moved from x:1279.7 y:411.2 to x:1279.7 y:404.0,1684794989.042711
auto_moving, fixation 49 moved from x:1301.0 y:410.8 to x:1301.0 y:404.0,1684794990.286701
auto_moving, fixation 50 moved from x:1463.7 y:413.2 to x:1463.7 y:404.0,1684794991.4273732
auto_moving, fixation 51 moved from x:1501.2 y:410.7 to x:1501.2 y:404.0,1684794992.697463
auto_moving, fixation 52 moved from x:1485.3 y:409.2 to x:1485.3 y:404.0,1684794994.037979
auto_moving, fixation 53 moved from x:1474.8 y:413.5 to x:1474.8 y:404.0,1684794995.3673081
auto_moving, fixation 54 moved from x:1491.7 y:399.3 to x:1491.7 y:404.0,1684794996.647646
auto_moving, fixation 55 moved from x:1504.6 y:414.8 to x:1504.6 y:404.0,1684794997.993472
auto_moving, fixation 56 moved from x:1523.6 y:418.1 to x:1523.6 y:404.0,1684794999.372003
auto_moving, fixation 57 moved from x:1519.1 y:419.2 to x:1519.1 y:404.0,1684795001.0101042
auto_moving, fixation 58 moved from x:281.6 y:488.9 to x:281.6 y:453.0,1684795003.865738
auto_moving, fixation 59 moved from x:224.3 y:486.0 to x:224.3 y:453.0,1684795005.223497
auto_moving, fixation 60 moved from x:275.0 y:481.5 to x:275.0 y:453.0,1684795006.4005451
auto_moving, fixation 61 moved from x:313.5 y:486.3 to x:313.5 y:453.0,1684795007.59637
auto_moving, fixation 62 moved from x:305.6 y:486.9 to x:305.6 y:453.0,1684795008.780394
auto_moving, fixation 63 moved from x:328.7 y:482.0 to x:328.7 y:453.0,1684795009.864057
auto_moving, fixation 64 moved from x:367.8 y:474.1 to x:367.8 y:453.0,1684795010.9770539
auto_moving, fixation 65 moved from x:380.3 y:473.8 to x:380.3 y:453.0,1684795012.060736
auto_moving, fixation 66 moved from x:411.9 y:477.5 to x:411.9 y:453.0,1684795013.13268
auto_moving, fixation 67 moved from x:470.6 y:481.7 to x:470.6 y:453.0,1684795014.294615
auto_moving, fixation 68 moved from x:533.9 y:476.1 to x:533.9 y:453.0,1684795022.651711
auto_moving, fixation 69 moved from x:573.1 y:472.4 to x:573.1 y:453.0,1684795023.6902459
auto_moving, fixation 70 moved from x:596.4 y:467.0 to x:596.4 y:453.0,1684795024.6908228
auto_moving, fixation 71 moved from x:569.6 y:470.5 to x:569.6 y:453.0,1684795026.973705
auto_moving, fixation 72 moved from x:602.2 y:466.9 to x:602.2 y:453.0,1684795028.039385
auto_moving, fixation 73 moved from x:617.0 y:469.2 to x:617.0 y:453.0,1684795029.069914
auto_moving, fixation 74 moved from x:645.6 y:485.6 to x:645.6 y:453.0,1684795030.078899
auto_moving, fixation 75 moved from x:618.6 y:479.2 to x:618.6 y:453.0,1684795031.0697951
auto_moving, fixation 76 moved from x:727.7 y:455.2 to x:727.7 y:453.0,1684795032.041728
auto_moving, fixation 77 moved from x:821.0 y:461.5 to x:821.0 y:453.0,1684795033.0708742
auto_moving, fixation 78 moved from x:875.6 y:453.2 to x:875.6 y:453.0,1684795034.018444
auto_moving, fixation 79 moved from x:950.0 y:456.7 to x:950.0 y:453.0,1684795035.000673
auto_moving, fixation 80 moved from x:780.1 y:466.1 to x:780.1 y:453.0,1684795035.9471738
auto_moving, fixation 81 moved from x:900.9 y:457.5 to x:900.9 y:453.0,1684795036.987102
manual_moving, fixation 80 moved from x:780.1 y:453.0 to x:787.9648306632494 y:455.01812150556873,1684795042.995768
auto_moving, fixation 82 moved from x:944.7 y:457.2 to x:944.7 y:453.0,1684795045.370262
auto_moving, fixation 83 moved from x:980.4 y:455.6 to x:980.4 y:453.0,1684795046.443891
manual_moving, fixation 79 moved from x:950.0 y:453.0 to x:935.0255893415589 y:453.78231681079296,1684795049.2935832
auto_moving, fixation 84 moved from x:830.3 y:450.3 to x:830.3 y:453.0,1684795052.186649
auto_moving, fixation 85 moved from x:985.2 y:448.0 to x:985.2 y:453.0,1684795053.205774
auto_moving, fixation 86 moved from x:1030.4 y:449.1 to x:1030.4 y:453.0,1684795054.210429
auto_moving, fixation 87 moved from x:1034.9 y:460.7 to x:1034.9 y:453.0,1684795055.096577
auto_moving, fixation 88 moved from x:1043.9 y:455.1 to x:1043.9 y:453.0,1684795056.03625
auto_moving, fixation 89 moved from x:1021.0 y:460.6 to x:1021.0 y:453.0,1684795056.942742
auto_moving, fixation 90 moved from x:1037.9 y:462.0 to x:1037.9 y:453.0,1684795057.84582
auto_moving, fixation 91 moved from x:1087.4 y:464.7 to x:1087.4 y:453.0,1684795058.719381
auto_moving, fixation 92 moved from x:1108.3 y:459.5 to x:1108.3 y:453.0,1684795059.593848
auto_moving, fixation 93 moved from x:1134.1 y:450.8 to x:1134.1 y:453.0,1684795060.512568
auto_moving, fixation 94 moved from x:1110.8 y:453.7 to x:1110.8 y:453.0,1684795061.366217
auto_moving, fixation 95 moved from x:1148.1 y:452.0 to x:1148.1 y:453.0,1684795062.302967
auto_moving, fixation 96 moved from x:1212.3 y:451.3 to x:1212.3 y:453.0,1684795063.2021189
auto_moving, fixation 97 moved from x:1257.0 y:445.9 to x:1257.0 y:453.0,1684795064.1229131
auto_moving, fixation 98 moved from x:1337.8 y:434.9 to x:1337.8 y:453.0,1684795064.987467
auto_moving, fixation 99 moved from x:1401.9 y:439.8 to x:1401.9 y:453.0,1684795065.879464
auto_moving, fixation 100 moved from x:1409.2 y:443.4 to x:1409.2 y:453.0,1684795066.714198
auto_moving, fixation 101 moved from x:1461.9 y:443.9 to x:1461.9 y:453.0,1684795067.600317
auto_moving, fixation 102 moved from x:1493.1 y:444.5 to x:1493.1 y:453.0,1684795068.502569
auto_moving, fixation 103 moved from x:1503.0 y:447.1 to x:1503.0 y:453.0,1684795069.3839822
auto_moving, fixation 104 moved from x:1527.0 y:449.4 to x:1527.0 y:453.0,1684795070.272747
auto_moving, fixation 105 moved from x:1563.9 y:447.7 to x:1563.9 y:453.0,1684795071.1524842
auto_moving, fixation 106 moved from x:1508.5 y:458.2 to x:1508.5 y:453.0,1684795072.073235
auto_moving, fixation 107 moved from x:1562.0 y:456.9 to x:1562.0 y:453.0,1684795072.973472
auto_moving, fixation 108 moved from x:1592.9 y:458.4 to x:1592.9 y:453.0,1684795073.898325
auto_moving, fixation 109 moved from x:1616.5 y:454.8 to x:1616.5 y:453.0,1684795074.8127759
auto_moving, fixation 110 moved from x:1642.3 y:450.0 to x:1642.3 y:453.0,1684795075.6913111
auto_moving, fixation 111 moved from x:1669.9 y:450.6 to x:1669.9 y:453.0,1684795076.6095161
auto_moving, fixation 112 moved from x:1692.9 y:446.6 to x:1692.9 y:453.0,1684795077.5012832
auto_moving, fixation 113 moved from x:1483.1 y:461.1 to x:1483.1 y:453.0,1684795078.649017
auto_moving, fixation 114 moved from x:1366.1 y:451.7 to x:1366.1 y:453.0,1684795079.6452851
auto_moving, fixation 115 moved from x:1320.9 y:450.3 to x:1320.9 y:453.0,1684795080.642708
auto_moving, fixation 116 moved from x:294.2 y:535.1 to x:294.2 y:503.0,1684795081.662264
auto_moving, fixation 117 moved from x:210.6 y:539.2 to x:210.6 y:503.0,1684795082.6220102
auto_moving, fixation 118 moved from x:186.6 y:539.2 to x:186.6 y:503.0,1684795083.5428102
auto_moving, fixation 119 moved from x:170.2 y:536.1 to x:170.2 y:503.0,1684795084.4942238
auto_moving, fixation 120 moved from x:226.7 y:534.6 to x:226.7 y:503.0,1684795085.469038
auto_moving, fixation 121 moved from x:282.6 y:535.7 to x:282.6 y:503.0,1684795086.4151292
auto_moving, fixation 122 moved from x:316.9 y:534.3 to x:316.9 y:503.0,1684795089.855687
auto_moving, fixation 123 moved from x:366.8 y:532.9 to x:366.8 y:503.0,1684795090.874082
auto_moving, fixation 124 moved from x:429.4 y:543.6 to x:429.4 y:503.0,1684795091.848601
auto_moving, fixation 125 moved from x:454.3 y:537.9 to x:454.3 y:503.0,1684795092.7634308
