event,event details,timestamp
started,,1684793967.512843
filter,removed fixations greater than 1000,1684793969.966366
filter,removed fixations less than 100,1684793971.716796
selected,algorithm Warp,1684793974.6970282
auto_moving, fixation 0 moved from x:499.3 y:214.9 to x:499.3 y:227.0,1684793978.37119
auto_moving, fixation 1 moved from x:316.7 y:211.6 to x:316.7 y:227.0,1684793981.6684642
auto_moving, fixation 2 moved from x:222.0 y:211.0 to x:222.0 y:227.0,1684793983.167937
auto_moving, fixation 3 moved from x:228.8 y:214.2 to x:228.8 y:227.0,1684793984.455904
auto_moving, fixation 4 moved from x:240.5 y:209.6 to x:240.5 y:227.0,1684793985.745136
auto_moving, fixation 5 moved from x:210.3 y:212.6 to x:210.3 y:227.0,1684793987.105527
manual_moving, fixation 6 moved from x:344.7 y:215.5 to x:373.6104842264813 y:229.69699707535392,1684793992.2049222
manual_moving, fixation 6 moved from x:373.6104842264813 y:229.69699707535392 to x:352.60987220722075 y:229.69699707535392,1684793996.602394
auto_moving, fixation 7 moved from x:319.4 y:215.7 to x:319.4 y:227.0,1684794000.7139971
auto_moving, fixation 8 moved from x:419.4 y:216.3 to x:419.4 y:227.0,1684794003.226206
auto_moving, fixation 9 moved from x:474.5 y:214.0 to x:474.5 y:227.0,1684794004.488478
auto_moving, fixation 10 moved from x:509.3 y:199.2 to x:509.3 y:227.0,1684794005.742571
auto_moving, fixation 11 moved from x:480.6 y:208.1 to x:480.6 y:227.0,1684794006.976052
auto_moving, fixation 12 moved from x:509.4 y:223.2 to x:509.4 y:227.0,1684794008.273452
auto_moving, fixation 13 moved from x:493.7 y:213.9 to x:493.7 y:227.0,1684794009.543762
auto_moving, fixation 14 moved from x:540.7 y:193.6 to x:540.7 y:227.0,1684794010.88894
auto_moving, fixation 15 moved from x:592.3 y:200.2 to x:592.3 y:227.0,1684794012.148129
auto_moving, fixation 16 moved from x:630.7 y:212.1 to x:630.7 y:227.0,1684794013.397606
auto_moving, fixation 17 moved from x:670.0 y:216.8 to x:670.0 y:227.0,1684794014.738803
auto_moving, fixation 18 moved from x:682.0 y:206.3 to x:682.0 y:227.0,1684794015.979535
auto_moving, fixation 19 moved from x:721.6 y:206.5 to x:721.6 y:227.0,1684794017.195829
auto_moving, fixation 20 moved from x:758.9 y:205.4 to x:758.9 y:227.0,1684794018.457994
auto_moving, fixation 21 moved from x:796.0 y:205.8 to x:796.0 y:227.0,1684794019.6354508
auto_moving, fixation 22 moved from x:844.8 y:189.4 to x:844.8 y:227.0,1684794020.8296351
auto_moving, fixation 23 moved from x:895.5 y:182.6 to x:895.5 y:227.0,1684794022.0169852
auto_moving, fixation 24 moved from x:1012.5 y:180.1 to x:1012.5 y:227.0,1684794023.327688
auto_moving, fixation 25 moved from x:1116.6 y:185.2 to x:1116.6 y:227.0,1684794024.572685
auto_moving, fixation 26 moved from x:1179.8 y:191.9 to x:1179.8 y:227.0,1684794025.701507
auto_moving, fixation 27 moved from x:1213.2 y:200.9 to x:1213.2 y:227.0,1684794026.827434
auto_moving, fixation 28 moved from x:1256.2 y:202.2 to x:1256.2 y:227.0,1684794028.018632
auto_moving, fixation 29 moved from x:1286.8 y:196.3 to x:1286.8 y:227.0,1684794029.1672919
auto_moving, fixation 30 moved from x:1349.5 y:203.3 to x:1349.5 y:227.0,1684794030.350652
auto_moving, fixation 31 moved from x:1450.0 y:208.2 to x:1450.0 y:227.0,1684794031.5652108
manual_moving, fixation 31 moved from x:1450.0 y:227.0 to x:1417.1793584143509 y:228.0815653815647,1684794036.235577
manual_moving, fixation 32 moved from x:1538.8 y:214.1 to x:1520.5669868168643 y:231.31242876914325,1684794041.037204
auto_moving, fixation 33 moved from x:1599.7 y:214.3 to x:1599.7 y:227.0,1684794046.4070652
auto_moving, fixation 34 moved from x:1730.0 y:121.6 to x:1730.0 y:227.0,1684794048.065994
auto_moving, fixation 35 moved from x:1724.6 y:129.0 to x:1724.6 y:227.0,1684794049.671391
manual_moving, fixation 34 moved from x:1730.0 y:227.0 to x:1714.418790071577 y:228.0815653815647,1684794056.839865
auto_moving, fixation 36 moved from x:367.6 y:300.8 to x:367.6 y:293.0,1684794059.163591
auto_moving, fixation 37 moved from x:292.8 y:279.3 to x:292.8 y:293.0,1684794060.4319098
auto_moving, fixation 38 moved from x:276.1 y:283.5 to x:276.1 y:293.0,1684794061.681202
