event,event details,timestamp
started,,1684793697.013246
filter,removed fixations greater than 1000,1684793699.375041
filter,removed fixations less than 100,1684793700.794943
selected,algorithm Warp,1684793704.203222
auto_moving, fixation 0 moved from x:371.1 y:544.4 to x:371.1 y:520.0,1684793710.020383
auto_moving, fixation 1 moved from x:349.2 y:542.9 to x:349.2 y:520.0,1684793711.341525
auto_moving, fixation 2 moved from x:344.6 y:538.7 to x:344.6 y:520.0,1684793712.483594
auto_moving, fixation 3 moved from x:390.0 y:541.3 to x:390.0 y:520.0,1684793714.289033
auto_moving, fixation 4 moved from x:420.3 y:543.2 to x:420.3 y:520.0,1684793716.472842
auto_moving, fixation 5 moved from x:327.1 y:566.7 to x:327.1 y:520.0,1684793717.725369
auto_moving, fixation 6 moved from x:465.3 y:545.8 to x:465.3 y:520.0,1684793718.9277298
auto_moving, fixation 7 moved from x:552.4 y:540.0 to x:552.4 y:520.0,1684793720.100943
auto_moving, fixation 8 moved from x:593.2 y:541.3 to x:593.2 y:520.0,1684793721.284735
auto_moving, fixation 9 moved from x:664.9 y:529.2 to x:664.9 y:520.0,1684793722.4619389
auto_moving, fixation 10 moved from x:653.0 y:530.3 to x:653.0 y:520.0,1684793726.507838
auto_moving, fixation 11 moved from x:705.6 y:525.0 to x:705.6 y:520.0,1684793727.805244
auto_moving, fixation 12 moved from x:754.8 y:535.6 to x:754.8 y:520.0,1684793728.9377122
auto_moving, fixation 13 moved from x:816.2 y:536.4 to x:816.2 y:520.0,1684793730.128142
auto_moving, fixation 14 moved from x:876.6 y:516.0 to x:876.6 y:520.0,1684793731.577516
auto_moving, fixation 15 moved from x:346.1 y:550.4 to x:346.1 y:520.0,1684793732.919594
auto_moving, fixation 16 moved from x:303.4 y:552.3 to x:303.4 y:520.0,1684793734.1386318
auto_moving, fixation 17 moved from x:888.5 y:528.4 to x:888.5 y:520.0,1684793735.336493
auto_moving, fixation 18 moved from x:958.8 y:523.3 to x:958.8 y:520.0,1684793736.471412
auto_moving, fixation 19 moved from x:1030.8 y:520.1 to x:1030.8 y:520.0,1684793737.6497269
auto_moving, fixation 20 moved from x:1097.0 y:518.6 to x:1097.0 y:520.0,1684793738.790493
auto_moving, fixation 21 moved from x:1079.8 y:519.0 to x:1079.8 y:520.0,1684793739.907469
auto_moving, fixation 22 moved from x:1157.0 y:510.1 to x:1157.0 y:520.0,1684793741.08833
manual_moving, fixation 21 moved from x:1079.8 y:520.0 to x:1066.6306808620789 y:518.8592702636336,1684793743.7061691
auto_moving, fixation 23 moved from x:1155.3 y:516.3 to x:1155.3 y:520.0,1684793745.8227289
auto_moving, fixation 24 moved from x:1083.1 y:508.4 to x:1083.1 y:520.0,1684793747.074272
auto_moving, fixation 25 moved from x:1188.4 y:516.5 to x:1188.4 y:520.0,1684793748.3359082
auto_moving, fixation 26 moved from x:1223.4 y:516.5 to x:1223.4 y:520.0,1684793749.487285
auto_moving, fixation 27 moved from x:1257.8 y:517.8 to x:1257.8 y:520.0,1684793750.6265442
auto_moving, fixation 28 moved from x:1245.0 y:514.1 to x:1245.0 y:520.0,1684793751.772594
auto_moving, fixation 29 moved from x:1281.7 y:512.9 to x:1281.7 y:520.0,1684793752.943264
auto_moving, fixation 30 moved from x:1348.1 y:519.9 to x:1348.1 y:520.0,1684793756.3299258
auto_moving, fixation 31 moved from x:1400.1 y:521.2 to x:1400.1 y:520.0,1684793757.484106
manual_moving, fixation 31 moved from x:1400.1 y:520.0 to x:1418.7947901081402 y:520.4747019574229,1684793765.2022579
auto_moving, fixation 32 moved from x:1466.0 y:517.0 to x:1466.0 y:520.0,1684793767.186443
auto_moving, fixation 33 moved from x:1509.4 y:519.8 to x:1509.4 y:520.0,1684793768.393495
auto_moving, fixation 34 moved from x:1539.7 y:517.2 to x:1539.7 y:520.0,1684793769.643059
auto_moving, fixation 35 moved from x:1136.3 y:511.5 to x:1136.3 y:520.0,1684793771.010072
auto_moving, fixation 36 moved from x:1032.5 y:508.6 to x:1032.5 y:520.0,1684793772.1669278
auto_moving, fixation 37 moved from x:558.7 y:538.5 to x:558.7 y:520.0,1684793773.427346
auto_moving, fixation 38 moved from x:371.2 y:553.0 to x:371.2 y:520.0,1684793774.6407628
auto_moving, fixation 39 moved from x:423.3 y:549.5 to x:423.3 y:520.0,1684793775.855734
auto_moving, fixation 40 moved from x:345.3 y:543.1 to x:345.3 y:520.0,1684793777.048408
auto_moving, fixation 41 moved from x:321.1 y:551.2 to x:321.1 y:520.0,1684793778.273622
manual_moving, fixation 41 moved from x:321.1 y:520.0 to x:304.1469213935426 y:522.0901336512121,1684793787.607291
auto_moving, fixation 42 moved from x:370.4 y:551.9 to x:370.4 y:520.0,1684793790.974446
auto_moving, fixation 43 moved from x:456.3 y:549.6 to x:456.3 y:520.0,1684793792.1842802
auto_moving, fixation 44 moved from x:519.9 y:550.4 to x:519.9 y:520.0,1684793793.527127
auto_moving, fixation 45 moved from x:581.1 y:538.4 to x:581.1 y:520.0,1684793794.861021
auto_moving, fixation 46 moved from x:561.1 y:547.4 to x:561.1 y:520.0,1684793796.1390212
auto_moving, fixation 47 moved from x:544.6 y:546.1 to x:544.6 y:520.0,1684793797.4128351
