event,event details,timestamp
started,,1684797652.603364
selected,algorithm Warp,1684797655.667256
filter,removed fixations greater than 1000,1684797656.978292
filter,removed fixations less than 100,1684797658.346473
auto_moving, fixation 0 moved from x:736.3 y:498.3 to x:736.3 y:494.0,1684797662.243961
auto_moving, fixation 1 moved from x:599.2 y:485.7 to x:599.2 y:494.0,1684797663.718364
auto_moving, fixation 2 moved from x:232.0 y:490.4 to x:232.0 y:494.0,1684797665.081249
auto_moving, fixation 3 moved from x:306.6 y:506.2 to x:306.6 y:494.0,1684797666.540538
auto_moving, fixation 4 moved from x:344.9 y:511.4 to x:344.9 y:494.0,1684797667.7916002
auto_moving, fixation 5 moved from x:384.8 y:510.2 to x:384.8 y:494.0,1684797669.009314
auto_moving, fixation 6 moved from x:332.4 y:508.7 to x:332.4 y:494.0,1684797670.351573
auto_moving, fixation 7 moved from x:405.6 y:506.2 to x:405.6 y:494.0,1684797671.844058
auto_moving, fixation 8 moved from x:356.2 y:498.2 to x:356.2 y:494.0,1684797673.16623
auto_moving, fixation 9 moved from x:464.4 y:495.0 to x:464.4 y:494.0,1684797674.464556
auto_moving, fixation 10 moved from x:561.8 y:492.6 to x:561.8 y:494.0,1684797675.7691379
auto_moving, fixation 11 moved from x:592.3 y:496.2 to x:592.3 y:494.0,1684797677.1261492
auto_moving, fixation 12 moved from x:536.5 y:505.0 to x:536.5 y:494.0,1684797678.513165
auto_moving, fixation 13 moved from x:658.3 y:506.0 to x:658.3 y:494.0,1684797679.872343
auto_moving, fixation 14 moved from x:754.9 y:497.5 to x:754.9 y:494.0,1684797681.340271
manual_moving, fixation 15 moved from x:819.9 y:509.3 to x:811.392473243374 y:494.6277948567945,1684797689.243675
auto_moving, fixation 16 moved from x:914.4 y:517.5 to x:914.4 y:494.0,1684797693.773299
auto_moving, fixation 17 moved from x:914.5 y:492.3 to x:914.5 y:494.0,1684797695.1400802
auto_moving, fixation 18 moved from x:1058.6 y:497.1 to x:1058.6 y:494.0,1684797696.428947
auto_moving, fixation 19 moved from x:1104.9 y:502.7 to x:1104.9 y:494.0,1684797697.9189792
auto_moving, fixation 20 moved from x:1199.5 y:504.5 to x:1199.5 y:494.0,1684797699.191205
auto_moving, fixation 21 moved from x:1231.0 y:504.1 to x:1231.0 y:494.0,1684797700.7198029
auto_moving, fixation 22 moved from x:1187.6 y:496.1 to x:1187.6 y:494.0,1684797702.117622
auto_moving, fixation 23 moved from x:1226.6 y:499.0 to x:1226.6 y:494.0,1684797703.434577
auto_moving, fixation 24 moved from x:1286.7 y:500.4 to x:1286.7 y:494.0,1684797704.679222
auto_moving, fixation 25 moved from x:1351.1 y:512.7 to x:1351.1 y:494.0,1684797705.973854
auto_moving, fixation 26 moved from x:1424.7 y:524.3 to x:1424.7 y:494.0,1684797707.2249331
auto_moving, fixation 27 moved from x:1540.1 y:540.8 to x:1540.1 y:494.0,1684797708.6351318
auto_moving, fixation 28 moved from x:1618.5 y:534.0 to x:1618.5 y:494.0,1684797709.8264
auto_moving, fixation 29 moved from x:1663.6 y:539.6 to x:1663.6 y:494.0,1684797711.182903
auto_moving, fixation 30 moved from x:1733.7 y:531.2 to x:1733.7 y:494.0,1684797712.3977149
manual_moving, fixation 29 moved from x:1663.6 y:494.0 to x:1669.1867026454772 y:497.85865824437303,1684797717.0220668
manual_moving, fixation 29 moved from x:1669.1867026454772 y:497.85865824437303 to x:1670.8021343392666 y:496.2432265505838,1684797720.7874439
auto_moving, fixation 31 moved from x:920.1 y:570.0 to x:920.1 y:560.0,1684797723.2960792
auto_moving, fixation 32 moved from x:827.9 y:580.7 to x:827.9 y:560.0,1684797725.3279428
auto_moving, fixation 33 moved from x:919.4 y:588.7 to x:919.4 y:560.0,1684797728.054871
manual_moving, fixation 31 moved from x:920.1 y:560.0 to x:898.6257847079946 y:562.475925995944,1684797732.271698
manual_moving, fixation 31 moved from x:898.6257847079946 y:562.475925995944 to x:906.7029431769411 y:636.7857839102505,1684797734.743474
manual_moving, fixation 33 moved from x:919.4 y:560.0 to x:900.241216401784 y:560.8604943021547,1684797737.0394182
manual_moving, fixation 31 moved from x:906.7029431769411 y:636.7857839102505 to x:916.3955333396766 y:617.4006035847792,1684797742.421694
manual_moving, fixation 31 moved from x:916.3955333396766 y:617.4006035847792 to x:924.472691808623 y:560.8604943021547,1684797745.750355
auto_moving, fixation 34 moved from x:963.4 y:581.5 to x:963.4 y:560.0,1684797748.43003
auto_moving, fixation 35 moved from x:1042.8 y:576.7 to x:1042.8 y:560.0,1684797749.890841
Saved,Date 2023-05-22 Trial Name026_kazakh_multi_4_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Kazakh/MediumFont/multi/026_kazakh_multi_4_MediumFont/026_kazakh_multi_4.jpg Duration 99.83743095397949,1684797752.4408588
Saved,Date 2023-05-22 Trial Name026_kazakh_multi_4_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Kazakh/MediumFont/multi/026_kazakh_multi_4_MediumFont/026_kazakh_multi_4.jpg Duration 100.09008193016052,1684797752.693502
