event,event details,timestamp
started,,1684797769.401259
filter,removed fixations greater than 1000,1684797771.291418
filter,removed fixations less than 100,1684797773.196782
selected,algorithm Warp,1684797775.5531049
auto_moving, fixation 0 moved from x:615.0 y:394.8 to x:615.0 y:461.0,1684797779.048487
auto_moving, fixation 1 moved from x:714.4 y:406.8 to x:714.4 y:461.0,1684797780.3137121
auto_moving, fixation 2 moved from x:818.2 y:402.3 to x:818.2 y:461.0,1684797781.5697339
auto_moving, fixation 3 moved from x:946.6 y:413.8 to x:946.6 y:461.0,1684797782.820354
auto_moving, fixation 4 moved from x:1021.3 y:421.8 to x:1021.3 y:461.0,1684797784.181039
manual_moving, fixation 5 moved from x:1059.4 y:431.4 to x:1056.9380906993433 y:463.9345926747984,1684797790.518271
auto_moving, fixation 6 moved from x:1121.2 y:430.4 to x:1121.2 y:461.0,1684797795.4768739
auto_moving, fixation 7 moved from x:1191.8 y:433.1 to x:1191.8 y:461.0,1684797796.701208
auto_moving, fixation 8 moved from x:1260.2 y:438.9 to x:1260.2 y:461.0,1684797798.3552582
manual_moving, fixation 9 moved from x:1005.0 y:439.7 to x:993.9362546415616 y:462.3191609810091,1684797803.8280902
manual_moving, fixation 10 moved from x:916.6 y:441.9 to x:916.3955333396766 y:460.70372928721986,1684797811.5966809
manual_moving, fixation 11 moved from x:1034.9 y:441.9 to x:1040.7837737614504 y:459.0882975934305,1684797819.1905432
manual_moving, fixation 12 moved from x:1008.1 y:449.2 to x:1003.6288448042974 y:463.9345926747984,1684797834.7926989
manual_moving, fixation 13 moved from x:903.5 y:467.4 to x:909.9338065645195 y:462.3191609810091,1684797841.277924
manual_moving, fixation 15 moved from x:1101.0 y:498.1 to x:1102.1701781254428 y:463.9345926747984,1684797856.6429682
manual_moving, fixation 14 moved from x:902.4 y:470.9 to x:892.1640579328375 y:460.70372928721986,1684797866.5693161
manual_moving, fixation 16 moved from x:923.5 y:490.6 to x:926.0881235024121 y:459.0882975934305,1684797887.327563
manual_moving, fixation 20 moved from x:954.5 y:438.3 to x:956.7813256844083 y:460.70372928721986,1684797902.730746
manual_moving, fixation 21 moved from x:1096.7 y:441.3 to x:1098.9393147378644 y:459.0882975934305,1684797910.314019
manual_moving, fixation 22 moved from x:985.6 y:433.9 to x:982.6282327850367 y:463.9345926747984,1684797918.75295
manual_moving, fixation 23 moved from x:952.2 y:434.9 to x:951.9350306030406 y:460.70372928721986,1684797926.110929
manual_moving, fixation 24 moved from x:976.0 y:468.7 to x:977.781937703669 y:463.9345926747984,1684797931.740575
manual_moving, fixation 25 moved from x:1022.5 y:437.7 to x:1026.2448885173471 y:460.70372928721986,1684797939.562165
Saved,Date 2023-05-22 Trial Name026_kazakh_paragraph1_2_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Kazakh/MediumFont/paragraph1/026_kazakh_paragraph1_2_MediumFont/026_kazakh_paragraph1_2.jpg Duration 180.73188400268555,1684797950.133188
Saved,Date 2023-05-22 Trial Name026_kazakh_paragraph1_2_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Kazakh/MediumFont/paragraph1/026_kazakh_paragraph1_2_MediumFont/026_kazakh_paragraph1_2.jpg Duration 180.93393683433533,1684797950.335232
