event,event details,timestamp
started,,1684800597.612025
filter,removed fixations less than 100,1684800600.6464498
filter,removed fixations greater than 1000,1684800602.7194612
selected,algorithm Warp,1684800605.131424
auto_moving, fixation 0 moved from x:451.9 y:518.8 to x:451.9 y:506.0,1684800608.4767518
auto_moving, fixation 1 moved from x:240.5 y:504.1 to x:240.5 y:506.0,1684800609.690799
auto_moving, fixation 2 moved from x:314.1 y:502.5 to x:314.1 y:506.0,1684800610.91873
auto_moving, fixation 3 moved from x:353.5 y:503.6 to x:353.5 y:506.0,1684800612.0302138
auto_moving, fixation 4 moved from x:430.7 y:502.3 to x:430.7 y:506.0,1684800613.1740239
auto_moving, fixation 5 moved from x:508.2 y:504.3 to x:508.2 y:506.0,1684800614.348746
auto_moving, fixation 6 moved from x:568.4 y:496.5 to x:568.4 y:506.0,1684800615.657123
auto_moving, fixation 7 moved from x:557.1 y:500.9 to x:557.1 y:506.0,1684800616.9582632
auto_moving, fixation 8 moved from x:647.3 y:503.5 to x:647.3 y:506.0,1684800618.154099
auto_moving, fixation 9 moved from x:726.5 y:503.0 to x:726.5 y:506.0,1684800619.3069608
auto_moving, fixation 10 moved from x:867.8 y:500.9 to x:867.8 y:506.0,1684800620.476129
auto_moving, fixation 11 moved from x:929.3 y:503.6 to x:929.3 y:506.0,1684800621.668075
manual_moving, fixation 11 moved from x:929.3 y:506.0 to x:939.0115770527264 y:507.5512484071087,1684800628.6081312
auto_moving, fixation 12 moved from x:987.1 y:503.4 to x:987.1 y:506.0,1684800631.004992
auto_moving, fixation 13 moved from x:1117.5 y:505.0 to x:1117.5 y:506.0,1684800632.2224278
auto_moving, fixation 14 moved from x:1187.0 y:507.4 to x:1187.0 y:506.0,1684800633.4948852
auto_moving, fixation 15 moved from x:1283.8 y:511.7 to x:1283.8 y:506.0,1684800634.804002
auto_moving, fixation 16 moved from x:1330.8 y:516.1 to x:1330.8 y:506.0,1684800636.071266
auto_moving, fixation 17 moved from x:1397.2 y:519.1 to x:1397.2 y:506.0,1684800637.510541
manual_moving, fixation 17 moved from x:1397.2 y:506.0 to x:1394.5633147013011 y:510.78211179468724,1684800642.068662
manual_moving, fixation 17 moved from x:1394.5633147013011 y:510.78211179468724 to x:1392.9478830075118 y:507.5512484071087,1684800644.958863
auto_moving, fixation 18 moved from x:1147.0 y:515.0 to x:1147.0 y:506.0,1684800646.945457
auto_moving, fixation 19 moved from x:1164.6 y:508.0 to x:1164.6 y:506.0,1684800648.3242052
auto_moving, fixation 20 moved from x:1203.4 y:504.7 to x:1203.4 y:506.0,1684800649.577727
auto_moving, fixation 21 moved from x:1423.4 y:509.2 to x:1423.4 y:506.0,1684800651.133644
auto_moving, fixation 22 moved from x:1460.2 y:514.2 to x:1460.2 y:506.0,1684800652.408694
auto_moving, fixation 23 moved from x:1521.0 y:512.1 to x:1521.0 y:506.0,1684800653.985962
auto_moving, fixation 24 moved from x:1582.2 y:514.9 to x:1582.2 y:506.0,1684800655.24477
auto_moving, fixation 25 moved from x:1678.6 y:516.1 to x:1678.6 y:506.0,1684800656.5018408
auto_moving, fixation 26 moved from x:622.1 y:572.5 to x:622.1 y:556.0,1684800657.874742
auto_moving, fixation 27 moved from x:685.5 y:564.0 to x:685.5 y:556.0,1684800659.000643
manual_moving, fixation 27 moved from x:685.5 y:556.0 to x:680.5425060464429 y:556.0141992207868,1684800662.134732
auto_moving, fixation 28 moved from x:765.0 y:553.3 to x:765.0 y:556.0,1684800663.959498
auto_moving, fixation 29 moved from x:867.8 y:560.7 to x:867.8 y:556.0,1684800665.477371
auto_moving, fixation 30 moved from x:940.1 y:555.7 to x:940.1 y:556.0,1684800666.724406
auto_moving, fixation 31 moved from x:978.6 y:553.0 to x:978.6 y:556.0,1684800667.949214
auto_moving, fixation 32 moved from x:936.4 y:561.2 to x:936.4 y:556.0,1684800669.181785
auto_moving, fixation 33 moved from x:1074.4 y:554.8 to x:1074.4 y:556.0,1684800670.440382
auto_moving, fixation 34 moved from x:1171.9 y:553.4 to x:1171.9 y:556.0,1684800671.729695
auto_moving, fixation 35 moved from x:1238.0 y:552.2 to x:1238.0 y:556.0,1684800673.038562
Saved,Date 2023-05-22 Trial Name018_russian_multi_2_SmallFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Russian/SmallFont/multi/018_russian_multi_2_SmallFont/018_russian_multi_2.jpg Duration 77.84503984451294,1684800675.4571369
