event,event details,timestamp
started,,1684799199.488052
filter,removed fixations greater than 1000,1684799201.7910159
filter,removed fixations less than 100,1684799202.888938
selected,algorithm Warp,1684799205.531788
auto_moving, fixation 0 moved from x:369.2 y:502.4 to x:369.2 y:480.0,1684799211.214201
auto_moving, fixation 1 moved from x:266.7 y:497.1 to x:266.7 y:480.0,1684799212.7250419
auto_moving, fixation 2 moved from x:397.6 y:496.7 to x:397.6 y:480.0,1684799214.158266
auto_moving, fixation 3 moved from x:521.3 y:487.2 to x:521.3 y:480.0,1684799215.386181
auto_moving, fixation 4 moved from x:794.3 y:478.8 to x:794.3 y:480.0,1684799216.801118
auto_moving, fixation 5 moved from x:722.1 y:483.7 to x:722.1 y:480.0,1684799218.1538508
auto_moving, fixation 6 moved from x:1129.5 y:482.6 to x:1129.5 y:480.0,1684799219.625154
manual_moving, fixation 6 moved from x:1129.5 y:480.0 to x:1139.325107082596 y:480.08890961269105,1684799223.50017
auto_moving, fixation 7 moved from x:1011.8 y:483.5 to x:1011.8 y:480.0,1684799226.428247
auto_moving, fixation 8 moved from x:1242.6 y:490.7 to x:1242.6 y:480.0,1684799227.903744
auto_moving, fixation 9 moved from x:1324.2 y:491.0 to x:1324.2 y:480.0,1684799229.265936
auto_moving, fixation 10 moved from x:1480.3 y:488.1 to x:1480.3 y:480.0,1684799230.958378
auto_moving, fixation 11 moved from x:1423.6 y:485.7 to x:1423.6 y:480.0,1684799232.368447
auto_moving, fixation 12 moved from x:1595.5 y:488.5 to x:1595.5 y:480.0,1684799233.8132029
auto_moving, fixation 13 moved from x:453.2 y:579.6 to x:453.2 y:567.0,1684799235.261479
auto_moving, fixation 14 moved from x:397.4 y:564.0 to x:397.4 y:567.0,1684799236.690611
auto_moving, fixation 15 moved from x:577.3 y:559.1 to x:577.3 y:567.0,1684799237.938925
auto_moving, fixation 16 moved from x:752.9 y:560.0 to x:752.9 y:567.0,1684799239.210921
auto_moving, fixation 17 moved from x:994.7 y:543.4 to x:994.7 y:567.0,1684799240.498026
auto_moving, fixation 18 moved from x:694.3 y:564.3 to x:694.3 y:567.0,1684799241.8195572
auto_moving, fixation 19 moved from x:1061.9 y:542.6 to x:1061.9 y:567.0,1684799243.785186
auto_moving, fixation 20 moved from x:1190.7 y:545.9 to x:1190.7 y:567.0,1684799245.200917
auto_moving, fixation 21 moved from x:1334.1 y:541.7 to x:1334.1 y:567.0,1684799246.749353
Saved,Date 2023-05-22 Trial Name018_russian_multi_3_LargeFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Russian/LargeFont/multi/018_russian_multi_3_LargeFont/018_russian_multi_3.jpg Duration 49.79317092895508,1684799249.281278
Saved,Date 2023-05-22 Trial Name018_russian_multi_3_LargeFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Russian/LargeFont/multi/018_russian_multi_3_LargeFont/018_russian_multi_3.jpg Duration 49.988800048828125,1684799249.4769049
