event,event details,timestamp
started,,1684799264.62207
filter,removed fixations greater than 1000,1684799267.736201
filter,removed fixations less than 100,1684799269.408997
selected,algorithm Warp,1684799273.64955
manual_moving, fixation 0 moved from x:442.4 y:364.0 to x:443.06641082592677 y:397.24808957959294,1684799281.0701902
auto_moving, fixation 1 moved from x:329.9 y:33.8 to x:329.9 y:51.0,1684799285.823746
auto_moving, fixation 2 moved from x:242.3 y:33.9 to x:242.3 y:51.0,1684799287.0992022
auto_moving, fixation 3 moved from x:680.1 y:41.2 to x:680.1 y:51.0,1684799288.4261591
auto_moving, fixation 4 moved from x:750.7 y:39.2 to x:750.7 y:51.0,1684799289.73531
manual_moving, fixation 7 moved from x:757.9 y:272.8 to x:753.6270960880624 y:307.4906660934265,1684799305.7275891
auto_moving, fixation 8 moved from x:778.0 y:39.4 to x:778.0 y:51.0,1684799310.423124
auto_moving, fixation 9 moved from x:647.7 y:26.2 to x:647.7 y:51.0,1684799311.90337
auto_moving, fixation 10 moved from x:265.3 y:31.1 to x:265.3 y:51.0,1684799313.339566
auto_moving, fixation 11 moved from x:456.6 y:30.8 to x:456.6 y:51.0,1684799314.713943
auto_moving, fixation 12 moved from x:559.3 y:27.3 to x:559.3 y:51.0,1684799315.96657
auto_moving, fixation 13 moved from x:699.7 y:24.7 to x:699.7 y:51.0,1684799317.577153
auto_moving, fixation 14 moved from x:706.6 y:44.1 to x:706.6 y:51.0,1684799318.9829051
auto_moving, fixation 15 moved from x:671.5 y:34.9 to x:671.5 y:51.0,1684799320.342923
auto_moving, fixation 16 moved from x:736.0 y:38.5 to x:736.0 y:51.0,1684799321.712023
auto_moving, fixation 17 moved from x:671.3 y:35.7 to x:671.3 y:51.0,1684799323.04273
auto_moving, fixation 18 moved from x:727.8 y:36.4 to x:727.8 y:51.0,1684799324.296017
auto_moving, fixation 19 moved from x:946.0 y:10.5 to x:946.0 y:51.0,1684799325.857731
auto_moving, fixation 20 moved from x:870.2 y:14.2 to x:870.2 y:51.0,1684799327.29216
auto_moving, fixation 21 moved from x:974.0 y:13.4 to x:974.0 y:51.0,1684799328.6738229
auto_moving, fixation 22 moved from x:1100.9 y:39.8 to x:1100.9 y:51.0,1684799330.096231
auto_moving, fixation 23 moved from x:1214.8 y:57.8 to x:1214.8 y:51.0,1684799331.492059
auto_moving, fixation 24 moved from x:1308.1 y:50.6 to x:1308.1 y:51.0,1684799332.807818
manual_moving, fixation 24 moved from x:1308.1 y:51.0 to x:1301.1473793536775 y:50.78443492299061,1684799336.778643
auto_moving, fixation 25 moved from x:1419.8 y:-37.8 to x:1419.8 y:51.0,1684799339.2492301
auto_moving, fixation 26 moved from x:1603.9 y:-63.5 to x:1603.9 y:51.0,1684799344.4822679
auto_moving, fixation 27 moved from x:1635.6 y:-0.1 to x:1635.6 y:51.0,1684799345.909614
auto_moving, fixation 28 moved from x:312.8 y:155.0 to x:312.8 y:137.0,1684799347.708729
auto_moving, fixation 29 moved from x:240.4 y:142.6 to x:240.4 y:137.0,1684799349.031074
manual_moving, fixation 29 moved from x:240.4 y:137.0 to x:252.78067303525398 y:138.74670993943357,1684799353.735886
auto_moving, fixation 30 moved from x:447.6 y:128.0 to x:447.6 y:137.0,1684799356.08111
auto_moving, fixation 31 moved from x:396.1 y:130.9 to x:396.1 y:137.0,1684799357.588563
manual_moving, fixation 31 moved from x:396.1 y:137.0 to x:398.1876990828435 y:135.15641299998697,1684799364.386415
manual_moving, fixation 31 moved from x:398.1876990828435 y:135.15641299998697 to x:401.7779960222902 y:136.95156146971033,1684799368.843064
manual_moving, fixation 31 moved from x:401.7779960222902 y:136.95156146971033 to x:399.98284755256685 y:133.3612645302636,1684799372.3950489
manual_moving, fixation 31 moved from x:399.98284755256685 y:133.3612645302636 to x:399.98284755256685 y:135.15641299998697,1684799378.02436
auto_moving, fixation 32 moved from x:521.1 y:122.6 to x:521.1 y:137.0,1684799381.223187
auto_moving, fixation 33 moved from x:564.7 y:119.7 to x:564.7 y:137.0,1684799382.722723
auto_moving, fixation 34 moved from x:671.5 y:112.8 to x:671.5 y:137.0,1684799384.06765
auto_moving, fixation 35 moved from x:801.8 y:102.0 to x:801.8 y:137.0,1684799385.315073
auto_moving, fixation 36 moved from x:889.7 y:93.9 to x:889.7 y:137.0,1684799386.71564
manual_moving, fixation 36 moved from x:889.7 y:137.0 to x:904.419567544822 y:136.95156146971033,1684799392.8166242
auto_moving, fixation 37 moved from x:1008.7 y:97.8 to x:1008.7 y:137.0,1684799396.241339
auto_moving, fixation 38 moved from x:967.3 y:91.9 to x:967.3 y:137.0,1684799398.141006
manual_moving, fixation 37 moved from x:1008.7 y:137.0 to x:1019.3090696071149 y:136.95156146971033,1684799402.823135
auto_moving, fixation 39 moved from x:1209.9 y:138.2 to x:1209.9 y:137.0,1684799404.962187
auto_moving, fixation 40 moved from x:1393.8 y:154.3 to x:1393.8 y:137.0,1684799406.5309591
auto_moving, fixation 41 moved from x:1360.4 y:159.4 to x:1360.4 y:137.0,1684799407.8053288
auto_moving, fixation 42 moved from x:1518.1 y:106.2 to x:1518.1 y:137.0,1684799409.115652
auto_moving, fixation 43 moved from x:1601.4 y:59.7 to x:1601.4 y:137.0,1684799410.2886322
auto_moving, fixation 44 moved from x:182.7 y:215.4 to x:182.7 y:223.0,1684799412.227734
auto_moving, fixation 45 moved from x:391.7 y:200.7 to x:391.7 y:223.0,1684799413.7699158
auto_moving, fixation 46 moved from x:341.2 y:205.9 to x:341.2 y:223.0,1684799415.71078
manual_moving, fixation 46 moved from x:341.2 y:223.0 to x:355.1041358094837 y:219.52839107698344,1684799420.144908
auto_moving, fixation 47 moved from x:570.9 y:203.8 to x:570.9 y:223.0,1684799423.003913
auto_moving, fixation 48 moved from x:500.5 y:198.3 to x:500.5 y:223.0,1684799424.400563
manual_moving, fixation 48 moved from x:500.5 y:223.0 to x:507.6917557359665 y:224.9138364861534,1684799432.2755132
manual_moving, fixation 47 moved from x:570.9 y:223.0 to x:593.8588822826862 y:224.9138364861534,1684799436.830807
manual_moving, fixation 47 moved from x:593.8588822826862 y:224.9138364861534 to x:592.0637338129629 y:224.9138364861534,1684799439.1649652
auto_moving, fixation 49 moved from x:817.6 y:198.9 to x:817.6 y:223.0,1684799441.595073
auto_moving, fixation 50 moved from x:757.4 y:202.0 to x:757.4 y:223.0,1684799443.2691572
auto_moving, fixation 51 moved from x:756.0 y:213.5 to x:756.0 y:223.0,1684799444.7518778
auto_moving, fixation 52 moved from x:779.6 y:203.4 to x:779.6 y:223.0,1684799446.161685
auto_moving, fixation 53 moved from x:724.9 y:199.2 to x:724.9 y:223.0,1684799448.021968
manual_moving, fixation 53 moved from x:724.9 y:223.0 to x:714.1338297541492 y:223.11868801643004,1684799451.352187
auto_moving, fixation 54 moved from x:912.4 y:192.0 to x:912.4 y:223.0,1684799453.816631
auto_moving, fixation 55 moved from x:1016.4 y:204.5 to x:1016.4 y:223.0,1684799455.352544
auto_moving, fixation 56 moved from x:1229.2 y:229.6 to x:1229.2 y:223.0,1684799456.770719
auto_moving, fixation 57 moved from x:1185.0 y:233.2 to x:1185.0 y:223.0,1684799458.167547
auto_moving, fixation 58 moved from x:1342.9 y:240.2 to x:1342.9 y:223.0,1684799459.605937
auto_moving, fixation 59 moved from x:1524.0 y:247.8 to x:1524.0 y:223.0,1684799461.0538182
auto_moving, fixation 60 moved from x:1705.6 y:172.1 to x:1705.6 y:223.0,1684799462.48756
auto_moving, fixation 61 moved from x:1476.6 y:252.5 to x:1476.6 y:223.0,1684799464.1132429
manual_moving, fixation 61 moved from x:1476.6 y:223.0 to x:1471.6864839773937 y:221.32353954670668,1684799467.548436
manual_moving, fixation 61 moved from x:1471.6864839773937 y:221.32353954670668 to x:1469.8913355076704 y:223.11868801643004,1684799469.6373382
