event,event details,timestamp
started,,1684800541.764142
filter,removed fixations greater than 1000,1684800544.345713
filter,removed fixations less than 100,1684800545.461118
selected,algorithm Warp,1684800548.251858
auto_moving, fixation 0 moved from x:396.3 y:539.8 to x:396.3 y:527.0,1684800551.6751082
auto_moving, fixation 1 moved from x:275.9 y:542.4 to x:275.9 y:527.0,1684800552.9267788
auto_moving, fixation 2 moved from x:425.9 y:539.7 to x:425.9 y:527.0,1684800554.195333
auto_moving, fixation 3 moved from x:306.7 y:538.4 to x:306.7 y:527.0,1684800555.519459
auto_moving, fixation 4 moved from x:259.9 y:534.3 to x:259.9 y:527.0,1684800556.849747
auto_moving, fixation 5 moved from x:428.2 y:533.3 to x:428.2 y:527.0,1684800558.082439
auto_moving, fixation 6 moved from x:518.5 y:536.5 to x:518.5 y:527.0,1684800559.191217
auto_moving, fixation 7 moved from x:491.9 y:534.0 to x:491.9 y:527.0,1684800560.471766
auto_moving, fixation 8 moved from x:701.5 y:524.7 to x:701.5 y:527.0,1684800561.5913181
auto_moving, fixation 9 moved from x:663.7 y:530.4 to x:663.7 y:527.0,1684800562.814479
auto_moving, fixation 10 moved from x:718.4 y:523.6 to x:718.4 y:527.0,1684800565.4079769
auto_moving, fixation 11 moved from x:800.3 y:523.6 to x:800.3 y:527.0,1684800566.636509
auto_moving, fixation 12 moved from x:936.4 y:524.8 to x:936.4 y:527.0,1684800567.823963
auto_moving, fixation 13 moved from x:1123.8 y:521.7 to x:1123.8 y:527.0,1684800571.562496
auto_moving, fixation 14 moved from x:1256.2 y:518.9 to x:1256.2 y:527.0,1684800572.781051
auto_moving, fixation 15 moved from x:1380.7 y:523.9 to x:1380.7 y:527.0,1684800576.328168
auto_moving, fixation 16 moved from x:1491.2 y:530.9 to x:1491.2 y:527.0,1684800577.561218
auto_moving, fixation 17 moved from x:1610.5 y:528.1 to x:1610.5 y:527.0,1684800578.6220438
auto_moving, fixation 18 moved from x:1565.9 y:529.0 to x:1565.9 y:527.0,1684800579.726889
auto_moving, fixation 19 moved from x:983.7 y:520.0 to x:983.7 y:527.0,1684800580.848253
Saved,Date 2023-05-22 Trial Name018_russian_single_2_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Russian/MediumFont/single/018_russian_single_2_MediumFont/018_russian_single_2.jpg Duration 42.2244930267334,1684800583.98869
