event,event details,timestamp
started,,1684802049.632042
filter,removed fixations greater than 1000,1684802052.301976
filter,removed fixations less than 100,1684802053.646393
selected,algorithm Warp,1684802061.869271
auto_moving, fixation 0 moved from x:518.0 y:557.5 to x:518.0 y:531.0,1684802065.4825659
auto_moving, fixation 1 moved from x:453.5 y:553.8 to x:453.5 y:531.0,1684802066.72468
auto_moving, fixation 2 moved from x:532.6 y:555.0 to x:532.6 y:531.0,1684802067.9772742
auto_moving, fixation 3 moved from x:449.2 y:546.2 to x:449.2 y:531.0,1684802069.3101141
auto_moving, fixation 4 moved from x:431.0 y:543.8 to x:431.0 y:531.0,1684802070.647692
auto_moving, fixation 5 moved from x:561.7 y:540.7 to x:561.7 y:531.0,1684802072.0860312
auto_moving, fixation 6 moved from x:601.8 y:546.2 to x:601.8 y:531.0,1684802073.488299
auto_moving, fixation 7 moved from x:666.2 y:545.3 to x:666.2 y:531.0,1684802075.334147
auto_moving, fixation 8 moved from x:720.5 y:538.4 to x:720.5 y:531.0,1684802076.713381
auto_moving, fixation 9 moved from x:834.0 y:534.0 to x:834.0 y:531.0,1684802078.775552
auto_moving, fixation 10 moved from x:962.8 y:531.8 to x:962.8 y:531.0,1684802080.162206
auto_moving, fixation 11 moved from x:1071.2 y:531.4 to x:1071.2 y:531.0,1684802081.472939
auto_moving, fixation 12 moved from x:1116.1 y:531.5 to x:1116.1 y:531.0,1684802082.785899
auto_moving, fixation 13 moved from x:1179.6 y:531.7 to x:1179.6 y:531.0,1684802084.04279
manual_moving, fixation 14 moved from x:1232.6 y:531.8 to x:1234.635577016163 y:533.3981555077371,1684802088.8916879
manual_moving, fixation 15 moved from x:1301.0 y:526.2 to x:1313.7917300118374 y:531.7827238139478,1684802098.116574
auto_moving, fixation 16 moved from x:1342.6 y:524.4 to x:1342.6 y:531.0,1684802102.238529
auto_moving, fixation 17 moved from x:1258.6 y:528.4 to x:1258.6 y:531.0,1684802103.639025
auto_moving, fixation 18 moved from x:1291.1 y:531.5 to x:1291.1 y:531.0,1684802105.006135
auto_moving, fixation 19 moved from x:1376.0 y:533.1 to x:1376.0 y:531.0,1684802106.277565
auto_moving, fixation 20 moved from x:1357.0 y:532.8 to x:1357.0 y:531.0,1684802107.536972
auto_moving, fixation 21 moved from x:1399.4 y:532.3 to x:1399.4 y:531.0,1684802108.737161
auto_moving, fixation 22 moved from x:1448.7 y:534.0 to x:1448.7 y:531.0,1684802109.8823721
auto_moving, fixation 23 moved from x:1499.0 y:528.4 to x:1499.0 y:531.0,1684802111.366092
manual_moving, fixation 23 moved from x:1499.0 y:531.0 to x:1494.720079716236 y:533.3981555077371,1684802114.729271
manual_moving, fixation 23 moved from x:1494.720079716236 y:533.3981555077371 to x:1491.4892163286574 y:533.3981555077371,1684802117.744599
manual_moving, fixation 23 moved from x:1491.4892163286574 y:533.3981555077371 to x:1496.3355114100252 y:528.5518604263692,1684802121.897898
manual_moving, fixation 23 moved from x:1496.3355114100252 y:528.5518604263692 to x:1494.720079716236 y:533.3981555077371,1684802128.428062
manual_moving, fixation 23 moved from x:1494.720079716236 y:533.3981555077371 to x:1494.720079716236 y:530.1672921201585,1684802130.291786
auto_moving, fixation 24 moved from x:1431.4 y:531.0 to x:1431.4 y:531.0,1684802133.8394089
auto_moving, fixation 25 moved from x:945.4 y:534.4 to x:945.4 y:531.0,1684802135.3605492
Saved,Date 2023-05-22 Trial Name018_russian_single_7_SmallFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Russian/SmallFont/single/018_russian_single_7_SmallFont/018_russian_single_7.jpg Duration 89.39737391471863,1684802139.029474
