event,event details,timestamp
started,,1681444748.0732539
filter,removed fixations greater than 1000,1681444751.764684
filter,removed fixations less than 100,1681444753.691486
selected,algorithm Warp,1681444759.566772
auto_moving, fixation 0 moved from x:1034.1 y:554.7 to x:1034.1 y:481.0,1681444765.970192
auto_moving, fixation 1 moved from x:525.0 y:524.9 to x:525.0 y:481.0,1681444767.559298
auto_moving, fixation 2 moved from x:367.6 y:517.0 to x:367.6 y:481.0,1681444769.204072
auto_moving, fixation 3 moved from x:278.7 y:537.8 to x:278.7 y:481.0,1681444770.957373
auto_moving, fixation 4 moved from x:353.3 y:532.9 to x:353.3 y:481.0,1681444772.448202
auto_moving, fixation 5 moved from x:359.8 y:552.2 to x:359.8 y:481.0,1681444773.9864
auto_moving, fixation 6 moved from x:518.5 y:500.2 to x:518.5 y:481.0,1681444775.522125
auto_moving, fixation 7 moved from x:469.8 y:537.7 to x:469.8 y:481.0,1681444777.0087
auto_moving, fixation 8 moved from x:554.0 y:487.1 to x:554.0 y:481.0,1681444778.456554
auto_moving, fixation 9 moved from x:365.7 y:555.2 to x:365.7 y:481.0,1681444780.108169
auto_moving, fixation 10 moved from x:371.2 y:484.6 to x:371.2 y:481.0,1681444781.648921
auto_moving, fixation 11 moved from x:686.5 y:518.9 to x:686.5 y:481.0,1681444783.266004
auto_moving, fixation 12 moved from x:640.9 y:514.4 to x:640.9 y:481.0,1681444784.684852
auto_moving, fixation 13 moved from x:679.8 y:516.5 to x:679.8 y:481.0,1681444786.1319108
auto_moving, fixation 14 moved from x:625.3 y:516.7 to x:625.3 y:481.0,1681444787.5972202
auto_moving, fixation 15 moved from x:803.9 y:512.1 to x:803.9 y:481.0,1681444789.030817
auto_moving, fixation 16 moved from x:920.0 y:503.5 to x:920.0 y:481.0,1681444790.402244
auto_moving, fixation 17 moved from x:866.9 y:508.2 to x:866.9 y:481.0,1681444791.732713
auto_moving, fixation 18 moved from x:940.5 y:515.2 to x:940.5 y:481.0,1681444793.0282319
auto_moving, fixation 19 moved from x:605.3 y:494.0 to x:605.3 y:481.0,1681444794.4080262
auto_moving, fixation 20 moved from x:666.5 y:510.5 to x:666.5 y:481.0,1681444795.715007
auto_moving, fixation 21 moved from x:513.7 y:492.0 to x:513.7 y:481.0,1681444797.083235
auto_moving, fixation 22 moved from x:506.7 y:492.3 to x:506.7 y:481.0,1681444798.4477508
auto_moving, fixation 23 moved from x:1086.8 y:540.4 to x:1086.8 y:481.0,1681444799.750848
auto_moving, fixation 24 moved from x:1032.8 y:532.2 to x:1032.8 y:481.0,1681444801.07167
auto_moving, fixation 25 moved from x:1211.5 y:536.3 to x:1211.5 y:481.0,1681444802.3834188
auto_moving, fixation 26 moved from x:1160.9 y:540.2 to x:1160.9 y:481.0,1681444803.8350852
auto_moving, fixation 27 moved from x:1236.5 y:540.9 to x:1236.5 y:481.0,1681444805.203135
auto_moving, fixation 28 moved from x:1241.7 y:523.9 to x:1241.7 y:481.0,1681444806.525266
auto_moving, fixation 29 moved from x:1250.0 y:520.0 to x:1250.0 y:481.0,1681444807.832549
auto_moving, fixation 30 moved from x:1153.5 y:524.4 to x:1153.5 y:481.0,1681444809.192405
auto_moving, fixation 31 moved from x:1178.0 y:523.9 to x:1178.0 y:481.0,1681444810.572581
auto_moving, fixation 32 moved from x:1241.2 y:513.1 to x:1241.2 y:481.0,1681444811.930183
auto_moving, fixation 33 moved from x:1265.4 y:511.2 to x:1265.4 y:481.0,1681444813.2757928
auto_moving, fixation 34 moved from x:1311.0 y:518.8 to x:1311.0 y:481.0,1681444814.583863
auto_moving, fixation 35 moved from x:1396.2 y:519.4 to x:1396.2 y:481.0,1681444815.9699001
manual_moving, fixation 35 moved from x:1396.2 y:481.0 to x:1383.3744751439272 y:481.4836993114541,1681444824.016425
manual_moving, fixation 35 moved from x:1383.3744751439272 y:481.4836993114541 to x:1388.7786576152519 y:481.4836993114541,1681444826.663563
auto_moving, fixation 35 moved from x:1388.7786576152519 y:481.4836993114541 to x:1388.7786576152519 y:481.0,1681444840.630091
auto_moving, fixation 36 moved from x:1406.7 y:521.4 to x:1406.7 y:481.0,1681444842.17524
auto_moving, fixation 37 moved from x:1214.7 y:519.4 to x:1214.7 y:481.0,1681444844.05824
auto_moving, fixation 38 moved from x:1239.2 y:511.6 to x:1239.2 y:481.0,1681444845.758801
auto_moving, fixation 39 moved from x:1410.9 y:527.7 to x:1410.9 y:481.0,1681444847.397395
auto_moving, fixation 40 moved from x:1384.2 y:530.8 to x:1384.2 y:481.0,1681444850.8909
auto_moving, fixation 41 moved from x:1382.8 y:532.6 to x:1382.8 y:481.0,1681444852.592208
auto_moving, fixation 42 moved from x:1373.5 y:522.0 to x:1373.5 y:481.0,1681444854.4134452
auto_moving, fixation 43 moved from x:1430.8 y:509.5 to x:1430.8 y:481.0,1681444855.991773
auto_moving, fixation 44 moved from x:1417.4 y:505.1 to x:1417.4 y:481.0,1681444857.749115
auto_moving, fixation 45 moved from x:1483.9 y:505.5 to x:1483.9 y:481.0,1681444860.668169
auto_moving, fixation 46 moved from x:1425.3 y:505.9 to x:1425.3 y:481.0,1681444862.288051
