event,event details,timestamp
started,,1684806443.3684008
filter,removed fixations less than 100,1684806446.529328
filter,removed fixations greater than 1000,1684806448.29653
selected,algorithm Warp,1684806459.304855
auto_moving, fixation 0 moved from x:1119.6 y:523.2 to x:1119.6 y:530.0,1684806466.474773
auto_moving, fixation 1 moved from x:1542.4 y:520.0 to x:1542.4 y:530.0,1684806468.003489
auto_moving, fixation 2 moved from x:1567.0 y:530.8 to x:1567.0 y:530.0,1684806469.194741
auto_moving, fixation 3 moved from x:1523.5 y:523.4 to x:1523.5 y:530.0,1684806470.319744
auto_moving, fixation 4 moved from x:1490.8 y:519.6 to x:1490.8 y:530.0,1684806471.411019
auto_moving, fixation 5 moved from x:1585.7 y:523.8 to x:1585.7 y:530.0,1684806472.375077
auto_moving, fixation 6 moved from x:1550.9 y:525.3 to x:1550.9 y:530.0,1684806473.373339
auto_moving, fixation 7 moved from x:1513.0 y:524.2 to x:1513.0 y:530.0,1684806474.379854
auto_moving, fixation 8 moved from x:1483.0 y:521.3 to x:1483.0 y:530.0,1684806475.2728598
auto_moving, fixation 9 moved from x:1488.4 y:526.9 to x:1488.4 y:530.0,1684806476.2374039
auto_moving, fixation 10 moved from x:1563.0 y:522.7 to x:1563.0 y:530.0,1684806477.342554
auto_moving, fixation 11 moved from x:1579.7 y:524.0 to x:1579.7 y:530.0,1684806478.3805819
auto_moving, fixation 12 moved from x:1573.7 y:523.5 to x:1573.7 y:530.0,1684806479.457888
auto_moving, fixation 13 moved from x:1453.4 y:517.0 to x:1453.4 y:530.0,1684806496.828265
auto_moving, fixation 14 moved from x:1445.9 y:519.6 to x:1445.9 y:530.0,1684806498.388994
auto_moving, fixation 15 moved from x:1435.8 y:517.9 to x:1435.8 y:530.0,1684806499.614486
auto_moving, fixation 16 moved from x:1405.4 y:509.9 to x:1405.4 y:530.0,1684806500.7482638
auto_moving, fixation 17 moved from x:1362.4 y:519.1 to x:1362.4 y:530.0,1684806501.93423
auto_moving, fixation 18 moved from x:1328.4 y:515.4 to x:1328.4 y:530.0,1684806503.0780091
auto_moving, fixation 19 moved from x:1283.5 y:507.1 to x:1283.5 y:530.0,1684806504.21732
auto_moving, fixation 20 moved from x:1330.9 y:514.9 to x:1330.9 y:530.0,1684806505.311965
auto_moving, fixation 21 moved from x:1296.9 y:518.2 to x:1296.9 y:530.0,1684806506.3988988
auto_moving, fixation 22 moved from x:1267.6 y:509.6 to x:1267.6 y:530.0,1684806507.424617
auto_moving, fixation 23 moved from x:1265.7 y:507.5 to x:1265.7 y:530.0,1684806508.488456
auto_moving, fixation 24 moved from x:1275.2 y:531.6 to x:1275.2 y:530.0,1684806509.52758
auto_moving, fixation 25 moved from x:1337.0 y:517.8 to x:1337.0 y:530.0,1684806510.579576
auto_moving, fixation 26 moved from x:1351.6 y:519.5 to x:1351.6 y:530.0,1684806511.710918
auto_moving, fixation 27 moved from x:1313.2 y:513.8 to x:1313.2 y:530.0,1684806512.838665
auto_moving, fixation 28 moved from x:1337.0 y:512.2 to x:1337.0 y:530.0,1684806513.8814878
auto_moving, fixation 29 moved from x:1292.4 y:517.3 to x:1292.4 y:530.0,1684806515.0124722
auto_moving, fixation 30 moved from x:1264.3 y:516.8 to x:1264.3 y:530.0,1684806516.008578
auto_moving, fixation 31 moved from x:1242.3 y:522.8 to x:1242.3 y:530.0,1684806517.024178
auto_moving, fixation 32 moved from x:1218.4 y:519.2 to x:1218.4 y:530.0,1684806518.042938
auto_moving, fixation 33 moved from x:1216.5 y:523.0 to x:1216.5 y:530.0,1684806519.0942988
auto_moving, fixation 34 moved from x:1206.7 y:539.1 to x:1206.7 y:530.0,1684806520.2454982
auto_moving, fixation 35 moved from x:1182.3 y:522.2 to x:1182.3 y:530.0,1684806521.263773
auto_moving, fixation 36 moved from x:1157.6 y:524.5 to x:1157.6 y:530.0,1684806522.2891579
auto_moving, fixation 37 moved from x:1109.5 y:526.8 to x:1109.5 y:530.0,1684806528.351104
auto_moving, fixation 38 moved from x:1062.4 y:527.5 to x:1062.4 y:530.0,1684806529.506786
auto_moving, fixation 39 moved from x:1037.9 y:523.9 to x:1037.9 y:530.0,1684806530.658962
auto_moving, fixation 40 moved from x:1065.2 y:518.5 to x:1065.2 y:530.0,1684806531.9604008
auto_moving, fixation 41 moved from x:1069.0 y:520.2 to x:1069.0 y:530.0,1684806533.0870268
auto_moving, fixation 42 moved from x:1052.6 y:518.4 to x:1052.6 y:530.0,1684806534.31394
auto_moving, fixation 43 moved from x:1037.4 y:512.8 to x:1037.4 y:530.0,1684806535.527136
auto_moving, fixation 44 moved from x:1060.8 y:518.9 to x:1060.8 y:530.0,1684806537.088614
auto_moving, fixation 45 moved from x:998.1 y:517.4 to x:998.1 y:530.0,1684806538.267286
auto_moving, fixation 46 moved from x:952.6 y:519.4 to x:952.6 y:530.0,1684806539.4069
auto_moving, fixation 47 moved from x:906.4 y:514.4 to x:906.4 y:530.0,1684806540.6041322
auto_moving, fixation 48 moved from x:826.2 y:512.0 to x:826.2 y:530.0,1684806541.760258
auto_moving, fixation 49 moved from x:854.2 y:512.7 to x:854.2 y:530.0,1684806543.110909
auto_moving, fixation 50 moved from x:799.1 y:517.1 to x:799.1 y:530.0,1684806545.7475479
auto_moving, fixation 51 moved from x:852.9 y:508.2 to x:852.9 y:530.0,1684806547.0159109
auto_moving, fixation 52 moved from x:807.7 y:512.8 to x:807.7 y:530.0,1684806548.2345002
auto_moving, fixation 53 moved from x:812.1 y:523.0 to x:812.1 y:530.0,1684806549.41823
auto_moving, fixation 54 moved from x:794.9 y:522.7 to x:794.9 y:530.0,1684806550.5944362
auto_moving, fixation 55 moved from x:740.6 y:516.7 to x:740.6 y:530.0,1684806551.84211
auto_moving, fixation 56 moved from x:743.5 y:515.1 to x:743.5 y:530.0,1684806553.0414898
auto_moving, fixation 57 moved from x:730.7 y:515.2 to x:730.7 y:530.0,1684806554.2423282
auto_moving, fixation 58 moved from x:626.5 y:512.0 to x:626.5 y:530.0,1684806555.385793
auto_moving, fixation 59 moved from x:526.4 y:511.1 to x:526.4 y:530.0,1684806556.585216
manual_moving, fixation 58 moved from x:626.5 y:530.0 to x:641.7721453955004 y:531.7827238139478,1684806560.731366
auto_moving, fixation 60 moved from x:534.3 y:515.5 to x:534.3 y:530.0,1684806563.077256
auto_moving, fixation 61 moved from x:514.9 y:527.1 to x:514.9 y:530.0,1684806564.4285629
auto_moving, fixation 62 moved from x:469.3 y:515.5 to x:469.3 y:530.0,1684806565.616064
auto_moving, fixation 63 moved from x:428.2 y:510.3 to x:428.2 y:530.0,1684806566.817006
auto_moving, fixation 64 moved from x:393.8 y:507.8 to x:393.8 y:530.0,1684806568.0126212
auto_moving, fixation 65 moved from x:325.1 y:509.8 to x:325.1 y:530.0,1684806569.239087
manual_moving, fixation 64 moved from x:393.8 y:530.0 to x:375.2259159202705 y:528.5518604263692,1684806575.591605
