event,event details,timestamp
started,,1684802240.174061
filter,removed fixations greater than 1000,1684802243.134388
filter,removed fixations less than 100,1684802244.835541
filter,removed fixations less than 100,1684802245.262957
selected,algorithm Warp,1684802248.088789
auto_moving, fixation 0 moved from x:1462.4 y:483.5 to x:1462.4 y:480.0,1684802255.293377
auto_moving, fixation 1 moved from x:1642.2 y:484.6 to x:1642.2 y:480.0,1684802256.805781
auto_moving, fixation 2 moved from x:1654.0 y:486.9 to x:1654.0 y:480.0,1684802258.227951
auto_moving, fixation 3 moved from x:1649.8 y:479.6 to x:1649.8 y:480.0,1684802259.572505
auto_moving, fixation 4 moved from x:1680.4 y:483.4 to x:1680.4 y:480.0,1684802260.927192
auto_moving, fixation 5 moved from x:1630.9 y:484.6 to x:1630.9 y:480.0,1684802262.277576
auto_moving, fixation 6 moved from x:1688.3 y:480.5 to x:1688.3 y:480.0,1684802263.6528718
auto_moving, fixation 7 moved from x:1588.3 y:475.4 to x:1588.3 y:480.0,1684802265.043099
auto_moving, fixation 8 moved from x:1616.5 y:479.7 to x:1616.5 y:480.0,1684802266.436497
auto_moving, fixation 9 moved from x:1501.2 y:479.8 to x:1501.2 y:480.0,1684802268.458983
manual_moving, fixation 9 moved from x:1501.2 y:480.0 to x:1509.2589649603394 y:484.93520469405894,1684802272.72033
manual_moving, fixation 9 moved from x:1509.2589649603394 y:484.93520469405894 to x:1506.0281015727608 y:481.7043413064804,1684802274.8263412
auto_moving, fixation 10 moved from x:1475.1 y:483.1 to x:1475.1 y:480.0,1684802277.866179
manual_moving, fixation 10 moved from x:1475.1 y:480.0 to x:1460.7960141466613 y:480.08890961269105,1684802284.005067
auto_moving, fixation 11 moved from x:1417.4 y:478.1 to x:1417.4 y:480.0,1684802286.2953432
auto_moving, fixation 12 moved from x:1334.1 y:481.4 to x:1334.1 y:480.0,1684802287.87796
manual_moving, fixation 11 moved from x:1417.4 y:480.0 to x:1397.7941780888796 y:484.93520469405894,1684802295.24236
manual_moving, fixation 11 moved from x:1397.7941780888796 y:484.93520469405894 to x:1397.7941780888796 y:483.3197730002696,1684802300.8993201
auto_moving, fixation 13 moved from x:1339.3 y:476.5 to x:1339.3 y:480.0,1684802304.614018
auto_moving, fixation 14 moved from x:1311.8 y:478.5 to x:1311.8 y:480.0,1684802306.2705002
auto_moving, fixation 15 moved from x:1328.2 y:479.0 to x:1328.2 y:480.0,1684802309.842449
auto_moving, fixation 16 moved from x:1242.7 y:472.9 to x:1242.7 y:480.0,1684802311.282285
auto_moving, fixation 17 moved from x:1216.8 y:475.4 to x:1216.8 y:480.0,1684802313.139828
manual_moving, fixation 18 moved from x:1201.4 y:475.9 to x:1186.172626202485 y:483.3197730002696,1684802318.9391391
manual_moving, fixation 17 moved from x:1216.8 y:480.0 to x:1189.4034895900636 y:486.55063638784816,1684802326.5184371
manual_moving, fixation 19 moved from x:1203.7 y:477.1 to x:1187.7880578962743 y:483.3197730002696,1684802335.186618
auto_moving, fixation 20 moved from x:1208.8 y:473.6 to x:1208.8 y:480.0,1684802344.878122
auto_moving, fixation 21 moved from x:1230.7 y:475.9 to x:1230.7 y:480.0,1684802346.107852
auto_moving, fixation 22 moved from x:1200.3 y:478.5 to x:1200.3 y:480.0,1684802347.633916
