event,event details,timestamp
started,,1684804023.073667
filter,removed fixations greater than 1000,1684804025.3803892
filter,removed fixations less than 100,1684804026.7286248
selected,algorithm Warp,1684804072.130006
manual_moving, fixation 0 moved from x:955.0 y:523.2 to x:943.8578721340944 y:525.3209970387907,1684804080.8968792
auto_moving, fixation 1 moved from x:1586.0 y:287.0 to x:1586.0 y:266.0,1684804087.0703402
auto_moving, fixation 2 moved from x:1644.7 y:288.1 to x:1644.7 y:266.0,1684804090.271134
auto_moving, fixation 3 moved from x:1603.0 y:289.9 to x:1603.0 y:266.0,1684804091.665118
auto_moving, fixation 4 moved from x:1636.8 y:286.1 to x:1636.8 y:266.0,1684804093.3917718
auto_moving, fixation 5 moved from x:1610.1 y:291.0 to x:1610.1 y:266.0,1684804094.774494
auto_moving, fixation 6 moved from x:1616.9 y:282.7 to x:1616.9 y:266.0,1684804096.102144
auto_moving, fixation 7 moved from x:1547.4 y:289.7 to x:1547.4 y:266.0,1684804097.351957
auto_moving, fixation 8 moved from x:1486.1 y:294.2 to x:1486.1 y:266.0,1684804098.5353658
auto_moving, fixation 9 moved from x:1483.8 y:295.7 to x:1483.8 y:266.0,1684804099.8590772
auto_moving, fixation 10 moved from x:1471.7 y:286.2 to x:1471.7 y:266.0,1684804104.763179
auto_moving, fixation 11 moved from x:1383.4 y:275.0 to x:1383.4 y:266.0,1684804106.593838
auto_moving, fixation 12 moved from x:1340.0 y:276.2 to x:1340.0 y:266.0,1684804107.994377
manual_moving, fixation 13 moved from x:1301.1 y:275.8 to x:1312.1762983180483 y:270.08278942008576,1684804113.645618
manual_moving, fixation 14 moved from x:1299.4 y:278.8 to x:1289.5602546049984 y:265.2364943387179,1684804122.160012
auto_moving, fixation 15 moved from x:1244.2 y:275.3 to x:1244.2 y:266.0,1684804126.25828
auto_moving, fixation 16 moved from x:1198.2 y:267.8 to x:1198.2 y:266.0,1684804127.703916
auto_moving, fixation 17 moved from x:1168.4 y:259.3 to x:1168.4 y:266.0,1684804128.9457228
auto_moving, fixation 18 moved from x:1139.4 y:263.1 to x:1139.4 y:266.0,1684804130.319954
auto_moving, fixation 19 moved from x:1023.5 y:247.8 to x:1023.5 y:266.0,1684804132.993328
manual_moving, fixation 19 moved from x:1023.5 y:266.0 to x:1032.7066152925042 y:273.3136528076643,1684804138.184282
manual_moving, fixation 20 moved from x:1049.1 y:251.5 to x:1069.8615442496575 y:271.698221113875,1684804140.657783
auto_moving, fixation 22 moved from x:1057.7 y:256.6 to x:1057.7 y:266.0,1684804148.243511
auto_moving, fixation 23 moved from x:1041.2 y:255.2 to x:1041.2 y:266.0,1684804149.3805299
auto_moving, fixation 24 moved from x:930.0 y:241.0 to x:930.0 y:266.0,1684804155.5900328
manual_moving, fixation 25 moved from x:885.7 y:249.1 to x:900.241216401784 y:266.8519260325072,1684804161.9295812
manual_moving, fixation 26 moved from x:853.1 y:249.9 to x:853.3936972818951 y:266.8519260325072,1684804167.844649
manual_moving, fixation 27 moved from x:756.2 y:241.7 to x:766.1603858172743 y:262.00563095113944,1684804175.392202
manual_moving, fixation 28 moved from x:791.6 y:241.2 to x:790.3918612241134 y:263.62106264492866,1684804186.472265
manual_moving, fixation 29 moved from x:711.8 y:246.5 to x:716.082003309807 y:268.4673577262964,1684804195.136731
manual_moving, fixation 30 moved from x:686.1 y:242.1 to x:685.3888011278108 y:270.08278942008576,1684804213.7436101
manual_moving, fixation 31 moved from x:563.9 y:250.1 to x:562.615992399826 y:265.2364943387179,1684804222.404753
