event,event details,timestamp
started,,1684806753.571519
filter,removed fixations greater than 1000,1684806756.44016
filter,removed fixations less than 100,1684806757.695127
selected,algorithm Warp,1684806760.530325
auto_moving, fixation 0 moved from x:344.1 y:444.0 to x:344.1 y:479.0,1684806767.89728
auto_moving, fixation 1 moved from x:475.5 y:546.8 to x:475.5 y:479.0,1684806769.590416
manual_moving, fixation 2 moved from x:558.3 y:457.5 to x:567.4622874811939 y:478.47347791890184,1684806779.5414999
manual_moving, fixation 3 moved from x:555.5 y:453.0 to x:539.9999486867763 y:478.47347791890184,1684806789.302329
auto_moving, fixation 4 moved from x:821.5 y:474.4 to x:821.5 y:479.0,1684806793.169427
auto_moving, fixation 5 moved from x:1052.9 y:441.4 to x:1052.9 y:479.0,1684806794.636323
manual_moving, fixation 6 moved from x:786.8 y:454.3 to x:777.4684076737992 y:476.8580462251125,1684806799.8227131
auto_moving, fixation 7 moved from x:928.8 y:464.6 to x:928.8 y:479.0,1684806803.980246
auto_moving, fixation 8 moved from x:1219.0 y:444.0 to x:1219.0 y:479.0,1684806805.3732522
auto_moving, fixation 9 moved from x:1153.2 y:454.7 to x:1153.2 y:479.0,1684806806.7008462
auto_moving, fixation 10 moved from x:1152.0 y:461.4 to x:1152.0 y:479.0,1684806807.9993339
auto_moving, fixation 11 moved from x:1416.7 y:444.8 to x:1416.7 y:479.0,1684806809.405397
manual_moving, fixation 11 moved from x:1416.7 y:479.0 to x:1436.5645387398222 y:480.08890961269105,1684806813.566516
auto_moving, fixation 12 moved from x:1353.7 y:449.4 to x:1353.7 y:479.0,1684806815.220868
auto_moving, fixation 13 moved from x:1621.2 y:447.9 to x:1621.2 y:479.0,1684806816.699878
auto_moving, fixation 14 moved from x:1537.2 y:449.6 to x:1537.2 y:479.0,1684806818.004549
auto_moving, fixation 15 moved from x:1672.1 y:451.8 to x:1672.1 y:479.0,1684806819.282919
auto_moving, fixation 16 moved from x:1673.7 y:452.2 to x:1673.7 y:479.0,1684806820.627009
auto_moving, fixation 17 moved from x:302.6 y:546.8 to x:302.6 y:565.0,1684806822.099769
auto_moving, fixation 18 moved from x:221.3 y:534.9 to x:221.3 y:565.0,1684806823.4036522
auto_moving, fixation 19 moved from x:694.1 y:758.3 to x:694.1 y:565.0,1684806824.694942
auto_moving, fixation 20 moved from x:692.0 y:721.1 to x:692.0 y:565.0,1684806825.914133
auto_moving, fixation 21 moved from x:952.1 y:604.0 to x:952.1 y:565.0,1684806827.242649
auto_moving, fixation 22 moved from x:1281.7 y:568.5 to x:1281.7 y:565.0,1684806828.4513721
Saved,Date 2023-05-22 Trial Name010_vietnamese_multi_1_LargeFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Vietnamese/LargeFont/multi/010_vietnamese_multi_1_LargeFont/010_vietnamese_multi_1.jpg Duration 77.53675317764282,1684806831.108333
