event,event details,timestamp
started,,1684807059.958678
filter,removed fixations greater than 1000,1684807061.748637
filter,removed fixations less than 100,1684807063.370729
selected,algorithm Warp,1684807066.073537
auto_moving, fixation 0 moved from x:794.2 y:447.0 to x:794.2 y:461.0,1684807075.3419662
auto_moving, fixation 1 moved from x:749.1 y:455.7 to x:749.1 y:461.0,1684807076.917575
auto_moving, fixation 2 moved from x:684.3 y:538.8 to x:684.3 y:461.0,1684807078.3255732
auto_moving, fixation 3 moved from x:834.2 y:499.0 to x:834.2 y:461.0,1684807079.835746
auto_moving, fixation 4 moved from x:941.8 y:456.9 to x:941.8 y:461.0,1684807081.241054
auto_moving, fixation 5 moved from x:1006.6 y:436.5 to x:1006.6 y:461.0,1684807085.265911
auto_moving, fixation 6 moved from x:951.2 y:509.1 to x:951.2 y:527.0,1684807086.7485828
manual_moving, fixation 7 moved from x:949.8 y:514.9 to x:953.5504622968299 y:523.7055653450014,1684807091.87441
Saved,Date 2023-05-22 Trial Name010_vietnamese_paragraph1_2_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Vietnamese/MediumFont/paragraph1/010_vietnamese_paragraph1_2_MediumFont/010_vietnamese_paragraph1_2.jpg Duration 37.366639137268066,1684807097.325351
