event,event details,timestamp
started,,1684806887.407524
filter,removed fixations greater than 1000,1684806889.831632
filter,removed fixations less than 100,1684806891.994733
selected,algorithm Warp,1684806894.290169
manual_moving, fixation 0 moved from x:475.5 y:493.3 to x:486.69070279173036 y:523.7055653450014,1684806900.783555
auto_moving, fixation 0 moved from x:486.69070279173036 y:523.7055653450014 to x:486.69070279173036 y:522.5,1684806902.206828
auto_moving, fixation 1 moved from x:469.4 y:496.6 to x:469.4 y:522.0,1684806904.059814
auto_moving, fixation 2 moved from x:344.3 y:515.6 to x:344.3 y:522.0,1684806905.400152
auto_moving, fixation 3 moved from x:434.8 y:511.6 to x:434.8 y:522.0,1684806907.9102569
auto_moving, fixation 4 moved from x:551.1 y:523.1 to x:551.1 y:522.0,1684806909.293489
auto_moving, fixation 5 moved from x:655.4 y:526.7 to x:655.4 y:522.0,1684806911.722215
auto_moving, fixation 6 moved from x:879.8 y:510.5 to x:879.8 y:522.0,1684806912.8639622
auto_moving, fixation 7 moved from x:1213.2 y:509.6 to x:1213.2 y:522.0,1684806914.056441
auto_moving, fixation 8 moved from x:1110.2 y:522.2 to x:1110.2 y:522.0,1684806915.172448
auto_moving, fixation 9 moved from x:1407.7 y:508.2 to x:1407.7 y:522.0,1684806916.321897
auto_moving, fixation 10 moved from x:1350.9 y:522.9 to x:1350.9 y:522.0,1684806917.478543
auto_moving, fixation 11 moved from x:1283.3 y:532.9 to x:1283.3 y:522.0,1684806918.692804
manual_moving, fixation 10 moved from x:1350.9 y:522.0 to x:1362.2546808255156 y:522.0901336512121,1684806924.076725
manual_moving, fixation 9 moved from x:1407.7 y:522.0 to x:1418.7947901081402 y:520.4747019574229,1684806928.4656541
auto_moving, fixation 12 moved from x:1492.8 y:514.1 to x:1492.8 y:522.0,1684806930.399801
auto_moving, fixation 13 moved from x:1498.2 y:513.2 to x:1498.2 y:522.0,1684806931.57652
auto_moving, fixation 14 moved from x:604.8 y:555.7 to x:604.8 y:522.0,1684806932.983544
auto_moving, fixation 15 moved from x:900.6 y:572.5 to x:900.6 y:522.0,1684806934.215459
auto_moving, fixation 16 moved from x:853.0 y:540.3 to x:853.0 y:522.0,1684806935.668431
manual_moving, fixation 15 moved from x:900.6 y:522.0 to x:921.2418284210444 y:520.4747019574229,1684806939.2095912
auto_moving, fixation 17 moved from x:756.6 y:513.7 to x:756.6 y:522.0,1684806941.424852
auto_moving, fixation 18 moved from x:586.3 y:478.7 to x:586.3 y:522.0,1684806942.675273
auto_moving, fixation 19 moved from x:343.8 y:465.7 to x:343.8 y:522.0,1684806944.04038
manual_moving, fixation 18 moved from x:586.3 y:522.0 to x:601.3863530507687 y:522.0901336512121,1684806946.576826
auto_moving, fixation 20 moved from x:745.5 y:490.0 to x:745.5 y:522.0,1684806948.606127
auto_moving, fixation 21 moved from x:901.6 y:533.8 to x:901.6 y:522.0,1684806949.84847
auto_moving, fixation 22 moved from x:1090.9 y:530.1 to x:1090.9 y:522.0,1684806951.076542
auto_moving, fixation 23 moved from x:1394.7 y:518.6 to x:1394.7 y:522.0,1684806952.665914
auto_moving, fixation 24 moved from x:1123.0 y:529.5 to x:1123.0 y:522.0,1684806953.896832
auto_moving, fixation 25 moved from x:711.5 y:532.4 to x:711.5 y:522.0,1684806955.064476
auto_moving, fixation 26 moved from x:708.4 y:540.9 to x:708.4 y:522.0,1684806956.28175
auto_moving, fixation 27 moved from x:418.0 y:511.9 to x:418.0 y:522.0,1684806957.592305
auto_moving, fixation 28 moved from x:388.3 y:499.5 to x:388.3 y:522.0,1684806958.7887979
auto_moving, fixation 29 moved from x:342.2 y:481.7 to x:342.2 y:522.0,1684806960.060399
auto_moving, fixation 30 moved from x:335.6 y:449.8 to x:335.6 y:522.0,1684806961.3876858
auto_moving, fixation 31 moved from x:488.4 y:522.3 to x:488.4 y:522.0,1684806962.553886
auto_moving, fixation 32 moved from x:368.5 y:505.7 to x:368.5 y:522.0,1684806963.744444
auto_moving, fixation 33 moved from x:581.3 y:531.1 to x:581.3 y:522.0,1684806964.973658
auto_moving, fixation 34 moved from x:746.3 y:536.0 to x:746.3 y:522.0,1684806966.319136
auto_moving, fixation 35 moved from x:747.6 y:537.9 to x:747.6 y:522.0,1684806967.511698
auto_moving, fixation 36 moved from x:893.1 y:531.7 to x:893.1 y:522.0,1684806968.726666
auto_moving, fixation 37 moved from x:1217.5 y:522.6 to x:1217.5 y:522.0,1684806969.961236
Saved,Date 2023-05-22 Trial Name010_vietnamese_single_1_LargeFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Vietnamese/LargeFont/single/010_vietnamese_single_1_LargeFont/010_vietnamese_single_1.jpg Duration 85.57313895225525,1684806972.9807758
