event,event details,timestamp
started,,1683433855.6598742
selected,algorithm Warp,1683433864.089014
filter,removed fixations greater than 1000,1683433868.6579647
filter,removed fixations less than 100,1683433871.151359
auto_moving, fixation 0 moved from x:187.16666666666666 y:177.0 to x:187.16666666666666 y:169.0,1683433879.4059105
auto_moving, fixation 1 moved from x:294.5 y:170.07333333333332 to x:294.5 y:169.0,1683433881.5520413
auto_moving, fixation 2 moved from x:290.5 y:168.03333333333333 to x:290.5 y:169.0,1683433883.4807317
auto_moving, fixation 3 moved from x:394.1666666666667 y:181.07 to x:394.1666666666667 y:169.0,1683433885.6234388
auto_moving, fixation 4 moved from x:542.5 y:175.55333333333334 to x:542.5 y:169.0,1683433887.9016988
auto_moving, fixation 5 moved from x:649.1666666666666 y:178.62 to x:649.1666666666666 y:169.0,1683433890.2884321
auto_moving, fixation 6 moved from x:823.1666666666666 y:179.36 to x:823.1666666666666 y:169.0,1683433892.5658534
auto_moving, fixation 7 moved from x:408.1666666666667 y:173.21 to x:408.1666666666667 y:169.0,1683433894.8146513
auto_moving, fixation 8 moved from x:654.1666666666666 y:172.67 to x:654.1666666666666 y:169.0,1683433897.5548625
auto_moving, fixation 9 moved from x:824.1666666666666 y:183.37 to x:824.1666666666666 y:169.0,1683433900.0980017
auto_moving, fixation 10 moved from x:997.1666666666666 y:174.1 to x:997.1666666666666 y:169.0,1683433902.2634711
auto_moving, fixation 11 moved from x:191.16666666666666 y:229.04 to x:191.16666666666666 y:219.0,1683433904.1337228
auto_moving, fixation 12 moved from x:312.5 y:218.25333333333333 to x:312.5 y:219.0,1683433906.19623
auto_moving, fixation 13 moved from x:403.5 y:231.16333333333333 to x:403.5 y:219.0,1683433908.1171467
auto_moving, fixation 14 moved from x:564.8333333333334 y:222.77666666666667 to x:564.8333333333334 y:219.0,1683433909.9761975
auto_moving, fixation 15 moved from x:709.1666666666666 y:220.22 to x:709.1666666666666 y:219.0,1683433911.8679216
auto_moving, fixation 16 moved from x:881.5 y:226.94333333333333 to x:881.5 y:219.0,1683433914.0068266
auto_moving, fixation 17 moved from x:234.5 y:270.47333333333336 to x:234.5 y:268.0,1683433916.1687212
auto_moving, fixation 18 moved from x:335.1666666666667 y:267.48 to x:335.1666666666667 y:268.0,1683433918.0076828
auto_moving, fixation 19 moved from x:558.1666666666666 y:280.71 to x:558.1666666666666 y:268.0,1683433920.0542662
auto_moving, fixation 20 moved from x:646.1666666666666 y:267.59 to x:646.1666666666666 y:268.0,1683433921.9035764
auto_moving, fixation 21 moved from x:776.8333333333334 y:274.89666666666665 to x:776.8333333333334 y:268.0,1683433923.6978602
auto_moving, fixation 22 moved from x:267.5 y:321.80333333333334 to x:267.5 y:318.0,1683433925.7360294
auto_moving, fixation 23 moved from x:345.1666666666667 y:323.58 to x:345.1666666666667 y:318.0,1683433927.6678529
auto_moving, fixation 24 moved from x:479.5 y:330.92333333333335 to x:479.5 y:318.0,1683433929.3666148
auto_moving, fixation 25 moved from x:583.1666666666666 y:328.96 to x:583.1666666666666 y:318.0,1683433931.2236764
auto_moving, fixation 26 moved from x:669.8333333333334 y:330.82666666666665 to x:669.8333333333334 y:318.0,1683433932.9926996
auto_moving, fixation 27 moved from x:739.5 y:327.5233333333333 to x:739.5 y:318.0,1683433934.5261521
auto_moving, fixation 28 moved from x:970.8333333333334 y:327.83666666666664 to x:970.8333333333334 y:318.0,1683433935.6591094
auto_moving, fixation 29 moved from x:357.1666666666667 y:327.7 to x:357.1666666666667 y:318.0,1683433936.7825437
auto_moving, fixation 30 moved from x:477.5 y:328.9033333333333 to x:477.5 y:318.0,1683433939.7315059
auto_moving, fixation 31 moved from x:585.1666666666666 y:331.98 to x:585.1666666666666 y:318.0,1683433941.9465773
auto_moving, fixation 32 moved from x:675.8333333333334 y:313.88666666666666 to x:675.8333333333334 y:318.0,1683433943.879524
auto_moving, fixation 33 moved from x:742.5 y:329.55333333333334 to x:742.5 y:318.0,1683433945.0977895
auto_moving, fixation 34 moved from x:827.1666666666666 y:320.4 to x:827.1666666666666 y:318.0,1683433946.2937884
auto_moving, fixation 35 moved from x:952.8333333333334 y:322.6566666666667 to x:952.8333333333334 y:318.0,1683433947.5590215
auto_moving, fixation 36 moved from x:165.83333333333334 y:364.7866666666667 to x:165.83333333333334 y:368.0,1683433949.1516962
auto_moving, fixation 37 moved from x:252.5 y:365.6533333333333 to x:252.5 y:368.0,1683433951.1897395
auto_moving, fixation 38 moved from x:306.5 y:378.1933333333333 to x:306.5 y:368.0,1683433955.3169067
auto_moving, fixation 39 moved from x:422.8333333333333 y:366.3566666666667 to x:422.8333333333333 y:368.0,1683433957.361793
auto_moving, fixation 40 moved from x:555.1666666666666 y:373.68 to x:555.1666666666666 y:368.0,1683433959.5052185
auto_moving, fixation 41 moved from x:685.8333333333334 y:364.9866666666667 to x:685.8333333333334 y:368.0,1683433961.5468779
auto_moving, fixation 42 moved from x:788.1666666666666 y:366.01 to x:788.1666666666666 y:368.0,1683433963.4330602
auto_moving, fixation 43 moved from x:1014.1666666666666 y:385.27 to x:1014.1666666666666 y:368.0,1683433965.712473
auto_moving, fixation 44 moved from x:197.83333333333334 y:419.1066666666667 to x:197.83333333333334 y:417.0,1683433968.033722
auto_moving, fixation 45 moved from x:340.8333333333333 y:414.5366666666667 to x:340.8333333333333 y:417.0,1683433970.1956809
auto_moving, fixation 46 moved from x:574.8333333333334 y:425.87666666666667 to x:574.8333333333334 y:417.0,1683433972.311916
auto_moving, fixation 47 moved from x:642.1666666666666 y:412.55 to x:642.1666666666666 y:417.0,1683433974.144652
auto_moving, fixation 48 moved from x:752.8333333333334 y:424.6566666666667 to x:752.8333333333334 y:417.0,1683433976.1378038
Saved,Date 2023-05-07 Trial Namedroop_error_10_robot_1.json File Path C:/Users/Zaynab Tariq/Downloads/fix8/fix8-main/golden_set/Synthetic_Randomized/droop_synthetic_dataset/synthetic_text.png Duration 124.263498544693,1683433979.9233727
