event,event details,timestamp
started,,1683437391.8166761
selected,algorithm Warp,1683437395.8802774
filter,removed fixations greater than 1000,1683437397.7733474
filter,removed fixations less than 100,1683437400.2849743
auto_moving, fixation 0 moved from x:216.17 y:191.0 to x:216.17 y:169.0,1683437403.7439413
auto_moving, fixation 1 moved from x:322.5 y:192.0 to x:322.5 y:169.0,1683437405.327518
auto_moving, fixation 2 moved from x:428.17 y:198.0 to x:428.17 y:169.0,1683437406.2826145
auto_moving, fixation 3 moved from x:559.5 y:207.0 to x:559.5 y:169.0,1683437407.1924384
auto_moving, fixation 4 moved from x:672.17 y:202.0 to x:672.17 y:169.0,1683437408.1991858
auto_moving, fixation 5 moved from x:857.17 y:193.0 to x:857.17 y:169.0,1683437409.1253264
auto_moving, fixation 6 moved from x:1010.17 y:202.0 to x:1010.17 y:169.0,1683437410.0672975
auto_moving, fixation 7 moved from x:211.17 y:249.0 to x:211.17 y:219.0,1683437411.0174813
auto_moving, fixation 8 moved from x:335.5 y:243.0 to x:335.5 y:219.0,1683437412.0130851
auto_moving, fixation 9 moved from x:439.5 y:251.0 to x:439.5 y:219.0,1683437412.9671242
auto_moving, fixation 10 moved from x:605.83 y:239.0 to x:605.83 y:219.0,1683437413.9164665
auto_moving, fixation 11 moved from x:749.17 y:242.0 to x:749.17 y:219.0,1683437414.8667338
auto_moving, fixation 12 moved from x:800.17 y:259.0 to x:800.17 y:219.0,1683437415.820047
auto_moving, fixation 13 moved from x:906.5 y:248.0 to x:906.5 y:219.0,1683437416.7804606
auto_moving, fixation 14 moved from x:189.17 y:298.0 to x:189.17 y:268.0,1683437417.7417903
auto_moving, fixation 15 moved from x:249.5 y:303.0 to x:249.5 y:268.0,1683437418.6928556
auto_moving, fixation 16 moved from x:361.17 y:302.0 to x:361.17 y:268.0,1683437419.6430218
auto_moving, fixation 17 moved from x:584.17 y:292.0 to x:584.17 y:268.0,1683437420.6016395
auto_moving, fixation 18 moved from x:665.17 y:302.0 to x:665.17 y:268.0,1683437421.5607183
auto_moving, fixation 19 moved from x:809.83 y:288.0 to x:809.83 y:268.0,1683437422.5128698
auto_moving, fixation 20 moved from x:461.17 y:308.0 to x:461.17 y:268.0,1683437423.4805517
auto_moving, fixation 21 moved from x:665.17 y:293.0 to x:665.17 y:268.0,1683437424.461807
auto_moving, fixation 22 moved from x:816.83 y:295.0 to x:816.83 y:268.0,1683437425.4124491
auto_moving, fixation 23 moved from x:969.17 y:302.0 to x:969.17 y:268.0,1683437426.3841455
auto_moving, fixation 24 moved from x:192.17 y:342.0 to x:192.17 y:318.0,1683437427.3412113
auto_moving, fixation 25 moved from x:365.17 y:299.0 to x:365.17 y:318.0,1683437428.3052304
manual_moving, fixation 5 moved from x:857.17 y:169.0 to x:842.3752241175818 y:167.76720482157714,1683437435.198597
manual_moving, fixation 11 moved from x:749.17 y:219.0 to x:732.4825369337592 y:218.41339978455625,1683437438.5922322
manual_moving, fixation 14 moved from x:189.17 y:268.0 to x:178.2411580936104 y:268.1040061633282,1683437444.1436255
auto_moving, fixation 26 moved from x:457.17 y:291.0 to x:457.17 y:318.0,1683437455.2843053
auto_moving, fixation 27 moved from x:683.17 y:292.0 to x:683.17 y:318.0,1683437457.5763497
auto_moving, fixation 28 moved from x:812.83 y:298.0 to x:812.83 y:318.0,1683437459.205803
manual_moving, fixation 28 moved from x:812.83 y:318.0 to x:825.1746296018531 y:315.88343537368587,1683437464.9076936
auto_moving, fixation 28 moved from x:825.1746296018531 y:315.88343537368587 to x:825.1746296018531 y:318.0,1683437467.339713
auto_moving, fixation 29 moved from x:964.17 y:306.0 to x:964.17 y:318.0,1683437469.137803
auto_moving, fixation 30 moved from x:286.5 y:355.0 to x:286.5 y:318.0,1683437471.1112368
auto_moving, fixation 31 moved from x:391.17 y:351.0 to x:391.17 y:318.0,1683437472.6789277
auto_moving, fixation 32 moved from x:502.5 y:352.0 to x:502.5 y:318.0,1683437474.18048
auto_moving, fixation 33 moved from x:785.5 y:357.0 to x:785.5 y:318.0,1683437476.1072898
auto_moving, fixation 34 moved from x:856.17 y:358.0 to x:856.17 y:318.0,1683437477.6882968
auto_moving, fixation 35 moved from x:995.83 y:357.0 to x:995.83 y:318.0,1683437479.3181522
auto_moving, fixation 36 moved from x:268.5 y:406.0 to x:268.5 y:368.0,1683437481.2121027
auto_moving, fixation 37 moved from x:346.5 y:403.0 to x:346.5 y:368.0,1683437482.7606907
auto_moving, fixation 38 moved from x:445.83 y:402.0 to x:445.83 y:368.0,1683437484.3746357
auto_moving, fixation 39 moved from x:578.17 y:400.0 to x:578.17 y:368.0,1683437485.9243886
auto_moving, fixation 40 moved from x:822.17 y:393.0 to x:822.17 y:368.0,1683437487.6465209
manual_moving, fixation 41 moved from x:982.17 y:395.0 to x:977.1132144907904 y:368.4408075050793,1683437492.4053793
auto_moving, fixation 41 moved from x:977.1132144907904 y:368.4408075050793 to x:977.1132144907904 y:368.0,1683437494.7398956
auto_moving, fixation 42 moved from x:1036.17 y:405.0 to x:1036.17 y:368.0,1683437496.3859208
auto_moving, fixation 43 moved from x:210.83 y:444.0 to x:210.83 y:417.0,1683437498.0119476
auto_moving, fixation 44 moved from x:375.83 y:451.0 to x:375.83 y:417.0,1683437499.6069684
auto_moving, fixation 45 moved from x:512.17 y:437.0 to x:512.17 y:417.0,1683437501.2688792
auto_moving, fixation 46 moved from x:603.83 y:444.0 to x:603.83 y:417.0,1683437502.8475628
auto_moving, fixation 47 moved from x:672.17 y:455.0 to x:672.17 y:417.0,1683437504.4754732
auto_moving, fixation 48 moved from x:778.83 y:457.0 to x:778.83 y:417.0,1683437506.1328704
Saved,Date 2023-05-07 Trial Nameoffset_error_30_robot23.json File Path C:/Users/Zaynab Tariq/Downloads/fix8/fix8-main/golden_set/Synthetic_Randomized/offset_synthetic_dataset/synthetic_text.png Duration 117.3682963848114,1683437509.1849725
Saved,Date 2023-05-07 Trial Nameoffset_error_30_robot23.json File Path C:/Users/Zaynab Tariq/Downloads/fix8/fix8-main/golden_set/Synthetic_Randomized/offset_synthetic_dataset/synthetic_text.png Duration 117.57923555374146,1683437509.3959117
