event,event details,timestamp
started,,1683516117.319256
selected,algorithm Warp,1683516121.798237
filter,removed fixations greater than 1000,1683516123.8219745
filter,removed fixations less than 100,1683516126.8987806
auto_moving, fixation 0 moved from x:176.16666666666666 y:175.0 to x:176.16666666666666 y:169.0,1683516129.6651566
auto_moving, fixation 1 moved from x:295.5 y:169.0 to x:295.5 y:169.0,1683516131.1553833
auto_moving, fixation 2 moved from x:399.1666666666667 y:161.0 to x:399.1666666666667 y:169.0,1683516132.0362647
auto_moving, fixation 3 moved from x:478.5 y:168.0 to x:478.5 y:169.0,1683516132.9492137
auto_moving, fixation 4 moved from x:547.5 y:177.0 to x:547.5 y:169.0,1683516133.8763254
auto_moving, fixation 5 moved from x:640.1666666666666 y:168.0 to x:640.1666666666666 y:169.0,1683516134.7966228
auto_moving, fixation 6 moved from x:813.1666666666666 y:176.0 to x:813.1666666666666 y:169.0,1683516135.6962264
auto_moving, fixation 7 moved from x:303.5 y:179.0 to x:303.5 y:169.0,1683516136.6094382
auto_moving, fixation 8 moved from x:395.1666666666667 y:178.0 to x:395.1666666666667 y:169.0,1683516137.528211
auto_moving, fixation 9 moved from x:467.5 y:167.0 to x:467.5 y:169.0,1683516138.4424229
auto_moving, fixation 10 moved from x:414.1666666666667 y:173.0 to x:414.1666666666667 y:169.0,1683516139.3785276
auto_moving, fixation 11 moved from x:465.5 y:160.0 to x:465.5 y:169.0,1683516140.3739643
auto_moving, fixation 12 moved from x:479.5 y:169.0 to x:479.5 y:169.0,1683516141.3370194
auto_moving, fixation 13 moved from x:535.5 y:163.0 to x:535.5 y:169.0,1683516142.2777445
auto_moving, fixation 14 moved from x:534.5 y:175.0 to x:534.5 y:169.0,1683516143.2199965
auto_moving, fixation 15 moved from x:651.1666666666666 y:167.0 to x:651.1666666666666 y:169.0,1683516144.155942
auto_moving, fixation 16 moved from x:400.1666666666667 y:160.0 to x:400.1666666666667 y:169.0,1683516145.2242787
auto_moving, fixation 17 moved from x:462.5 y:164.0 to x:462.5 y:169.0,1683516146.2509215
auto_moving, fixation 18 moved from x:467.5 y:166.0 to x:467.5 y:169.0,1683516147.2634878
auto_moving, fixation 19 moved from x:528.5 y:167.0 to x:528.5 y:169.0,1683516148.2715986
auto_moving, fixation 20 moved from x:537.5 y:169.0 to x:537.5 y:169.0,1683516149.2806234
auto_moving, fixation 21 moved from x:646.1666666666666 y:165.0 to x:646.1666666666666 y:169.0,1683516150.2906349
auto_moving, fixation 22 moved from x:808.1666666666666 y:169.0 to x:808.1666666666666 y:169.0,1683516151.3690565
auto_moving, fixation 23 moved from x:396.1666666666667 y:174.0 to x:396.1666666666667 y:169.0,1683516152.4181237
auto_moving, fixation 24 moved from x:400.1666666666667 y:167.0 to x:400.1666666666667 y:169.0,1683516153.4536636
auto_moving, fixation 25 moved from x:398.1666666666667 y:170.0 to x:398.1666666666667 y:169.0,1683516154.4842172
auto_moving, fixation 26 moved from x:409.1666666666667 y:165.0 to x:409.1666666666667 y:169.0,1683516155.5098972
auto_moving, fixation 27 moved from x:403.1666666666667 y:178.0 to x:403.1666666666667 y:169.0,1683516156.543491
auto_moving, fixation 28 moved from x:462.5 y:174.0 to x:462.5 y:169.0,1683516157.5586584
auto_moving, fixation 29 moved from x:539.5 y:176.0 to x:539.5 y:169.0,1683516158.6264236
auto_moving, fixation 30 moved from x:643.1666666666666 y:169.0 to x:643.1666666666666 y:169.0,1683516159.635056
auto_moving, fixation 31 moved from x:531.5 y:169.0 to x:531.5 y:169.0,1683516160.6195853
auto_moving, fixation 32 moved from x:652.1666666666666 y:172.0 to x:652.1666666666666 y:169.0,1683516161.5761619
auto_moving, fixation 33 moved from x:302.5 y:178.0 to x:302.5 y:169.0,1683516162.5430634
auto_moving, fixation 34 moved from x:410.1666666666667 y:171.0 to x:410.1666666666667 y:169.0,1683516163.542607
auto_moving, fixation 35 moved from x:469.5 y:170.0 to x:469.5 y:169.0,1683516164.554602
auto_moving, fixation 36 moved from x:536.5 y:162.0 to x:536.5 y:169.0,1683516165.5626495
auto_moving, fixation 37 moved from x:651.1666666666666 y:171.0 to x:651.1666666666666 y:169.0,1683516166.578375
auto_moving, fixation 38 moved from x:808.1666666666666 y:166.0 to x:808.1666666666666 y:169.0,1683516167.5828822
auto_moving, fixation 39 moved from x:816.1666666666666 y:163.0 to x:816.1666666666666 y:169.0,1683516168.5840273
auto_moving, fixation 40 moved from x:883.5 y:160.0 to x:883.5 y:169.0,1683516169.558308
auto_moving, fixation 41 moved from x:644.1666666666666 y:176.0 to x:644.1666666666666 y:169.0,1683516170.557256
auto_moving, fixation 42 moved from x:463.5 y:172.0 to x:463.5 y:169.0,1683516171.5633674
