event,event details,timestamp
started,,1682388444.2456665
filter,removed fixations greater than 1000,1682388445.4929285
filter,removed fixations less than 100,1682388446.9009414
selected,algorithm Attach,1682388449.2391307
auto_moving, fixation 0 moved from x:55.3 y:400.6 to x:55.3 y:385.0,1682388453.7897727
auto_moving, fixation 1 moved from x:125.4 y:417.6 to x:125.4 y:385.0,1682388455.6372113
auto_moving, fixation 2 moved from x:196.6 y:430.4 to x:196.6 y:385.0,1682388458.8765893
manual_moving, fixation 3 moved from x:264.2 y:437.7 to x:260.8017527918763 y:384.0822249771807,1682388464.2569318
manual_moving, fixation 4 moved from x:332.1 y:444.2 to x:325.5434432076721 y:384.39199383084474,1682388475.9875777
auto_moving, fixation 5 moved from x:391.5 y:449.2 to x:391.5 y:385.0,1682388479.3654292
auto_moving, fixation 6 moved from x:474.6 y:452.2 to x:474.6 y:385.0,1682388483.4848704
manual_moving, fixation 7 moved from x:451.7 y:452.1 to x:446.97283384399725 y:385.32130039183704,1682388489.9721932
manual_moving, fixation 8 moved from x:65.1 y:409.2 to x:72.1525209104426 y:384.7017626845089,1682388527.0331812
auto_moving, fixation 9 moved from x:36.7 y:396.3 to x:36.7 y:385.0,1682388530.7497976
auto_moving, fixation 10 moved from x:113.3 y:421.4 to x:113.3 y:385.0,1682388534.900705
auto_moving, fixation 11 moved from x:202.3 y:433.8 to x:202.3 y:385.0,1682388538.7019663
manual_moving, fixation 12 moved from x:276.1 y:440.3 to x:283.72464796301927 y:383.77245612351663,1682388543.8421755
manual_moving, fixation 13 moved from x:336.3 y:448.5 to x:343.2002678665255 y:385.01153153817313,1682388556.4492629
manual_moving, fixation 14 moved from x:400.7 y:459.2 to x:394.6218975747652 y:384.39199383084497,1682388567.0393734
auto_moving, fixation 15 moved from x:390.2 y:462.8 to x:390.2 y:385.0,1682388571.438191
Saved,Date 2023-04-24 Trial Nametrial_9_participant_7_2370169755802222682.json File Path D:/Tax Documents/fix8-main-April-1st/fix8-main/golden_set/AlMadi2018_new/stimulus_2370169755802222682/stimulus_2370169755802222682.png Duration 130.54572439193726,1682388574.791391
