event,event details,timestamp
started,,1681492544.651203
filter,removed fixations less than 100,1681492546.6927462
filter,removed fixations greater than 1000,1681492548.1598842
selected,algorithm Attach,1681492550.9093773
auto_moving, fixation 0 moved from x:819.0461538 y:73.28692308 to x:819.0461538 y:66.0,1681492556.5476553
auto_moving, fixation 1 moved from x:817.9154545 y:68.00575758 to x:817.9154545 y:66.0,1681492557.888108
auto_moving, fixation 2 moved from x:778.0231579 y:73.39052632 to x:778.0231579 y:66.0,1681492559.4985495
auto_moving, fixation 3 moved from x:714.8013333 y:99.82844444 to x:714.8013333 y:108.0,1681492560.970905
auto_moving, fixation 4 moved from x:798.1848718 y:114.49589740000002 to x:798.1848718 y:108.0,1681492562.5109246
auto_moving, fixation 5 moved from x:861.6883870999999 y:113.0483871 to x:861.6883870999999 y:108.0,1681492564.0136795
auto_moving, fixation 6 moved from x:739.9121875 y:92.275625 to x:739.9121875 y:108.0,1681492565.5402577
auto_moving, fixation 7 moved from x:744.584 y:101.66228570000001 to x:744.584 y:108.0,1681492566.96464
auto_moving, fixation 8 moved from x:701.8639393999999 y:98.13333333 to x:701.8639393999999 y:108.0,1681492568.3898613
auto_moving, fixation 9 moved from x:817.2059574 y:95.01542553 to x:817.2059574 y:108.0,1681492569.784166
auto_moving, fixation 10 moved from x:870.8630864 y:108.51753090000001 to x:870.8630864 y:108.0,1681492571.1709888
auto_moving, fixation 11 moved from x:788.5815253999999 y:98.40406779999999 to x:788.5815253999999 y:108.0,1681492572.6132734
auto_moving, fixation 12 moved from x:721.4526786 y:101.2510714 to x:721.4526786 y:108.0,1681492574.0529513
auto_moving, fixation 13 moved from x:812.1427083 y:98.39770833 to x:812.1427083 y:108.0,1681492575.2901194
auto_moving, fixation 14 moved from x:770.3746512 y:154.41883719999998 to x:770.3746512 y:150.0,1681492576.744624
auto_moving, fixation 15 moved from x:738.9519231 y:147.3934615 to x:738.9519231 y:150.0,1681492578.1643896
auto_moving, fixation 16 moved from x:895.7670455 y:149.4954545 to x:895.7670455 y:150.0,1681492579.5415194
auto_moving, fixation 17 moved from x:895.1996875 y:147.2890625 to x:895.1996875 y:150.0,1681492580.9049518
auto_moving, fixation 18 moved from x:948.1473332999999 y:141.763 to x:948.1473332999999 y:150.0,1681492582.257171
auto_moving, fixation 19 moved from x:950.5882353000001 y:138.80029409999997 to x:950.5882353000001 y:150.0,1681492583.5585523
auto_moving, fixation 20 moved from x:951.6183871 y:139.7996774 to x:951.6183871 y:150.0,1681492584.9191728
auto_moving, fixation 21 moved from x:706.8520252999999 y:153.7760759 to x:706.8520252999999 y:150.0,1681492586.4421895
auto_moving, fixation 22 moved from x:773.1832258 y:134.94967739999998 to x:773.1832258 y:150.0,1681492588.026268
auto_moving, fixation 23 moved from x:743.5366667000001 y:141.637 to x:743.5366667000001 y:150.0,1681492589.4366972
auto_moving, fixation 24 moved from x:721.6865713999999 y:152.7002857 to x:721.6865713999999 y:150.0,1681492590.8658895
auto_moving, fixation 25 moved from x:793.2780247000001 y:141.72654319999998 to x:793.2780247000001 y:150.0,1681492592.2934592
auto_moving, fixation 26 moved from x:911.0375 y:140.381875 to x:911.0375 y:150.0,1681492593.7304652
auto_moving, fixation 27 moved from x:867.1614706 y:145.2885294 to x:867.1614706 y:150.0,1681492595.139912
auto_moving, fixation 28 moved from x:761.430303 y:220.1 to x:761.430303 y:214.0,1681492596.5530715
auto_moving, fixation 29 moved from x:717.8101818 y:208.4289091 to x:717.8101818 y:214.0,1681492597.8981218
auto_moving, fixation 30 moved from x:925.7984375 y:195.1578125 to x:925.7984375 y:214.0,1681492599.238324
auto_moving, fixation 31 moved from x:925.7984375 y:195.1578125 to x:925.7984375 y:214.0,1681492600.3790593
auto_moving, fixation 32 moved from x:916.3551852 y:191.9814815 to x:916.3551852 y:214.0,1681492601.7059128
auto_moving, fixation 33 moved from x:998.0942623 y:192.5985246 to x:998.0942623 y:214.0,1681492603.085089
auto_moving, fixation 34 moved from x:1000.3258060000001 y:196.7056452 to x:1000.3258060000001 y:214.0,1681492604.226894
auto_moving, fixation 35 moved from x:791.7519512 y:199.0563415 to x:791.7519512 y:214.0,1681492605.4615278
auto_moving, fixation 36 moved from x:728.7272727000001 y:192.3324242 to x:728.7272727000001 y:214.0,1681492606.6342027
auto_moving, fixation 37 moved from x:988.94125 y:196.6441667 to x:988.94125 y:214.0,1681492607.9627967
auto_moving, fixation 38 moved from x:691.804902 y:74.81588235 to x:691.804902 y:66.0,1681492609.088309
auto_moving, fixation 39 moved from x:1053.614833 y:196.6166667 to x:1053.614833 y:214.0,1681492610.689832
auto_moving, fixation 40 moved from x:1103.186667 y:200.7985417 to x:1103.186667 y:214.0,1681492612.1285245
auto_moving, fixation 41 moved from x:976.3986667000001 y:204.11333330000002 to x:976.3986667000001 y:214.0,1681492613.6224174
auto_moving, fixation 42 moved from x:824.5659524 y:235.4104762 to x:824.5659524 y:256.0,1681492614.969165
auto_moving, fixation 43 moved from x:790.1628302 y:214.61924530000002 to x:790.1628302 y:214.0,1681492616.5561533
manual_moving, fixation 42 moved from x:824.5659524 y:256.0 to x:818.5963517150774 y:209.91404713683903,1681492618.5930088
auto_moving, fixation 44 moved from x:874.3555223999999 y:221.80582090000001 to x:874.3555223999999 y:214.0,1681492620.0254655
auto_moving, fixation 45 moved from x:1006.517692 y:203.2682051 to x:1006.517692 y:214.0,1681492621.45251
