event,event details,timestamp
started,,1681615497.601399
filter,removed fixations greater than 1000,1681615502.704556
filter,removed fixations less than 100,1681615504.1951625
manual_moving, fixation 39 moved from x:549.1644591276056 y:242.8807205951455 to x:544.2518192613898 y:241.87425088698595,1681615510.0936582
selected,algorithm Warp,1681615516.0350199
auto_moving, fixation 0 moved from x:662.094595463499 y:23.777478137845627 to x:662.094595463499 y:21.0,1681615517.01096
auto_moving, fixation 1 moved from x:667.6147808146088 y:11.202607647662404 to x:667.6147808146088 y:21.0,1681615518.6261783
auto_moving, fixation 2 moved from x:667.6147808146088 y:11.202607647662404 to x:667.6147808146088 y:21.0,1681615523.130138
auto_moving, fixation 3 moved from x:526.3852684176758 y:78.38035828080551 to x:526.3852684176758 y:87.0,1681615524.7897
auto_moving, fixation 4 moved from x:634.810406443198 y:75.41991076385482 to x:634.810406443198 y:87.0,1681615526.3265934
auto_moving, fixation 5 moved from x:634.810406443198 y:75.41991076385482 to x:634.810406443198 y:87.0,1681615527.9090457
auto_moving, fixation 6 moved from x:743.7649600808703 y:76.23622335897916 to x:743.7649600808703 y:87.0,1681615529.490823
auto_moving, fixation 7 moved from x:790.7792759837179 y:75.10691138299187 to x:790.7792759837179 y:87.0,1681615531.0017812
manual_moving, fixation 4 moved from x:634.810406443198 y:87.0 to x:638.0437063799626 y:82.71226062516547,1681615532.93066
manual_moving, fixation 4 moved from x:638.0437063799626 y:82.71226062516547 to x:637.3331617805795 y:82.00171602578217,1681615534.1821532
manual_moving, fixation 4 moved from x:637.3331617805795 y:82.00171602578217 to x:658.6494997620733 y:82.00171602578217,1681615536.679958
manual_moving, fixation 5 moved from x:634.810406443198 y:87.0 to x:618.8590021966181 y:82.00171602578217,1681615538.5830474
auto_moving, fixation 8 moved from x:908.3625010359472 y:72.12697674370895 to x:908.3625010359472 y:87.0,1681615539.5261834
auto_moving, fixation 9 moved from x:975.7150623437158 y:73.13765949031097 to x:975.7150623437158 y:87.0,1681615541.0541005
auto_moving, fixation 10 moved from x:691.0555561325369 y:106.89055684094477 to x:691.0555561325369 y:120.0,1681615542.551099
auto_moving, fixation 11 moved from x:671.4774066411156 y:111.74926020007227 to x:671.4774066411156 y:120.0,1681615544.0571003
auto_moving, fixation 12 moved from x:725.4711772582525 y:108.43668537859939 to x:725.4711772582525 y:120.0,1681615545.5730474
auto_moving, fixation 13 moved from x:775.8804340535318 y:106.14184629466568 to x:775.8804340535318 y:120.0,1681615547.0780249
auto_moving, fixation 14 moved from x:880.0428115893014 y:101.41176366214138 to x:880.0428115893014 y:120.0,1681615548.5980754
auto_moving, fixation 15 moved from x:880.0428115893014 y:101.41176366214138 to x:880.0428115893014 y:120.0,1681615550.1349666
auto_moving, fixation 16 moved from x:957.0383735894469 y:100.28488364169229 to x:957.0383735894469 y:120.0,1681615551.6757138
auto_moving, fixation 17 moved from x:957.0383735894469 y:100.28488364169229 to x:957.0383735894469 y:120.0,1681615553.205625
manual_moving, fixation 12 moved from x:725.4711772582525 y:120.0 to x:736.0988610948343 y:115.39731219678924,1681615554.753486
auto_moving, fixation 18 moved from x:1025.1500002658831 y:101.79485966996009 to x:1025.1500002658831 y:120.0,1681615555.292047
auto_moving, fixation 19 moved from x:1025.1500002658831 y:101.79485966996009 to x:1025.1500002658831 y:120.0,1681615556.8249476
