event,event details,timestamp
started,,1683131658.6126406
filter,removed fixations greater than 1000,1683131698.5042415
filter,removed fixations less than 100,1683131700.4440548
selected,algorithm Chain,1683131703.2000468
selected,algorithm Attach,1683131705.2359328
auto_moving, fixation 0 moved from x:183.16666666666666 y:169.0 to x:183.16666666666666 y:169.0,1683131707.9607143
auto_moving, fixation 1 moved from x:307.5 y:169.0 to x:307.5 y:169.0,1683131710.931464
auto_moving, fixation 2 moved from x:481.5 y:169.0 to x:481.5 y:169.0,1683131714.5206861
auto_moving, fixation 3 moved from x:539.5 y:169.0 to x:539.5 y:169.0,1683131715.9707975
auto_moving, fixation 4 moved from x:656.1666666666666 y:169.0 to x:656.1666666666666 y:169.0,1683131717.2715676
auto_moving, fixation 5 moved from x:885.5 y:169.0 to x:885.5 y:169.0,1683131718.4884996
auto_moving, fixation 6 moved from x:984.1666666666666 y:169.0 to x:984.1666666666666 y:169.0,1683131736.6807055
auto_moving, fixation 7 moved from x:177.16666666666666 y:219.0 to x:177.16666666666666 y:219.0,1683131737.9897382
auto_moving, fixation 8 moved from x:413.5 y:219.0 to x:413.5 y:219.0,1683131739.2614331
auto_moving, fixation 9 moved from x:563.8333333333334 y:219.0 to x:563.8333333333334 y:219.0,1683131740.5045962
auto_moving, fixation 10 moved from x:704.1666666666666 y:219.0 to x:704.1666666666666 y:219.0,1683131741.7164621
auto_moving, fixation 11 moved from x:783.1666666666666 y:219.0 to x:783.1666666666666 y:219.0,1683131742.926716
auto_moving, fixation 12 moved from x:886.5 y:219.0 to x:886.5 y:219.0,1683142016.5107856
auto_moving, fixation 13 moved from x:158.16666666666666 y:268.0 to x:158.16666666666666 y:268.0,1683142017.7659202
auto_moving, fixation 14 moved from x:230.5 y:268.0 to x:230.5 y:268.0,1683142018.7830966
auto_moving, fixation 15 moved from x:337.1666666666667 y:268.0 to x:337.1666666666667 y:268.0,1683142020.038954
auto_moving, fixation 16 moved from x:437.1666666666667 y:268.0 to x:437.1666666666667 y:268.0,1683142021.046134
auto_moving, fixation 17 moved from x:637.1666666666666 y:268.0 to x:637.1666666666666 y:268.0,1683142022.1418645
auto_moving, fixation 18 moved from x:786.8333333333334 y:268.0 to x:786.8333333333334 y:268.0,1683142023.2297943
auto_moving, fixation 19 moved from x:941.1666666666666 y:268.0 to x:941.1666666666666 y:268.0,1683142024.2622504
auto_moving, fixation 20 moved from x:167.16666666666666 y:318.0 to x:167.16666666666666 y:318.0,1683142025.5418234
auto_moving, fixation 21 moved from x:263.5 y:318.0 to x:263.5 y:318.0,1683142026.5510256
auto_moving, fixation 22 moved from x:352.1666666666667 y:318.0 to x:352.1666666666667 y:318.0,1683142027.7591603
auto_moving, fixation 23 moved from x:466.5 y:318.0 to x:466.5 y:318.0,1683142028.7657619
auto_moving, fixation 24 moved from x:586.1666666666666 y:318.0 to x:586.1666666666666 y:318.0,1683142029.975797
auto_moving, fixation 25 moved from x:665.8333333333334 y:318.0 to x:665.8333333333334 y:318.0,1683142031.1262157
auto_moving, fixation 26 moved from x:748.5 y:318.0 to x:748.5 y:318.0,1683142032.2386875
auto_moving, fixation 27 moved from x:956.8333333333334 y:318.0 to x:956.8333333333334 y:318.0,1683142033.630717
auto_moving, fixation 28 moved from x:158.83333333333334 y:368.0 to x:158.83333333333334 y:368.0,1683142034.8231556
auto_moving, fixation 29 moved from x:233.5 y:368.0 to x:233.5 y:368.0,1683142036.270691
auto_moving, fixation 30 moved from x:303.5 y:368.0 to x:303.5 y:368.0,1683142037.5820374
auto_moving, fixation 31 moved from x:411.8333333333333 y:368.0 to x:411.8333333333333 y:368.0,1683142038.965501
auto_moving, fixation 32 moved from x:556.1666666666666 y:368.0 to x:556.1666666666666 y:368.0,1683142040.3503382
auto_moving, fixation 33 moved from x:668.8333333333334 y:368.0 to x:668.8333333333334 y:368.0,1683142041.9094396
auto_moving, fixation 34 moved from x:794.1666666666666 y:368.0 to x:794.1666666666666 y:368.0,1683142043.445575
auto_moving, fixation 35 moved from x:1003.1666666666666 y:368.0 to x:1003.1666666666666 y:368.0,1683142044.8781364
auto_moving, fixation 36 moved from x:187.83333333333334 y:417.0 to x:187.83333333333334 y:417.0,1683142046.3671935
auto_moving, fixation 37 moved from x:356.8333333333333 y:417.0 to x:356.8333333333333 y:417.0,1683142047.7095377
auto_moving, fixation 38 moved from x:481.1666666666667 y:417.0 to x:481.1666666666667 y:417.0,1683142048.9417899
auto_moving, fixation 39 moved from x:566.8333333333334 y:417.0 to x:566.8333333333334 y:417.0,1683142050.2944586
auto_moving, fixation 40 moved from x:650.1666666666666 y:417.0 to x:650.1666666666666 y:417.0,1683142051.6937642
auto_moving, fixation 41 moved from x:744.8333333333334 y:417.0 to x:744.8333333333334 y:417.0,1683142053.453443
Saved,Date 2023-05-03 Trial Namerobot37.json File Path D:/Tax Documents/fix8-main-April-1st/fix8-main/golden_set/Synthetic_Randomized/originals/synthetic_text.png Duration 10397.899890899658,1683142056.5125315
