event,event details,timestamp
started,,1683660448.5286627
filter,removed fixations less than 100,1683660452.3493755
selected,algorithm Attach,1683660455.426815
auto_moving, fixation 0 moved from x:184.16666666666666 y:173.0 to x:184.16666666666666 y:169.0,1683660456.8596933
auto_moving, fixation 1 moved from x:299.5 y:159.0 to x:299.5 y:169.0,1683660457.7691956
auto_moving, fixation 2 moved from x:414.1666666666667 y:171.0 to x:414.1666666666667 y:169.0,1683660458.658605
auto_moving, fixation 3 moved from x:474.5 y:168.0 to x:474.5 y:169.0,1683660459.557972
auto_moving, fixation 4 moved from x:540.5 y:166.0 to x:540.5 y:169.0,1683660460.4684532
auto_moving, fixation 5 moved from x:654.1666666666666 y:178.0 to x:654.1666666666666 y:169.0,1683660465.2592428
auto_moving, fixation 6 moved from x:823.1666666666666 y:178.0 to x:823.1666666666666 y:169.0,1683660466.1454592
auto_moving, fixation 7 moved from x:890.5 y:165.0 to x:890.5 y:169.0,1683660467.0344114
auto_moving, fixation 8 moved from x:990.1666666666666 y:171.0 to x:990.1666666666666 y:169.0,1683660467.921379
auto_moving, fixation 9 moved from x:185.16666666666666 y:211.0 to x:185.16666666666666 y:219.0,1683660468.809392
auto_moving, fixation 10 moved from x:313.5 y:210.0 to x:313.5 y:219.0,1683660469.7185915
auto_moving, fixation 11 moved from x:478.5 y:170.0 to x:478.5 y:169.0,1683660470.6162717
auto_moving, fixation 12 moved from x:538.5 y:171.0 to x:538.5 y:169.0,1683660471.4995954
auto_moving, fixation 13 moved from x:640.1666666666666 y:174.0 to x:640.1666666666666 y:169.0,1683660472.4174728
auto_moving, fixation 14 moved from x:826.1666666666666 y:176.0 to x:826.1666666666666 y:169.0,1683660473.3298163
auto_moving, fixation 15 moved from x:870.5 y:170.0 to x:870.5 y:169.0,1683660474.2363622
auto_moving, fixation 16 moved from x:983.1666666666666 y:178.0 to x:983.1666666666666 y:169.0,1683660475.1516073
auto_moving, fixation 17 moved from x:181.16666666666666 y:215.0 to x:181.16666666666666 y:219.0,1683660476.0961263
auto_moving, fixation 18 moved from x:301.5 y:212.0 to x:301.5 y:219.0,1683660477.0532098
auto_moving, fixation 19 moved from x:408.5 y:229.0 to x:408.5 y:219.0,1683660477.9925292
auto_moving, fixation 20 moved from x:569.8333333333334 y:229.0 to x:569.8333333333334 y:219.0,1683660479.0727203
auto_moving, fixation 21 moved from x:706.1666666666666 y:223.0 to x:706.1666666666666 y:219.0,1683660498.6420486
auto_moving, fixation 22 moved from x:766.1666666666666 y:227.0 to x:766.1666666666666 y:219.0,1683660499.6499584
auto_moving, fixation 23 moved from x:871.5 y:220.0 to x:871.5 y:219.0,1683660500.9007986
auto_moving, fixation 24 moved from x:153.16666666666666 y:262.0 to x:153.16666666666666 y:268.0,1683660502.2647452
auto_moving, fixation 25 moved from x:872.5 y:175.0 to x:872.5 y:169.0,1683660503.456109
auto_moving, fixation 26 moved from x:987.1666666666666 y:164.0 to x:987.1666666666666 y:169.0,1683660504.8033278
auto_moving, fixation 27 moved from x:186.16666666666666 y:214.0 to x:186.16666666666666 y:219.0,1683660506.126976
auto_moving, fixation 28 moved from x:298.5 y:225.0 to x:298.5 y:219.0,1683660507.9846654
auto_moving, fixation 29 moved from x:415.5 y:218.0 to x:415.5 y:219.0,1683660509.9176521
auto_moving, fixation 30 moved from x:570.8333333333334 y:221.0 to x:570.8333333333334 y:219.0,1683660511.8604002
