event,event details,timestamp
started,,1684028108.5899558
filter,removed fixations greater than 1000,1684028110.3500571
filter,removed fixations less than 100,1684028111.3033192
selected,algorithm Attach,1684028113.1340177
auto_moving, fixation 0 moved from x:168.16666666666666 y:166.0 to x:168.16666666666666 y:169.0,1684028114.111673
auto_moving, fixation 1 moved from x:308.5 y:166.0 to x:308.5 y:169.0,1684028115.374401
auto_moving, fixation 2 moved from x:399.1666666666667 y:178.0 to x:399.1666666666667 y:169.0,1684028116.6956897
auto_moving, fixation 3 moved from x:464.5 y:173.0 to x:464.5 y:169.0,1684028118.0858479
auto_moving, fixation 4 moved from x:548.5 y:178.0 to x:548.5 y:169.0,1684028120.021268
auto_moving, fixation 5 moved from x:657.1666666666666 y:166.0 to x:657.1666666666666 y:169.0,1684028121.5144663
auto_moving, fixation 6 moved from x:809.1666666666666 y:167.0 to x:809.1666666666666 y:169.0,1684028122.9015388
auto_moving, fixation 7 moved from x:987.1666666666666 y:165.0 to x:987.1666666666666 y:169.0,1684028124.2854784
auto_moving, fixation 8 moved from x:180.16666666666666 y:287.8 to x:180.16666666666666 y:268.0,1684028126.6977997
manual_moving, fixation 8 moved from x:180.16666666666666 y:268.0 to x:163.62432506188694 y:266.3925995593453,1684028131.4995246
auto_moving, fixation 9 moved from x:411.5 y:235.0 to x:411.5 y:219.0,1684028135.0640566
auto_moving, fixation 10 moved from x:562.8333333333334 y:235.0 to x:562.8333333333334 y:219.0,1684028136.9431036
auto_moving, fixation 11 moved from x:706.1666666666666 y:209.0 to x:706.1666666666666 y:219.0,1684028138.4861972
auto_moving, fixation 12 moved from x:774.1666666666666 y:287.8 to x:774.1666666666666 y:268.0,1684028140.335298
auto_moving, fixation 13 moved from x:883.5 y:268.0 to x:883.5 y:268.0,1684028142.542028
auto_moving, fixation 14 moved from x:146.16666666666666 y:307.6 to x:146.16666666666666 y:318.0,1684028144.3817942
manual_moving, fixation 15 moved from x:229.5 y:340.6 to x:202.87761841649697 y:319.338902223703,1684028148.399818
manual_moving, fixation 16 moved from x:328.1666666666667 y:312.0 to x:338.8948442266573 y:315.68743307443697,1684028153.7157116
auto_moving, fixation 17 moved from x:562.1666666666666 y:336.2 to x:562.1666666666666 y:318.0,1684028157.094906
manual_moving, fixation 18 moved from x:634.1666666666666 y:323.0 to x:611.8421631342945 y:317.51316764907,1684028160.375212
auto_moving, fixation 19 moved from x:777.8333333333334 y:309.8 to x:777.8333333333334 y:318.0,1684028164.3428557
auto_moving, fixation 20 moved from x:942.1666666666666 y:338.4 to x:942.1666666666666 y:318.0,1684028166.4942052
auto_moving, fixation 21 moved from x:259.5 y:347.2 to x:259.5 y:368.0,1684028168.3747585
manual_moving, fixation 22 moved from x:356.1666666666667 y:358.2 to x:340.72057880129034 y:365.89513387684514,1684028171.727196
auto_moving, fixation 23 moved from x:479.5 y:382.4 to x:479.5 y:368.0,1684028175.213953
auto_moving, fixation 24 moved from x:588.1666666666666 y:349.4 to x:588.1666666666666 y:368.0,1684028176.869524
auto_moving, fixation 25 moved from x:659.8333333333334 y:351.6 to x:659.8333333333334 y:368.0,1684028178.7814775
manual_moving, fixation 25 moved from x:659.8333333333334 y:368.0 to x:671.1785368098679 y:362.2436647275791,1684028182.4457066
auto_moving, fixation 26 moved from x:757.5 y:386.8 to x:757.5 y:368.0,1684028186.5096097
auto_moving, fixation 27 moved from x:822.1666666666666 y:369.2 to x:822.1666666666666 y:368.0,1684028188.870265
auto_moving, fixation 28 moved from x:969.8333333333334 y:362.6 to x:969.8333333333334 y:368.0,1684028190.3350356
auto_moving, fixation 29 moved from x:174.83333333333334 y:408.8 to x:174.83333333333334 y:417.0,1684028191.9666243
auto_moving, fixation 30 moved from x:478.5 y:380.2 to x:478.5 y:368.0,1684028194.0940766
auto_moving, fixation 31 moved from x:584.1666666666666 y:369.2 to x:584.1666666666666 y:368.0,1684028195.725594
manual_moving, fixation 32 moved from x:658.8333333333334 y:353.8 to x:672.0914040971844 y:364.0693993022121,1684028199.6456075
auto_moving, fixation 33 moved from x:739.5 y:349.4 to x:739.5 y:368.0,1684028203.8221972
auto_moving, fixation 34 moved from x:258.5 y:378.0 to x:258.5 y:368.0,1684028205.5024848
manual_moving, fixation 35 moved from x:356.1666666666667 y:384.6 to x:337.9819769393408 y:365.89513387684514,1684028209.0178566
auto_moving, fixation 36 moved from x:464.5 y:386.8 to x:464.5 y:368.0,1684028212.4295197
auto_moving, fixation 37 moved from x:572.1666666666666 y:356.0 to x:572.1666666666666 y:368.0,1684028214.0378304
auto_moving, fixation 38 moved from x:665.8333333333334 y:380.2 to x:665.8333333333334 y:368.0,1684028215.8561385
manual_moving, fixation 38 moved from x:665.8333333333334 y:368.0 to x:674.8300059591339 y:364.0693993022121,1684028219.8057935
auto_moving, fixation 39 moved from x:745.5 y:384.6 to x:745.5 y:368.0,1684028223.2233493
auto_moving, fixation 40 moved from x:832.1666666666666 y:378.0 to x:832.1666666666666 y:368.0,1684028224.7596333
auto_moving, fixation 41 moved from x:963.8333333333334 y:349.4 to x:963.8333333333334 y:368.0,1684028226.3994224
auto_moving, fixation 42 moved from x:241.5 y:430.8 to x:241.5 y:417.0,1684028228.0845044
manual_moving, fixation 43 moved from x:307.5 y:408.8 to x:316.98602933106105 y:415.18996739193676,1684028232.4200914
auto_moving, fixation 44 moved from x:422.8333333333333 y:424.2 to x:422.8333333333333 y:417.0,1684028235.583348
manual_moving, fixation 45 moved from x:552.1666666666666 y:413.2 to x:563.4601969065194 y:414.2771001046203,1684028238.8760662
auto_moving, fixation 46 moved from x:682.8333333333334 y:422.0 to x:682.8333333333334 y:417.0,1684028242.7099044
auto_moving, fixation 47 moved from x:784.1666666666666 y:424.2 to x:784.1666666666666 y:417.0,1684028244.4448388
auto_moving, fixation 48 moved from x:1006.1666666666666 y:389.0 to x:1006.1666666666666 y:368.0,1684028246.3687665
auto_moving, fixation 49 moved from x:181.83333333333334 y:433.0 to x:181.83333333333334 y:417.0,1684028247.9655695
auto_moving, fixation 50 moved from x:356.8333333333333 y:428.6 to x:356.8333333333333 y:417.0,1684028249.4711454
auto_moving, fixation 51 moved from x:479.1666666666667 y:435.2 to x:479.1666666666667 y:417.0,1684028251.0862613
auto_moving, fixation 52 moved from x:658.1666666666666 y:446.2 to x:658.1666666666666 y:417.0,1684028252.663014
auto_moving, fixation 53 moved from x:736.8333333333334 y:437.4 to x:736.8333333333334 y:417.0,1684028254.3840766
Saved,Date 2023-05-13 Trial Nameshift_error_60_robot_36.json File Path D:/Tax Documents/fix8-main-April-1st/fix8-main/golden_set/Synthetic_Randomized/shift_synthetic_dataset/synthetic_text.png Duration 150.47953724861145,1684028259.069493
Saved,Date 2023-05-13 Trial Nameshift_error_60_robot_36.json File Path D:/Tax Documents/fix8-main-April-1st/fix8-main/golden_set/Synthetic_Randomized/shift_synthetic_dataset/synthetic_text.png Duration 150.63466262817383,1684028259.2246184
Saved,Date 2023-05-13 Trial Nameshift_error_60_robot_36.json File Path D:/Tax Documents/fix8-main-April-1st/fix8-main/golden_set/Synthetic_Randomized/shift_synthetic_dataset/synthetic_text.png Duration 150.78355050086975,1684028259.3735063
Saved,Date 2023-05-13 Trial Nameshift_error_60_robot_36.json File Path D:/Tax Documents/fix8-main-April-1st/fix8-main/golden_set/Synthetic_Randomized/shift_synthetic_dataset/synthetic_text.png Duration 150.92993187904358,1684028259.5198877
