,time_stamp,eye_event,x_cord,y_cord,duration,pupil,x1_cord,y1_cord,amplitude,peak_velocity,trial_id,participant_id,image
0,792068,fixation,26.9,320.2,233,4100,,,,,12,001,../../runtime/images/-1446515203633643784.png
1,792301,saccade,16.7,351.1,26,,92.9,340.0,2.5,180.0,12,001,../../runtime/images/-1446515203633643784.png
2,792327,fixation,82.5,354.8,151,4170,,,,,12,001,../../runtime/images/-1446515203633643784.png
3,792478,saccade,81.0,361.0,27,,173.5,355.6,3.09,233.0,12,001,../../runtime/images/-1446515203633643784.png
4,792505,fixation,170.5,362.8,114,4161,,,,,12,001,../../runtime/images/-1446515203633643784.png
5,792619,saccade,172.3,361.7,26,,262.6,349.6,3.09,246.0,12,001,../../runtime/images/-1446515203633643784.png
6,792645,fixation,260.2,356.8,206,4157,,,,,12,001,../../runtime/images/-1446515203633643784.png
7,792851,saccade,258.6,354.7,28,,345.2,343.1,3.01,202.0,12,001,../../runtime/images/-1446515203633643784.png
8,792879,fixation,348.2,339.6,153,4161,,,,,12,001,../../runtime/images/-1446515203633643784.png
9,793077,blink,,,57,,,,,,12,001,../../runtime/images/-1446515203633643784.png
10,793032,saccade,355.0,354.5,203,,483.8,685.7,9.75,827.0,12,001,../../runtime/images/-1446515203633643784.png
11,793235,fixation,474.9,575.1,128,3763,,,,,12,001,../../runtime/images/-1446515203633643784.png
12,793363,saccade,465.5,511.7,25,,552.0,506.5,3.03,204.0,12,001,../../runtime/images/-1446515203633643784.png
13,793388,fixation,553.5,461.3,166,3939,,,,,12,001,../../runtime/images/-1446515203633643784.png
14,793554,saccade,551.8,440.0,32,,669.6,446.1,4.11,247.0,12,001,../../runtime/images/-1446515203633643784.png
15,793586,fixation,661.6,413.0,277,3999,,,,,12,001,../../runtime/images/-1446515203633643784.png
16,793863,saccade,658.1,399.5,19,,618.6,394.4,1.39,120.0,12,001,../../runtime/images/-1446515203633643784.png
17,793882,fixation,619.0,380.3,283,4068,,,,,12,001,../../runtime/images/-1446515203633643784.png
18,794165,saccade,612.4,374.6,33,,719.8,374.9,3.74,249.0,12,001,../../runtime/images/-1446515203633643784.png
19,794198,fixation,713.3,366.8,250,4061,,,,,12,001,../../runtime/images/-1446515203633643784.png
20,794448,saccade,711.9,366.3,48,,355.5,378.6,12.38,508.0,12,001,../../runtime/images/-1446515203633643784.png
21,794496,fixation,360.1,363.7,257,4158,,,,,12,001,../../runtime/images/-1446515203633643784.png
22,794753,saccade,362.4,355.6,26,,463.7,354.1,3.55,274.0,12,001,../../runtime/images/-1446515203633643784.png
23,794779,fixation,459.6,350.7,298,4158,,,,,12,001,../../runtime/images/-1446515203633643784.png
24,795077,saccade,459.8,352.1,32,,654.6,361.3,6.84,443.0,12,001,../../runtime/images/-1446515203633643784.png
25,795109,fixation,644.6,353.1,175,4116,,,,,12,001,../../runtime/images/-1446515203633643784.png
26,795336,blink,,,126,,,,,,12,001,../../runtime/images/-1446515203633643784.png
27,795284,saccade,644.8,364.5,257,,583.8,715.3,9.4,860.0,12,001,../../runtime/images/-1446515203633643784.png
28,795541,fixation,570.7,543.9,241,3830,,,,,12,001,../../runtime/images/-1446515203633643784.png
29,795782,saccade,565.0,481.1,34,,390.5,470.0,6.1,386.0,12,001,../../runtime/images/-1446515203633643784.png
30,795816,fixation,402.7,412.1,306,4062,,,,,12,001,../../runtime/images/-1446515203633643784.png
31,796171,blink,,,64,,,,,,12,001,../../runtime/images/-1446515203633643784.png
32,796122,saccade,407.4,421.8,113,,639.9,1077.2,18.04,712.0,12,001,../../runtime/images/-1446515203633643784.png
