,time_stamp,eye_event,x_cord,y_cord,duration,pupil,x1_cord,y1_cord,amplitude,peak_velocity,trial_id,participant_id,image
0,659660,fixation,76.2,392.0,286,4172,,,,,9,001,../../runtime/images/6253885407738466738.png
1,659946,saccade,82.0,381.0,11,,62.1,382.8,0.65,69.0,9,001,../../runtime/images/6253885407738466738.png
2,659957,fixation,67.2,381.3,172,4179,,,,,9,001,../../runtime/images/6253885407738466738.png
3,660129,saccade,70.1,376.4,29,,194.7,360.7,4.17,306.0,9,001,../../runtime/images/6253885407738466738.png
4,660158,fixation,194.9,369.2,100,4177,,,,,9,001,../../runtime/images/6253885407738466738.png
5,660258,saccade,193.4,373.3,27,,276.3,365.3,2.84,206.0,9,001,../../runtime/images/6253885407738466738.png
6,660285,fixation,276.6,370.4,416,4182,,,,,9,001,../../runtime/images/6253885407738466738.png
7,660701,saccade,276.5,372.6,27,,386.3,361.2,3.82,301.0,9,001,../../runtime/images/6253885407738466738.png
8,660728,fixation,385.9,362.6,225,4189,,,,,9,001,../../runtime/images/6253885407738466738.png
9,660953,saccade,387.4,367.2,19,,346.8,363.5,1.42,95.0,9,001,../../runtime/images/6253885407738466738.png
10,660972,fixation,348.0,362.3,187,4199,,,,,9,001,../../runtime/images/6253885407738466738.png
11,661159,saccade,346.8,365.0,31,,466.4,361.2,4.19,265.0,9,001,../../runtime/images/6253885407738466738.png
12,661190,fixation,464.6,362.4,179,4190,,,,,9,001,../../runtime/images/6253885407738466738.png
13,661369,saccade,464.8,365.3,27,,550.8,359.2,3.03,217.0,9,001,../../runtime/images/6253885407738466738.png
14,661396,fixation,543.6,361.3,322,4191,,,,,9,001,../../runtime/images/6253885407738466738.png
15,661718,saccade,544.5,358.4,36,,702.7,358.9,5.53,299.0,9,001,../../runtime/images/6253885407738466738.png
16,661754,fixation,693.0,353.7,225,4170,,,,,9,001,../../runtime/images/6253885407738466738.png
17,661979,saccade,691.3,355.8,25,,598.5,360.9,3.24,216.0,9,001,../../runtime/images/6253885407738466738.png
18,662004,fixation,602.9,363.9,111,4186,,,,,9,001,../../runtime/images/6253885407738466738.png
19,662156,blink,,,78,,,,,,9,001,../../runtime/images/6253885407738466738.png
20,662115,saccade,605.9,373.1,199,,678.8,777.5,10.77,949.0,9,001,../../runtime/images/6253885407738466738.png
21,662314,fixation,659.2,665.9,93,3699,,,,,9,001,../../runtime/images/6253885407738466738.png
22,662407,saccade,652.4,590.5,20,,683.4,556.9,1.38,109.0,9,001,../../runtime/images/6253885407738466738.png
23,662427,fixation,665.7,450.9,338,4029,,,,,9,001,../../runtime/images/6253885407738466738.png
24,662765,saccade,666.5,412.9,20,,709.9,412.0,1.51,109.0,9,001,../../runtime/images/6253885407738466738.png
25,662785,fixation,705.6,392.7,319,4124,,,,,9,001,../../runtime/images/6253885407738466738.png
26,663104,saccade,710.4,381.8,26,,622.1,379.5,3.07,244.0,9,001,../../runtime/images/6253885407738466738.png
27,663130,fixation,622.2,367.7,378,4172,,,,,9,001,../../runtime/images/6253885407738466738.png
28,663508,saccade,616.3,362.4,24,,550.7,365.3,2.31,201.0,9,001,../../runtime/images/6253885407738466738.png
29,663532,fixation,555.4,360.1,485,4196,,,,,9,001,../../runtime/images/6253885407738466738.png
30,664065,blink,,,756,,,,,,9,001,../../runtime/images/6253885407738466738.png
31,664017,saccade,560.8,367.6,841,,519.5,950.9,14.87,766.0,9,001,../../runtime/images/6253885407738466738.png
