event,event details,timestamp
started,,1683690214.994038
filter,removed fixations greater than 1000,1683690216.5571592
filter,removed fixations less than 100,1683690217.480687
selected,algorithm Warp,1683690219.740132
auto_moving, fixation 0 moved from x:19.0 y:383.1 to x:19.0 y:385.0,1683690221.075224
auto_moving, fixation 1 moved from x:100.9 y:380.3 to x:100.9 y:385.0,1683690226.0677822
auto_moving, fixation 2 moved from x:176.9 y:381.4 to x:176.9 y:385.0,1683690227.12342
auto_moving, fixation 3 moved from x:243.8 y:388.9 to x:243.8 y:385.0,1683690227.8290083
auto_moving, fixation 4 moved from x:326.0 y:389.7 to x:326.0 y:385.0,1683690228.6821866
manual_moving, fixation 3 moved from x:243.8 y:385.0 to x:250.78198439020036 y:384.75334611028643,1683690229.973225
auto_moving, fixation 5 moved from x:421.8 y:384.4 to x:421.8 y:385.0,1683690231.5702157
auto_moving, fixation 6 moved from x:512.8 y:392.8 to x:512.8 y:385.0,1683690232.198403
auto_moving, fixation 7 moved from x:600.8 y:416.6 to x:600.8 y:385.0,1683690232.8157527
auto_moving, fixation 8 moved from x:544.9 y:404.8 to x:544.9 y:385.0,1683690233.436093
auto_moving, fixation 0 moved from x:19.0 y:385.0 to x:19.0 y:385.0,1683690234.0723906
manual_moving, fixation 6 moved from x:512.8 y:385.0 to x:506.9532906644803 y:384.14630510015786,1683690237.897527
manual_moving, fixation 7 moved from x:600.8 y:385.0 to x:605.9009753154462 y:382.9322230799006,1683690240.5166366
Saved,Date 2023-05-09 Trial Nametrial_11_participant_8_8178455215069693319.json File Path G:/My Drive/.EVERYTHING COLBY/GITHUB/FIX8 - GOLDEN/fix8/golden_set/AlMadi2018_new/stimulus_8178455215069693319/stimulus_8178455215069693319.png Duration 27.137447595596313,1683690242.1314857
